n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADV_constraint
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	1	0	3.0	0	3	The committee granted final approval to the proposal.	0
16	0	0	1	3	1	7	1	1	1	1	0	0	0	0	1	1	0	3.0	0	10	The CEO of Microsoft communicates his vision through town hall meetings and emails to employees.	0
12	0	0	2	1	1	4	0	0	2	1	0	0	1	0	1	1	0	4.0	0	4	People rent moving boxes from U-Haul and other companies.	0
15	0	0	2	2	0	6	0	1	0	2	1	0	1	1	1	1	0	3.0	1	8	Two cars collided on the highway during rush hour, causing significant traffic disruptions.	0
11	0	0	1	1	0	3	0	1	0	1	0	1	3	0	1	1	0	3.0	0	3	Greek culture has had a significant impact on Western civilization.	0
8	0	0	1	1	0	2	0	1	2	0	0	1	0	0	1	0	0	3.0	0	4	The capital city of Australia is Canberra.	0
11	0	0	1	2	1	5	0	1	0	1	0	0	0	0	1	0	0	3.0	0	5	People go to the beach for leisure and swimming activities.	0
7	0	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	My cat sat in the corner.	0
6	0	0	1	0	0	1	1	0	0	1	0	0	2	0	1	1	0	2.0	0	3	We tested multiple chemical reactions.	0
7	1	0	1	1	0	2	0	1	0	0	0	1	0	0	1	0	0	2.0	0	3	The moon is round in shape.	0
10	0	0	1	1	0	2	0	2	2	1	1	0	0	0	1	1	0	3.0	0	3	The Eiffel Tower has a height of 324 meters.	0
13	0	0	2	2	0	0	0	1	5	1	0	1	1	0	1	0	0	3.0	0	4	The United States Department of Education is situated in Washington, D.	0
8	0	0	1	0	0	2	1	0	0	2	0	0	1	1	1	2	0	3.0	1	3	We build models to simulate complex systems.	0
11	1	0	1	1	0	5	0	1	0	1	1	0	0	0	1	0	0	2.0	0	7	Two cars collided head on during the afternoon rush hour.	0
8	0	0	1	0	0	3	0	2	0	1	0	0	1	0	1	1	0	2.0	0	4	The company released a new product line.	0
15	0	0	3	2	0	2	0	2	4	1	0	0	1	0	1	0	0	2.0	0	10	The Eiffel Tower stands in Paris, France, as a popular tourist attraction.	0
15	0	0	1	2	0	3	0	3	2	1	0	0	3	0	1	1	0	3.0	0	10	The United States imports a substantial amount of oil from Saudi Arabia each year.	0
13	0	0	1	2	2	6	0	0	0	1	0	1	0	0	1	0	0	5.0	0	5	Cows and sheep are kept in farms for milk and meat production.	0
17	0	0	1	2	0	3	0	3	6	1	0	1	0	1	1	0	0	3.0	1	7	The Eiffel Tower is an iron lattice tower located on the Champ de Mars in Paris.	0
18	0	0	1	2	0	2	0	4	3	0	0	1	5	0	1	0	0	3.0	0	5	The United States Congress is a bicameral legislative branch of the federal government of the United States.	0
11	0	0	2	0	1	2	0	0	2	1	1	0	2	0	1	1	0	3.0	0	4	Two major companies manufacture artificial joints, Stryker and Zimmer.	0
7	0	0	1	0	0	3	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	The city council passed the bill.	0
7	0	0	1	0	0	4	0	1	0	1	0	0	0	0	1	1	0	3.0	0	2	Government policy changes influenced the economy.	0
7	0	0	1	1	0	1	0	1	2	0	0	1	0	0	1	0	0	3.0	0	4	The capital of Australia is Canberra.	0
5	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	2.0	0	2	  The weather was so.	0
6	0	0	1	0	0	2	0	1	0	1	0	0	1	0	1	1	0	2.0	0	2	The government provides essential services.	0
7	0	0	1	1	0	2	1	0	0	1	0	0	1	0	1	0	0	2.0	0	4	We collaborated on various research projects.	0
8	0	0	1	1	1	4	0	0	0	1	0	0	0	0	1	1	0	3.0	0	3	People build houses for shelter and protection.	0
8	0	0	1	1	0	2	1	1	0	1	0	0	1	0	1	1	0	3.0	0	3	We developed a detailed plan of action.	0
6	0	0	1	0	0	2	1	0	0	1	0	0	1	0	1	1	0	2.0	0	3	We studied various research methodologies.	0
9	0	0	1	1	1	3	0	0	0	2	0	0	1	0	1	1	0	2.0	0	6	People build and inhabit structures from different materials.	0
8	0	0	1	0	0	3	0	2	0	0	0	1	1	0	1	0	0	2.0	0	5	A cheetah is the fastest land animal.	0
7	0	0	1	0	0	1	0	1	2	1	1	0	0	0	1	1	0	2.0	0	3	Fourteen countries border the Mediterranean Sea.	0
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	2	The train departed on schedule.	0
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	1	0	2.0	0	5	The car hit the tree with great impact.	0
9	0	0	1	1	0	4	0	1	0	1	0	0	1	0	1	1	0	3.0	0	3	An art exhibit features paintings from various artists.	0
9	0	0	1	0	0	1	0	2	2	0	0	1	2	0	1	0	0	2.0	0	5	The Eiffel Tower is a prominent Parisian landmark.	0
11	0	0	1	2	0	5	0	0	0	1	0	1	1	0	1	1	0	3.0	0	4	Solar panels on rooftops are gaining popularity in urban areas.	0
10	0	0	1	0	0	3	0	1	0	2	0	1	1	1	1	1	0	3.0	1	2	The new software was designed to improve database performance.	0
11	0	1	1	0	0	4	1	2	0	2	0	0	0	1	1	2	0	4.0	1	3	The school held a fundraiser for renovating their sports facilities.	0
18	0	0	4	1	0	4	0	3	3	0	0	1	2	0	1	0	0	4.0	0	14	The Eiffel Tower, a famous landmark in Paris, is a wrought-iron lattice tower.	0
