n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	SCONJ_constraint
12	2	0	1	2	0	3	1	2	0	1	0	0	0	0	2	0	0	3.0	0	8	The cat walked away coolly with her tail in the air.	0
3	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	1	I quip.	0
2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1.0	0	1	Your turn	0
4	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	1	It goes away.	0
13	0	1	0	0	0	4	3	1	0	2	0	1	1	1	2	2	0	3.0	1	6	Your card declines the request because you’ve exceeded your daily spending limit 	0
5	0	0	0	1	0	0	2	0	0	1	0	1	0	0	1	0	0	2.0	0	2	I can respond to that	0
3	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	2.0	0	2	Curb your enthusiasm	0
9	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	2.0	0	4	It simply won't fit in the carrier.	0
7	1	0	1	0	0	0	2	0	0	2	0	0	0	1	1	1	0	2.0	1	3	I just want it to go.	0
22	2	0	1	3	1	5	1	4	0	3	0	0	2	1	1	2	0	5.0	1	11	She skipped the meeting and took a walk alone, soaking in the rare moment of calm after an especially exhausting week	0
5	0	0	1	0	0	0	1	0	0	2	0	0	0	1	1	0	0	2.0	1	2	It has to go.	0
7	0	0	3	1	0	1	0	1	0	1	0	0	0	0	0	1	0	2.0	0	3	   * Let the cat in. * The horse eats apples. * She cuts my hair short. * I want the ball. * He wears glasses	0
4	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	2	I just quit.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	It needs a reboot.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumped out the window.	0
12	1	0	1	2	1	3	1	1	0	2	0	0	0	0	1	1	0	3.0	0	9	Sit on the couch with your feet up and watch TV.	0
1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	  Instruction	0
2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	Go. 	0
8	0	0	0	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The police arrested the man in the corner	0
9	0	0	0	1	1	2	1	3	0	1	0	0	0	0	1	0	0	3.0	0	3	It all ends with a bang and a whimper	0
