n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	SCONJ_constraint
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets over the horizon.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The dog is brown.	0
6	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	2.0	0	2	The red ball bounces high.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises over the horizon.	0
12	1	1	1	0	0	2	1	2	0	3	0	1	0	1	1	2	0	3.0	1	4	I am currently writing a sentence without using any subordinating conjunctions.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets over the horizon.	0
8	0	0	1	1	0	2	1	2	0	1	0	0	0	0	1	0	0	2.0	0	5	I walk in the park every day.	0
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	The dog chases the cat.	0
4	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	1	She sings beautifully.	0
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	2	The sun rises every day.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
5	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1.0	0	2	I speak French fluently.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun sets.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumps on the mat.	0
9	0	0	1	1	0	2	1	1	0	2	0	0	0	1	1	1	0	2.0	1	6	I read the book from cover to cover.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
7	0	0	1	1	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	4	She baked a cake from scratch.	0
7	1	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	0	2.0	0	3	I am writing this message now.	0
10	0	0	1	1	0	3	1	2	0	1	0	1	0	0	1	1	0	2.0	0	6	I am writing this sentence with no subordinating conjunctions.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises over the horizon.	0
8	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	2.0	0	4	I will go to the store now.	0
5	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1.0	0	2	I speak French fluently.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	I ate an apple.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises over the mountain.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets behind the mountains.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	All tasks are complete.	0
6	0	0	1	1	0	1	1	0	0	2	0	0	0	1	1	0	0	3.0	1	2	I love traveling in nature.	0
3	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	1	She smiles.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The dog barks loudly.	0
6	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	2.0	0	3	John runs in the park.	0
8	0	0	1	0	0	2	1	1	0	1	0	1	1	0	1	1	0	2.0	0	4	I will read a new book today.	0
5	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	2.0	0	1	Red balls bounce high.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	She reads a book.	0
4	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1.0	0	1	I drink water.	0
9	0	0	1	1	0	2	1	2	0	2	0	0	0	1	2	0	0	3.0	1	3	I saw the ball roll down the hill.	0
7	0	0	1	1	0	2	1	1	0	1	0	0	0	0	1	1	0	3.0	0	2	I read a book for pleasure.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets over the horizon.	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	I walk in the park.	0
4	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1.0	0	1	You eat breakfast.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
8	0	0	1	1	0	2	1	1	0	1	0	1	0	0	1	1	0	3.0	0	2	I will drink a cup of coffee.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	2	I run every day.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
7	0	0	1	1	0	2	1	0	0	1	1	0	0	0	1	1	0	2.0	0	4	I eat lunch at 12:00 pm.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets behind the mountains.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
7	0	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	She reads every morning before sunrise.	0
13	0	1	2	1	0	1	2	1	0	2	0	1	1	1	2	0	1	3.0	2	3	Though it was late, I decided to go for a walk.	1
14	0	1	2	1	0	1	3	0	0	2	0	3	1	1	2	0	1	3.0	2	4	Though it may be difficult, we should continue working towards our goals.	1
9	1	1	2	0	0	0	2	0	0	2	0	1	0	0	2	0	1	2.0	1	4	If it rains, we'll stay home.	1
14	1	1	2	0	0	2	2	1	0	2	0	3	0	0	2	2	1	3.0	1	8	If I had known the answer earlier, I could have saved time.	1
14	1	1	2	1	0	2	2	1	0	3	0	0	0	1	2	1	1	3.0	2	4	Though it rained heavily, we managed to finish the project on time.	1
