n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_prop_constraint
13	0	2	0	0	0	3	4	0	0	0	2	0	2	3.0	5	1	1	1	0	0	The cat sat on the mat, basking in the afternoon sun.	0
14	0	2	1	0	0	3	4	0	0	0	2	0	2	3.0	6	1	1	1	1	0	The sun shines brightly across the sky, casting shadows on the ground.	0
11	1	1	1	0	0	2	2	0	0	0	3	0	1	2.0	4	0	0	1	0	0	"""The red cat sleeps peacefully on the mat."""	0
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The dog chased the ball.	0
10	0	1	0	1	0	2	2	0	0	0	3	0	1	2.0	3	0	0	1	0	0	"""The dog is playing with the ball."""	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The cat sleeps soundly.	0
9	1	1	1	0	0	2	2	0	0	0	1	0	1	2.0	5	0	0	1	0	0	The cat sleeps soundly under the warm blanket.	0
17	1	1	1	0	1	2	4	0	1	0	3	0	3	3.0	11	0	0	1	2	0	The young child ran quickly to the park, greeted her friends, and played games.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	0
9	0	1	0	0	0	2	2	0	0	0	3	0	1	2.0	3	0	0	1	0	0	"""The cat sat on the mat."""	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The sun shines brightly across the sky.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	0
10	3	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The quick brown fox jumps over the lazy dog.	0
11	0	0	1	0	0	2	2	0	0	0	4	0	2	3.0	3	1	1	1	1	0	"""The sun shines brightly, illuminating the garden."""	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The cat sleeps soundly.	0
13	1	1	1	0	0	2	4	0	0	0	2	0	2	3.0	5	1	1	1	1	0	The sun shines brightly today, casting long shadows on the grass.	0
9	1	1	0	0	0	2	3	0	0	0	1	0	1	2.0	5	0	0	1	0	0	The flower glowed radiant in the evening breeze.	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The cat sleeps soundly.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat jumped onto the mat.	0
12	0	2	0	0	1	3	3	0	0	0	1	0	2	3.0	5	0	0	1	0	0	The cat sat on the mat and played with the toy.	0
7	2	0	0	1	1	1	1	0	0	0	1	0	0	2.0	2	0	0	1	0	0	The apple is ripe and sweet.	0
9	1	0	0	0	0	2	2	0	0	0	2	0	2	3.0	3	1	1	1	1	0	The sun shines bright, illuminating the garden.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat jumped onto the mat.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun shines upon the earth.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat jumped onto the table.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sits on the mat.	0
14	1	2	1	0	0	3	3	0	0	0	2	0	2	3.0	5	1	1	1	0	0	The cat jumped onto the fence, landing gracefully on the soft grass.	0
7	0	1	0	1	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	0	0	I am walking to the park.	0
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The cat chased the mouse up the tree.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sleeps on the mat.	0
10	0	1	1	0	0	2	2	0	0	0	2	0	2	2.0	5	1	1	1	0	0	The cat jumped onto the mat, purring contentedly.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat jumped onto the table.	0
16	2	0	1	0	1	3	3	0	0	0	3	0	3	6.0	5	1	1	1	2	0	The sun shines brightly, illuminating the flowers, creating a vibrant and beautiful masterpiece.	0
13	0	1	0	0	0	3	3	0	0	0	4	0	2	3.0	5	1	1	1	1	0	"""A cat sat on the mat, watching the sunset."""	0
8	0	1	0	1	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat is sitting on the mat.	0
9	0	1	0	0	0	2	2	0	0	0	3	0	1	2.0	3	0	0	1	0	0	"""The cat sat on the mat."""	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The cat slept soundly.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat jumped onto the table.	0
5	0	0	0	1	0	1	1	0	0	0	1	0	1	2.0	2	0	0	1	0	0	The dog is barking.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	0
13	1	2	0	0	0	3	3	0	0	0	2	0	2	3.0	5	1	1	1	0	0	The cat sat on the mat, basking in the warm sun.	0
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The dog chased the ball in the park.	0
13	1	2	1	0	0	2	3	0	0	0	2	0	2	3.0	6	1	1	1	0	0	The young child danced joyously in the meadow, laughing with delight.	0
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The dog chased the ball.	0
10	2	1	1	0	0	2	3	0	0	0	1	0	0	2.0	5	0	0	0	0	0	The red rose blooms brightly under the warm sun.	0
12	1	1	1	0	0	2	3	0	0	0	2	0	2	3.0	5	1	1	1	1	0	The sun shines brightly, casting long shadows on the ground.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	0
12	2	1	0	0	0	2	2	0	0	0	3	0	2	2.0	4	0	0	1	0	0	"""The quick brown fox jumps over the slumbering dog."""	0
16	1	2	1	0	0	3	4	0	1	0	2	0	2	4.0	7	1	1	1	1	0	The team completed their presentation successfully, despite the challenges faced with the technical difficulties.	1
25	2	3	0	1	1	3	7	0	3	0	3	0	2	5.0	10	1	0	2	1	1	The book, which I read yesterday, was a captivating read and provided me with much insight into the subject of quantum mechanics.	1
15	0	2	0	0	0	4	5	0	0	0	1	1	2	3.0	7	1	1	2	1	0	The cat sat on the mat while the dog played fetch in the park.	1
11	0	1	0	0	0	2	3	0	1	0	2	0	2	3.0	5	1	1	1	1	0	The dog raced across the park, chasing its tail.	1
13	0	1	1	0	1	3	3	0	0	0	2	0	2	3.0	8	0	0	2	0	0	The dog chased after the ball, and the ball rolled away.	1
19	0	2	0	0	0	5	5	0	1	0	2	1	3	3.0	10	2	2	2	2	0	The cat leaped onto the table once it heard the noise, leaving a scratch on the table.	1
19	2	1	0	1	0	4	5	0	1	0	1	1	3	5.0	4	2	1	2	2	1	The book I am reading provides a compelling argument for reducing the environmental impact of the transportation sector.	1
14	0	2	0	0	0	4	4	0	0	0	2	0	2	3.0	5	1	1	1	1	0	The dog jumped over the fence, chasing the ball into the yard.	1
15	0	2	0	0	1	4	4	0	0	0	2	0	2	3.0	8	0	0	2	0	0	The cat jumped onto the table, and the book fell off the shelf.	1
16	1	2	1	0	0	4	5	0	0	0	2	0	1	3.0	9	0	0	1	1	0	The student completed the homework assignment successfully, despite the challenging nature of the task.	1
16	1	1	1	0	0	4	4	0	0	0	2	0	2	3.0	7	1	1	1	2	0	The dog chased the ball down the park, leaving the red t-shirt behind.	1
16	1	1	0	0	1	4	4	0	0	0	3	0	2	3.0	9	0	0	1	2	0	The student completed the assignment, despite the challenges, and achieved a high grade.	1
19	1	2	0	1	0	5	5	0	1	0	3	0	1	3.0	8	1	0	2	1	1	The book, which is a fascinating read, provides a glimpse into the history of the city.	1
17	0	1	1	0	1	3	3	0	2	0	2	1	3	3.0	13	1	1	3	1	0	The dog chased the ball until it rolled under the table, and then it stopped.	1
19	2	3	0	0	0	2	5	0	1	0	3	0	3	4.0	7	1	1	1	1	0	The traveler, weary from their journey, sought refuge in the quaint village nestled amidst towering pines.	1
15	0	1	2	0	0	4	4	0	0	0	2	0	2	3.0	8	1	1	1	2	0	The dog chased the ball up the tree, thereby chasing the squirrel away.	1
12	0	0	1	0	0	3	3	0	0	0	2	1	2	3.0	7	1	1	2	1	0	The dog chased the ball, while the cat slept soundly.	1
23	2	1	0	1	1	4	7	0	1	0	2	2	2	5.0	9	2	2	2	2	0	The book is a valuable resource for understanding the history of the world, as it explores various cultures and time periods.	1
16	1	1	0	1	0	3	3	0	2	0	2	1	2	4.0	5	1	1	3	1	0	The dog chased the ball up the tree, which resulted in it getting stuck.	1
14	1	2	1	1	0	3	3	0	0	0	2	0	1	2.0	9	0	0	1	0	0	The cake was sliced equally among the guests, despite the limited supply.	1
22	1	3	1	1	0	4	6	0	2	0	2	0	2	5.0	6	1	1	2	1	0	The cake was beautifully decorated with a single layer of fruit filling, which made it the centerpiece of the party.	1
16	1	2	0	0	0	3	5	0	2	0	1	0	2	5.0	4	1	1	2	2	0	A young student wrote a paper in which she explored the topic of quantum physics.	1
17	2	1	0	0	0	3	4	0	2	0	1	1	3	5.0	7	2	0	2	1	2	The young boy who dreamt of becoming an artist painted a beautiful portrait of his grandmother.	1
14	1	1	0	0	0	4	4	0	1	0	1	0	2	5.0	3	1	1	2	2	0	The student wrote a report that included a detailed summary of the novel.	1
25	1	4	1	0	0	6	6	0	0	0	2	1	4	5.0	7	2	2	2	0	0	The cat jumped onto the table as the owner strolled through the park, ultimately leading to a playful encounter with the neighboring dog.	1
14	0	1	1	0	1	3	3	0	0	0	2	0	3	3.0	5	1	1	1	1	0	The cat jumped onto the table, eating the fish and purring contentedly.	1
23	2	3	1	0	1	6	6	0	0	0	2	0	2	6.0	7	1	1	1	1	0	The scientist completed the experiment successfully, despite the challenges presented by the complex machinery and the volatile nature of the chemicals.	1
17	0	2	0	0	1	5	5	0	0	0	2	0	2	3.0	10	0	0	2	1	0	The dog chased the ball down the park, and the ball rolled across the playground.	1
12	1	2	0	1	0	2	3	0	1	0	2	0	0	3.0	4	0	0	1	0	0	The cake is delicious, despite its imperfection in the frosting.	1
14	0	2	0	1	0	3	3	0	1	0	2	0	2	4.0	4	1	1	2	0	0	The cat chased after the ball, which had fallen from the table.	1
19	1	2	1	0	0	3	4	0	2	0	2	0	3	5.0	5	2	2	2	1	0	The young boy ran to the park to play with his friends, where he rode a swing.	1
16	1	1	1	2	0	3	3	0	1	0	3	0	1	3.0	10	1	0	2	0	1	The cake, which was freshly baked, was a delicious treat for the guests.	1
16	1	0	1	3	1	2	2	0	1	0	3	0	2	3.0	8	1	0	3	0	1	The book I'm reading is captivating, and the characters are well-developed.	1
15	0	2	1	0	0	4	4	0	0	0	2	0	2	4.0	7	1	1	1	1	0	The team completed the project successfully, despite the challenges encountered along the way.	1
15	0	1	0	1	0	3	3	0	1	0	2	2	2	3.0	9	1	1	2	1	0	The cat jumped onto the table, so that it could eat the fish.	1
13	0	1	0	1	0	3	3	0	2	0	1	0	2	4.0	3	1	1	2	1	0	A woman is reading a book that she borrowed from the library.	1
25	1	1	0	1	0	4	6	0	1	0	1	2	7	5.0	8	5	3	2	2	2	The young boy who dreamed of becoming a pilot was inspired to take flying lessons after seeing a fighter jet soar through the sky.	1
23	1	1	1	2	0	3	4	0	4	0	3	1	3	4.0	10	3	2	3	2	1	The coffee, which was brewed this morning, was so flavorful that it made everyone in the office appreciate its aroma.	1
15	0	2	0	0	0	4	4	0	0	0	2	1	2	3.0	8	1	1	2	0	0	The cat sat on the mat, while the dog played with the ball.	1
16	1	0	0	0	1	1	3	0	3	0	2	0	4	5.0	4	2	2	1	3	0	The student finished her homework, allowing her to relax and enjoy her free time.	1
17	0	1	1	0	0	2	4	0	2	0	2	1	3	4.0	8	2	2	2	2	0	The student completed the homework assignment successfully, although he forgot to submit it on time.	1
16	0	1	0	1	0	1	4	0	1	1	1	1	3	3.0	5	2	1	1	2	1	The boy's decision to study English was influenced by his interest in reading literature.	1
14	0	1	0	0	0	4	4	0	0	0	2	1	2	3.0	7	1	1	2	1	0	The dog chases the ball, while the cat naps under the tree.	1
16	0	2	1	0	0	4	4	0	1	0	2	0	2	4.0	5	1	1	2	1	0	The dog chased the ball into the park, where it splashed in the pond.	1
17	1	2	0	0	0	3	4	0	1	0	2	1	3	5.0	4	2	2	2	1	0	The young girl read a book while waiting for the bus, which arrived on time.	1
15	1	0	1	0	0	3	3	0	0	0	3	1	3	4.0	6	2	2	2	1	0	The cat sleeps soundly, while the clock chimes, providing a tranquil evening.	1
25	3	4	0	0	0	6	8	0	0	0	2	0	2	6.0	8	1	1	1	2	0	The young student wrote a report on the history of computer science, containing a detailed overview of the key milestones in the field.	1
15	0	2	0	2	0	3	3	0	1	0	2	0	2	4.0	5	1	1	2	0	0	The dog chased after the ball, which had been dropped by the child.	1
14	2	0	0	1	0	2	3	0	2	0	3	0	1	4.0	11	1	0	2	0	1	The book, which I read last night, was a captivating story.	1
15	0	2	0	0	0	3	4	0	1	0	2	0	3	4.0	8	2	2	2	1	0	The team finished creating the presentation on time, despite the challenges they faced.	1
16	0	1	1	0	1	4	4	0	1	0	2	0	2	3.0	10	0	0	2	2	0	The dog chased the ball into the park, and the child watched it excitedly.	2
17	3	1	0	0	1	2	4	0	1	0	2	1	2	4.0	7	1	1	1	0	0	The young boy dreamed of becoming a doctor, despite his humble beginnings and unwavering obstacles.	2
20	0	2	1	0	1	5	5	0	0	0	3	0	3	4.0	8	1	1	2	1	0	The cat chased after the ball, and the ball bounced across the room, leaving the cat behind.	2
20	1	0	0	3	1	2	4	0	4	0	4	0	1	3.0	10	1	0	3	0	1	The book, which I am reading, is a fantasy novel, and it is my favorite genre.	2
14	0	2	0	0	1	2	2	0	2	0	2	0	3	3.0	7	1	1	2	1	0	The cat chased after the ball, and it ended up finding it.	2
18	3	0	3	1	2	2	2	0	1	0	2	0	2	5.0	6	1	1	1	1	0	The movie was both critically acclaimed and commercially successful, making it a critical and financial triumph.	2
21	1	2	2	0	1	3	4	0	0	0	3	1	4	4.0	13	2	2	1	1	0	The cat slept soundly, despite the noisy rain falling on the window, and dreamt sweetly of chasing butterflies.	2
15	0	2	0	0	0	4	4	0	0	0	2	1	2	3.0	8	1	1	2	0	0	The cat chased after the ball, while the mouse searched for the cheese.	2
