n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NOUN_constraint
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
7	1	0	1	0	0	0	1	0	0	2	0	1	0	1	1	0	0	2.0	1	3	Why did you begin to write?	0
25	0	2	2	2	2	6	1	3	0	2	0	2	2	2	2	0	0	4.0	2	20	I am not sure of the purpose or reason for embarking on this writing task, as no specific direction or task is outlined.	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
7	1	0	1	0	0	0	1	0	0	2	0	1	0	1	1	0	0	2.0	1	3	Why did you begin to write?	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
7	1	0	1	0	0	0	1	0	0	2	0	1	0	1	1	0	0	2.0	1	3	Why did you begin to write?	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
7	1	0	1	0	0	0	1	0	0	2	0	1	0	1	1	0	0	2.0	1	3	Why did you begin to write?	0
8	1	0	3	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1.0	0	4	“We don’t really remember.”	0
15	0	0	2	2	0	3	1	2	0	2	1	1	0	1	1	1	0	3.0	1	10	I cannot produce a sentence with 0 nouns, according to the instruction.	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
7	0	0	1	0	0	1	1	1	0	2	0	0	0	1	1	1	0	3.0	1	2	We need to clarify the task.	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
7	1	0	1	0	0	0	1	0	0	2	0	1	0	1	1	0	0	2.0	1	3	Why did you begin to write?	0
10	1	0	1	0	0	0	2	0	0	3	0	1	0	2	2	1	0	4.0	2	3	I don't remember why I began to write.	0
7	1	0	1	0	0	0	1	0	0	2	0	1	0	1	1	0	0	2.0	1	3	Why did you begin to write?	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
7	1	0	1	0	0	0	1	0	0	2	0	1	0	1	1	0	0	2.0	1	3	Why did you begin to write?	0
9	1	0	3	0	0	0	1	0	0	2	0	1	0	1	1	0	0	2.0	1	3	“Why did you begin to write?”	0
7	1	0	1	0	0	0	1	0	0	2	0	1	0	1	1	0	0	2.0	1	3	Why did you begin to write?	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
7	1	0	1	0	0	0	1	0	0	2	0	1	0	1	1	0	0	2.0	1	3	Why did you begin to write?	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
12	1	0	1	1	0	1	1	1	1	2	0	1	1	1	1	1	0	3.0	1	5	Why did you begin to learn English in the first place?	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
7	1	0	1	0	0	0	1	0	0	2	0	1	0	1	1	0	0	2.0	1	3	Why did you begin to write?	0
7	1	0	1	0	0	0	1	0	0	2	0	1	0	1	1	0	0	2.0	1	3	Why did you begin to write?	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
5	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1.0	0	3	I don't know.	0
7	1	0	1	0	0	0	1	0	0	2	0	1	0	1	1	0	0	2.0	1	3	Why did you begin to write?	0
12	0	0	3	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	“I would like both Lynn and I to participate.”	0
20	0	0	2	2	0	5	0	4	0	4	0	2	0	2	1	2	0	6.0	2	5	The provided instruction could be interpreted as a question, requiring a response to express a reason for writing.	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
21	2	1	2	0	0	4	1	3	0	4	0	2	0	1	3	2	0	3.0	1	12	The context does not provide any information about why writing began, so I cannot generate the requested sentence.	0
7	1	0	1	0	0	0	1	0	0	2	0	1	0	1	1	0	0	2.0	1	3	Why did you begin to write?	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
10	0	0	1	0	2	0	2	0	1	2	0	1	0	1	1	1	0	3.0	1	6	I would like both Lynn and I to participate.	0
