n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADV_constraint
19	1	2	0	0	0	3	4	0	0	2	0	3	2	2	3	1	0	5.0	2	7	I'm not going anywhere until my pet dragon is satisfied that I can provide it's favorite treat	0
9	1	0	2	1	0	1	1	1	0	1	0	0	1	0	1	0	0	2.0	0	5	The baby smiled at me, totally unbelievable.	0
16	1	1	2	1	0	4	1	3	0	3	0	0	0	2	2	1	0	4.0	2	6	The cat remained in the window, sleepily watching the bird until its mate reappeared.	0
14	0	0	1	2	0	1	3	2	1	3	0	1	0	2	3	0	0	4.0	2	6	She said they would return in March with all the information she needed.	0
15	2	0	1	1	0	2	2	1	0	3	0	1	0	1	2	0	0	3.0	1	10	She didn't need to study for the history test, fortunately she passed easily	0
18	0	0	1	3	1	4	0	3	2	3	0	0	1	1	1	1	0	5.0	1	5	Ms. Grimshaw looked around the corner and spotted a little boy playing with sticks in the grass.	0
6	0	0	1	1	0	1	1	0	0	2	0	0	0	1	1	0	0	3.0	1	2	I love dancing in raindrops.	0
8	1	1	1	0	0	1	1	1	0	2	0	0	0	1	2	0	0	2.0	1	4	The cat purred loudly as it lazed.	0
18	0	0	3	3	0	3	2	1	1	4	0	0	0	3	2	1	0	7.0	3	4	Jim jumped into pond, splashing his friend, who had to dive out of the way.	0
16	0	1	1	1	0	6	1	4	0	2	0	0	0	1	2	3	0	4.0	1	8	The cat gave the rat the pouncing stare as he drank a bowl of milk.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred softly.	0
8	0	0	1	1	0	2	1	1	0	1	0	1	0	0	1	1	0	2.0	0	4	I will make a sandwich for lunch.	0
12	0	0	2	1	0	2	3	2	0	1	0	1	0	0	3	0	0	3.0	0	7	She walked into the room, what a shock it was!	0
15	2	0	3	1	0	3	1	3	0	2	0	0	0	1	2	1	0	4.0	1	6	The dog chased the cat, which ran very quickly, down the street.	0
10	0	2	1	1	0	1	2	0	0	2	0	0	1	1	1	1	0	3.0	1	4	Her eyes lit up as if expecting something exciting.	0
23	1	0	2	5	0	6	1	3	0	2	0	0	2	1	1	0	0	4.0	1	10	The baby elephant hatched out of its egg with a small trumpet, ready to march down to the river for water.	0
19	1	1	4	0	1	4	0	2	0	4	0	1	0	2	1	2	0	4.0	2	8	"The teacher smiled and told the student, ""Don’t even think about skipping class tomorrow""."	0
16	1	0	2	2	0	2	3	1	2	2	0	1	0	1	3	1	0	5.0	1	5	I once met a man from Peru, who said his mother was from France.	0
10	0	0	0	1	1	3	2	1	0	2	0	0	0	0	1	1	0	3.0	0	5	The cat purred and nudged its head against my chest	0
12	1	0	1	1	0	2	3	1	0	2	0	0	1	1	2	1	0	3.0	1	6	They laughed when I brought a new bird for my dog.	0
16	2	0	2	1	1	2	1	2	0	2	0	1	2	1	2	0	0	3.0	1	12	The cat curled into a fuzzy ball and purred so loudly, it was adorable.	0
17	1	0	2	1	0	2	3	2	0	2	0	1	2	2	2	0	0	4.0	2	9	I'm so annoyed I had to pay for a taxi, what an unnecessary expense.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred brightly.	0
12	1	0	1	1	1	3	1	0	0	2	0	1	1	0	1	0	0	3.0	0	5	My favorite toy broke yesterday and now is smashed to smithereens.	0
9	2	0	1	0	0	0	1	0	0	1	0	2	1	1	1	0	0	2.0	1	3	You will be able to fly there quickly.	0
12	0	0	0	0	0	5	1	1	0	2	0	1	0	1	1	2	0	3.0	1	6	Every cat owner should brush their pet's hair to prevent knots	0
