n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	VERB_constraint
10	1	0	3	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	" ""The cat purred contentedly on my lap."""	0
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	3.0	0	4	The shadow of the tree stretched across the lawn.	0
11	1	0	1	1	0	3	0	0	0	1	0	1	3	0	1	0	0	2.0	0	4	Fluffy golden clouds doth gently hover over lush emerald fields. 	0
8	1	0	0	0	0	3	0	1	0	1	0	0	2	0	1	1	0	2.0	0	3	A tranquil morning breeze gently rustles delicate leaves	0
21	0	0	2	3	1	5	1	4	0	3	0	0	2	1	1	3	0	5.0	1	9	Silence permeated the entire room like a heavy blanket, enveloping everything and casting a pall of stillness over all.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
6	0	0	2	0	0	2	0	0	0	2	0	0	0	0	2	0	0	2.0	0	3	Glass shattered, water poured.	0
7	1	0	0	1	0	3	0	1	0	1	0	0	0	0	1	0	0	2.0	0	4	Bubble wands float quietly in the water	0
2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	OK. I'll do that right away:  Fluffy unicorns dance in sparkly clouds while singing sweet rainbow melodies.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	 The cat purred softly on my lap.	0
9	0	0	2	1	0	3	0	1	0	2	0	0	0	1	1	1	0	3.0	1	4	Silence lingers, shrouding all sound with stillness. 	0
5	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	2.0	0	2	The cold wind blew silently	0
5	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1.0	0	1	(Your sentence here)	0
10	1	0	1	0	1	3	0	1	0	1	0	1	1	0	1	1	0	2.0	0	2	The candy shop is pink and has chocolate inside.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Greetings. 	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rose. 	0
15	0	0	0	4	0	5	0	3	0	2	0	0	1	1	2	0	0	4.0	1	7	A sunset unfolded in the sky with the clouds glowing with shades of warm orange	0
20	1	0	2	2	1	5	4	1	0	3	0	0	1	1	1	2	0	4.0	1	6	The rain fell softly on my face, cooling my skin and lifting my spirit with its gentle touch. 	0
22	3	0	1	3	1	5	1	2	0	3	0	0	3	1	1	1	0	7.0	1	5	Snow blankets everything silently and glistens brightly in a peaceful stillness broken only by the occasional crunch of frost-crisp boots	0
5	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	2.0	0	1	 The cat remained silent.	0
8	0	0	3	0	0	1	0	0	0	1	0	0	3	0	1	0	0	3.0	0	5	  Cold, dark, silent snow fell.	0
41	2	1	6	6	2	10	2	5	0	5	0	0	2	3	1	2	0	7.0	3	9	" ""The cat purred contentedly beside its owner, purring gently and nudging the human hand with its head before curling up for a soft snooze, exuding comfort, relaxation, and affection in the stillness of the moment."	0
13	1	0	2	1	0	4	0	2	0	1	0	0	2	0	1	0	0	3.0	0	5	The silk-white snow softly glowed in the early morning fog. 	0
24	1	0	7	2	0	6	0	3	0	1	0	1	2	0	0	0	0	6.0	0	9	"Okay, here is a sentence without any verbs, verbatim: ""Frothy coffee, steaming hot as a summer sunset."""	0
1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	Listen	0
19	1	0	3	2	1	3	0	2	0	1	0	0	6	0	1	0	0	3.0	0	7	Nameless, faceless bones in an empty, grey chalice lay silent and alone under the pale moonlight.	0
14	1	0	3	0	0	4	1	1	0	1	0	0	3	0	1	1	0	3.0	0	7	Here you go:  Fluffy, white cat fur carpets the cool tiles. 	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky is blue.	0
8	1	0	1	1	0	2	1	0	0	1	0	0	1	0	1	0	0	2.0	0	4	Silent snow fell softly on my fingertips. 	0
4	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	2.0	0	1	Silence reigns supreme.	0
5	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	2.0	0	4	 Here is the requested sentence	0
10	0	0	3	1	0	3	0	1	0	1	0	0	0	0	1	0	0	3.0	0	2	"  ""The dog's collar sparkled with diamonds."""	0
