n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_link_constraint
8	0	1	0	1	0	0	2	0	2	0	1	0	1	2.0	4	0	0	1	0	0	I will go to my hypnosis appointment.	2
6	0	0	1	0	0	1	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The dog chased cat quickly.	2
6	1	0	0	1	0	1	2	0	0	0	0	0	1	2.0	2	0	0	1	1	0	The new restaurant will cook pasta	2
6	0	1	1	0	0	0	0	0	1	1	1	0	1	2.0	3	0	0	1	0	0	"We went to Paris often. // dependency links of 2 words = ""to"" and ""often"""	2
10	1	1	2	2	0	0	0	1	1	0	1	0	0	2.0	4	0	0	1	0	0	He has been away too long at $483.00.	2
6	0	0	2	0	0	1	1	0	0	0	1	0	1	2.0	2	0	0	1	0	0	The dog ran quickly fast.	2
10	1	2	0	0	0	0	4	1	0	0	1	0	1	3.0	5	0	0	0	1	0	Generate sentence with longest dependency link of 2 words: She will pick tomatoes tomorrow.	2
5	0	0	1	0	0	0	1	0	1	0	1	0	1	1.0	2	0	0	1	1	0	He finished work late.	2
11	2	0	0	0	0	1	1	0	2	0	1	0	3	5.0	3	2	2	1	1	0	I paid extra to make sure there was no rattle.	2
6	0	1	0	0	0	0	1	0	1	1	1	0	1	2.0	3	0	0	1	1	0	I bought tickets to Miami. 	2
8	1	1	1	0	0	0	1	0	2	0	1	0	1	2.0	5	0	0	1	0	0	She walked slowly to her favorite cafetorique. 	2
7	0	0	0	0	0	1	2	0	0	0	1	0	2	3.0	3	1	1	0	2	0	Bring cash to avoid any hassle.	2
6	1	0	0	1	0	0	2	0	0	0	0	1	0	2.0	3	0	0	1	0	0	Happiness is not good at cooking	2
6	0	0	2	1	0	0	0	0	1	0	1	0	1	1.0	2	0	0	1	0	0	We can drive somewhere pretty. 	2
12	2	1	0	0	1	2	4	0	0	0	1	0	1	4.0	3	0	0	1	1	0	The new policy requires full disclosure of all sources and methods.	2
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	2
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The cat laughed loudly.	2
9	0	1	0	0	1	0	4	0	1	0	1	0	1	3.0	3	0	0	1	1	0	She ate pancakes with butter and maple syrup.	2
7	0	1	1	0	0	0	1	1	1	0	1	0	1	2.0	4	0	0	1	0	0	She ate quickly at 9 am.	2
10	0	0	1	1	0	2	1	1	1	0	1	0	1	2.0	4	0	0	1	2	0	Then the company will give me another $25.	2
18	0	1	0	2	0	3	5	0	1	0	3	0	3	3.0	9	0	0	2	1	0	Your response will be judged on the following criteria: - The sentence meets the task specification - The sentence contains the longest dependency link of 2 words 	2
5	0	0	0	1	0	0	1	0	1	0	0	0	1	2.0	3	0	0	1	0	0	My pleasure is to assist	2
6	1	0	1	0	0	0	1	0	1	0	1	0	1	2.0	3	0	0	1	1	0	She ate several sandwiches silently.	2
6	0	0	0	1	0	1	1	0	1	0	1	0	1	2.0	2	0	0	1	1	0	I am buying a present.	2
5	0	0	0	1	0	0	1	0	1	0	1	0	1	1.0	2	0	0	1	1	0	I'll bring snacks.	2
25	2	1	1	2	0	1	3	0	3	0	4	2	4	4.0	20	3	3	2	2	0	Please include the dependent word pair(s) you would like to focus on, so that I may better tailor my response. To specify a length, indicate whether you would prefer one, two, three, or four words	2
7	0	1	1	2	0	1	1	0	1	0	0	0	0	2.0	3	0	0	1	0	0	He will be away for a fortnight	2
18	0	1	1	0	2	2	4	0	3	0	1	1	3	4.0	9	1	1	2	3	0	The company paid me quickly and without delay, and I appreciated their efficiency in handling the matter	2
23	1	3	0	1	1	3	7	1	1	0	4	0	1	4.0	11	0	0	2	1	0	"The longest dependency links of two words in the input sentence are ""I got a bill for"" and ""week"""	2
6	0	0	0	0	0	0	1	1	1	0	1	0	1	2.0	1	0	0	1	1	0	Your bill totalled $483.00.	2
4	0	0	0	1	0	0	1	0	1	0	1	0	0	2.0	1	0	0	1	0	0	Your sentence is: Then you'll need a visa for entry	2
9	0	0	0	2	0	0	2	0	2	0	1	0	1	2.0	4	0	0	1	1	0	My pleasure will be to visit your mother.	2
5	1	0	0	1	0	0	2	1	0	0	0	0	0	2.0	2	0	0	1	0	0	Today is good 8:15 am	2
8	0	0	2	0	0	1	1	0	1	1	1	0	1	3.0	5	0	0	1	1	0	She studied French intensively all summer long. 	2
7	0	1	1	2	0	0	0	0	1	1	1	0	0	2.0	3	0	0	1	0	0	I will be there until Monday.	2
5	0	0	1	0	0	0	0	0	2	0	0	0	2	2.0	2	1	1	1	1	0	She made me laugh easily	2
38	2	5	1	2	0	3	7	4	0	0	9	0	2	5.0	17	0	0	2	0	0	"The bill amounted to $567.21  Explanation :  The longest dependency links of 2 words would be ""amounted to $ 567.31 "" rather than "" $483.00"" in the previous response, ""week""."	2
6	0	0	1	0	0	0	1	1	1	0	1	0	1	2.0	3	0	0	1	1	0	She ate six cookies quietly.	2
9	0	1	1	0	0	1	2	0	1	0	1	0	1	3.0	3	0	0	1	0	0	The dentist's assistant smiled warmly at me.	2
13	1	1	0	1	0	2	4	1	0	0	3	0	0	3.0	7	0	0	1	0	0	"The longest dependency link of 2 words is ""all week."""	2
8	0	2	1	0	0	0	2	1	1	0	0	0	1	2.0	5	0	0	1	0	0	Then I went to bed at 10 pm	2
8	1	0	0	2	0	0	1	0	2	0	1	0	1	3.0	5	1	1	1	1	0	Sentence: She must have ate something bad	2
5	1	1	0	0	0	0	1	0	1	0	0	0	1	2.0	3	0	0	1	0	0	She walked down warm boulevards	2
6	0	0	3	0	0	0	0	0	1	0	1	0	1	1.0	2	0	0	1	0	0	Then we walked slowly down.	2
6	0	0	2	0	0	1	1	0	0	0	1	0	1	2.0	2	0	0	1	0	0	The dog ran away rapidly. 	2
6	0	0	1	1	0	0	1	0	1	0	1	0	1	1.0	3	0	0	1	1	0	Then we can have brunch.	2
48	5	4	2	3	3	6	10	1	2	0	7	0	4	6.0	13	3	3	2	2	0	"  Your response is a perfect sentence with a dependent clause ""and cake to complete the experience"" that is linked by a coordinating conjunction ""and"" and is a longest dependent link of 2 words in the whole sentence, therefore, receiving full marks."	2
11	0	1	2	0	0	2	2	0	1	0	1	0	2	3.0	4	1	0	2	0	1	When the meeting ended he went straight to the bank.	2
8	0	0	0	1	0	1	2	0	0	0	1	1	2	2.0	2	1	1	1	0	0	 The dependency links are highlighted by underlining.	2
5	0	0	1	0	0	0	1	1	1	0	0	0	1	3.0	3	0	0	1	1	0	She ate only two hotdogs	2
12	3	0	1	1	0	0	1	0	1	0	1	1	2	3.0	5	1	1	1	1	0	So we were planning to attend more foreign concerts as possible. 	6
16	2	1	1	1	0	1	3	0	2	0	1	0	3	3.0	10	1	1	2	1	0	Several top brass tried to sneak their cronies onto the payroll    Did I do well? Please provide feedback; I'd love to hear it	6
23	4	2	2	1	0	4	6	0	2	0	0	0	2	3.0	18	0	0	2	2	0	She bought some fresh produce from the farm stand instead of the large super market chain so she could support the local community	6
9	0	1	1	1	0	0	0	0	2	1	0	0	2	3.0	3	1	1	1	1	0	Practically nothing is done to enforce it in Washington	6
15	1	0	1	3	1	0	2	0	1	0	0	0	4	6.0	14	2	0	2	0	2	Bureaucrats who want to be treated fairly and be considered valuable employees do not exist	6
2	0	0	0	0	0	0	2	0	0	0	0	0	0	1.0	1	0	0	0	0	0	  Sentence length	6
13	2	1	1	0	1	3	4	0	0	0	0	0	1	3.0	9	0	0	1	1	0	The new store offered the most fashionable apparels and footwear for every occasion	6
40	3	7	3	2	2	3	6	0	2	4	1	2	5	7.0	10	2	2	3	0	0	So Wolfowitz had lied  to him about an alleged high likelihood that Saddam Hussein was connected with the Anthrax letters sent out and that Bush went ahead anyway because of his own prejudice and dislike of the Iraqi dictator?  	6
18	3	2	1	0	0	3	4	0	0	0	3	0	2	3.0	7	1	1	1	0	0	Satisfied, the customers went around with a wide smile, praising about the great shopping experience.	6
17	1	2	1	0	0	2	6	0	0	0	1	0	3	4.0	7	1	1	1	1	0	The sales team struggled to maintain customer satisfaction with a constantly revolving roster of freelance trainers. 	6
15	1	3	1	0	0	2	3	0	1	2	0	0	2	4.0	5	0	0	1	1	0	Blair willingly followed Bush like a lost puppy with a dead rabbit in its mouth	6
12	0	1	2	0	0	3	3	0	0	0	0	1	2	3.0	5	1	1	2	0	0	The tension in the stadium grew exponentially until the ball soared over	6
22	1	4	0	1	0	2	3	1	2	3	1	1	2	4.0	14	2	1	1	1	1	After studying for six months at the University of the West Indies, we were unable to make contact with his family	6
2	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0	0	0	0	0	0	0	None.	6
14	1	1	1	0	0	3	4	0	0	0	1	0	2	4.0	6	1	1	1	2	0	 The company needed more time to resolve the matter with the client satisfactorily. 	6
9	3	0	0	1	0	0	2	0	0	0	1	1	1	2.0	2	1	1	1	1	0	Federal regulatory agencies are responsible for enforcing compliance. 	6
40	3	5	0	3	1	2	12	0	2	0	5	1	5	7.0	15	3	3	3	3	0	The new management strategy will be implemented district-by-district across all markets and monitored by corporate using quarterly metrics with rolling year-over-year comparisons to ensure that we are meeting our growth expectations.	6
15	1	3	0	1	0	2	4	1	1	0	1	0	1	5.0	11	0	0	1	1	0	I will generate a sentence of at least 6 words with a dependency link. Here you go: We need the meeting agenda to get the project timeline updated next week because Sheryl and Tim cannot attend the training session in Boston on April 21st, so John and David must fill in the information blanks and add the deadlines	6
14	1	3	1	1	0	1	3	0	1	2	0	0	1	3.0	9	0	0	1	0	0	CNN is reporting on the scene live from its brand new location in Abuja	6
16	1	3	1	2	1	1	3	1	1	0	0	0	2	4.0	9	1	0	1	0	1	Relying on one vendor for all your supplies is risky and will eventually lead to disaster	6
