n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_post_constraint
12	0	0	0	0	0	0	0	8	0	0	4	0	0	3.0	5	0	0	0	0	0	Ninety-eighty-three thousand eight hundred seventy-four. 	0
6	0	0	1	0	0	0	0	0	1	0	2	0	1	1.0	2	0	0	0	0	0	Okay, here it is: In March of 2003, only 9 percent of all Iraqi urban areas had potable water	0
11	0	3	0	0	0	0	3	2	0	1	1	0	0	4.0	8	0	0	0	0	0	93 - Percentage of Baghdad's streets with electricity in 2002	0
9	1	1	0	0	0	0	2	1	1	2	0	0	1	2.0	6	0	0	1	1	0	Hank Aaron won his first championship in 225 games	0
2	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0	0	0	0	0	0	0	None.	0
43	6	7	0	1	1	2	13	1	1	1	3	0	4	6.0	21	2	1	1	1	1	With 97 percent of Iraq's total urban areas having access to safe drinking water, the vast majority of residents were not forced to rely on polluted rivers and streams for their household needs, a significant improvement from previous years. 	0
10	3	1	1	0	0	0	3	1	0	0	0	0	1	3.0	5	0	0	1	1	0	92 percent of major cities worldwide experienced significant urban growth	0
29	3	5	1	1	0	2	6	2	1	1	5	0	1	5.0	13	1	1	1	0	0	Below are the outputs from the responses you requested:   * Percentage of Iraq's urban areas with access to potable water in late 2002: 92. * At the time of his promotion, he had hit a .322 average in 102 games with Altoona and .432 in 24 games for Indianapolis: The player hit an average of .322 in 102 games with Altoona and .432 in 24 games for Indianapolis.	0
8	1	0	0	1	0	1	2	1	0	1	1	0	0	2.0	3	0	0	1	0	0	The average temperature was 70 degrees Fahrenheit.	0
53	4	8	0	0	0	3	7	5	4	11	6	0	3	6.0	29	2	2	1	3	0	Murad, as a young lawyer, won 17 of his first 25 appellate cases after his promotion to Superior Court in February to December 15, 1983, at a 68% win rate, leading the Pennsylvania District Attorneys Association to seek his membership for its elite Prosecuting Attorneys Association. 	0
8	0	1	0	1	0	0	1	2	1	0	1	0	1	2.0	4	0	0	1	1	0	He had hit .322 in 102 games.	0
13	2	2	0	0	0	1	3	2	0	0	1	0	1	3.0	9	0	0	1	1	0	The city had 92% access to potable water in late 2002.	0
11	1	1	0	0	0	1	1	1	0	2	3	0	1	2.0	5	0	0	1	1	0	"  ""Hitler joined the German army in September 1914."""	0
27	0	3	1	2	2	2	9	1	1	1	3	0	1	7.0	12	2	2	2	0	0	Okay, here is the sentence you requested:   Bradley was a 21 year veteran with experience in sales and marketing for technology and manufacturing firms. 	0
27	2	5	0	0	0	2	8	3	1	0	2	0	4	5.0	11	2	2	1	2	0	The proportion of surveyed households with regular water supplies from their taps reached 92 percent, representing a significant increase compared to 67 percent in 2001. 	0
23	1	3	0	1	1	3	4	1	0	5	2	0	1	3.0	12	0	0	2	1	0	The above sentence is: 44% of Americans supported the impeachment and removal of President Richard Nixon after the Watergate hearings.	0
25	3	4	1	1	0	1	4	2	1	1	3	0	2	5.0	14	1	1	2	1	0	Okay, here is the sentence you requested:  88% of urban youth in Iraq had reliable access to clean water in 2002.	0
16	1	3	0	0	0	1	5	1	0	1	2	0	1	5.0	6	1	1	0	1	0	93 - Percentage of Jordan's urban population lacking access to electricity in the mid-1990s. 	0
14	2	2	0	1	0	2	3	1	0	1	1	0	0	4.0	9	0	0	1	0	0	The average salary for an elementary school teacher in California is $82,500.	0
18	3	4	0	1	0	1	4	2	0	1	1	0	0	5.0	15	0	0	1	0	0	The percentage of Iraq's urban areas with access to potable water in late 2002 was 92.	0
11	2	1	0	0	0	1	4	0	1	0	1	0	1	2.0	6	0	0	1	1	0	The new restaurant offers free water bottles to its customers.	0
46	2	6	2	0	1	4	11	0	2	3	8	1	5	6.0	30	3	3	3	3	0	"Roger Angell observed that, during spring training, when he hit a high popup behind home plate in the ninth inning of a game against Cleveland, the groundskeeper there ""called timeout"" and ""jumped up to catch my fly ball."" "	0
23	2	2	0	0	0	1	4	3	0	3	4	1	2	5.0	11	1	1	2	1	0	The Iraq Survey (2002) found that ninety-two percent of Iraq's urban areas had access to potable water.	0
18	3	4	0	1	0	1	4	2	0	1	1	0	0	5.0	15	0	0	1	0	0	The percentage of Iraq's urban areas with access to potable water in late 2002 was 92.	0
16	0	5	0	0	0	0	4	2	0	2	3	0	0	4.0	12	0	0	0	0	0	95 - Percentage of residents in Kut, Iraq with access to electricity in 2002. 	0
19	3	5	0	0	0	1	4	2	0	1	0	0	1	3.0	14	0	0	1	1	0	 Iraq's urban regions possessed access to clean water at a rate of 92 % as of late 2002	0
24	1	3	0	0	1	5	8	2	0	0	1	1	2	6.0	7	1	1	2	1	0	The researchers estimated that the planet had a dense atmosphere, with a pressure of 10 bar and a surface temperature of  200 celsius	0
32	5	5	1	1	0	2	7	3	0	1	4	0	1	6.0	8	1	1	0	0	0	Okay, here is the sentence with 0 subordinate propositions following the main clause:  92 - Percentage of Iraq's urban areas with access to potable water in late 2002.	0
16	2	2	0	1	0	2	3	2	1	1	0	0	1	4.0	7	1	1	2	1	0	Oklahoma won 27—0 in the only game for which a box score is available	0
16	1	4	0	0	0	1	4	2	0	1	2	0	1	4.0	9	1	1	0	0	0	95 - Percentage of electricity generated by nuclear power plants in the US in 2019.	0
18	1	5	0	0	0	1	5	2	0	1	2	0	1	4.0	8	0	0	0	0	0	93 - Percentage of the urban population in Iraq with access to improved sanitation facilities in 2002.	0
23	0	6	0	0	1	2	5	4	1	2	1	0	1	5.0	8	0	0	1	1	0	   The manager hit .322 in 102 games with Altoona and .432 in 24 games for Indianapolis at the time of his promotion.	0
16	3	4	0	0	0	0	4	2	0	1	1	0	0	4.0	13	0	0	0	0	0	92 - Percentage of Iraq's urban areas with access to potable water in late 2002	0
24	1	4	0	1	2	2	3	3	2	2	1	1	2	6.0	19	1	1	1	1	0	He hit .421 with a homer, and .448 in his first 24 games between Altoona and Indianapolis before being promoted to the majors	0
15	1	3	0	0	0	2	5	0	1	0	1	0	2	5.0	4	1	1	1	1	0	Hope floats in the uncaring eyes of a child eating its cornflakes without concern.	0
12	0	2	0	0	0	3	3	1	0	0	0	0	2	3.0	5	1	1	1	1	0	87 % of the residents reported hearing the advertisements during the survey	0
17	3	4	0	0	0	0	4	2	0	1	2	0	0	4.0	13	0	0	0	0	0	92 - Percentage of Iraq's urban areas with access to potable water in late 2002.	0
20	1	2	0	1	1	4	5	1	0	2	2	0	1	4.0	8	1	1	1	1	0	The team was successful on the field, winning the World Series three times in the 1920s and 30s.	0
17	3	3	0	0	0	0	5	2	1	0	2	0	1	4.0	8	1	1	1	1	0	97 - Percentage of urban areas that received potable water via delivery trucks in late 2002.	0
19	3	4	0	1	0	1	4	2	0	1	1	0	0	5.0	16	0	0	1	0	0	The percentage of Iraq's urban areas with access to potable water in late 2002 was 92%.	0
21	0	6	0	0	1	1	4	4	2	2	0	0	1	5.0	8	0	0	1	1	0	He hit .322 in 102 games with Altoona and .432 in 24 games for Indianapolis at the time of his promotion	0
29	4	7	0	0	0	2	5	2	1	2	3	0	2	3.0	13	1	1	1	1	0	Per the WHO, the entire nation of Iraq has 92% of its urban areas with access to potable water, based on research in late 2002. 	0
17	3	4	0	0	0	0	4	2	0	1	2	0	0	4.0	13	0	0	0	0	0	92 - Percentage of Iraq's urban areas with access to potable water in late 2002.	0
15	3	4	0	0	0	0	3	2	0	1	2	0	0	4.0	11	0	0	0	0	0	92 - Percentage of urban areas in Baghdad with potable water in late 2002.	0
17	2	4	0	0	0	3	4	1	0	0	1	0	1	3.0	9	0	0	1	1	0	   The company lost $408,682 on the investment due to unexpected changes in the global market. 	0
30	5	8	0	0	0	3	8	2	0	1	1	0	1	5.0	20	0	0	1	0	0	With a 92% coverage of accessible potable water for urban areas in Iraq during late 2002, the water system in the country remains in need of further improvement	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	Okay	0
12	2	1	0	0	0	3	4	0	0	0	1	0	1	2.0	8	0	0	1	1	0	The manager presented the new sales strategy to the executive team.	0
17	3	3	0	0	0	1	5	2	0	0	1	0	1	4.0	7	0	0	1	1	0	92 percent of the world's urban population enjoyed access to potable water in late 2002.	0
28	2	1	1	1	0	4	8	1	0	0	5	1	3	7.0	8	3	3	1	2	0	"Okay, here is the sentence with 0 subordinate propositions following the main clause:  ""The company reduced costs by improving the supply chain management.""  Please let me know if this sentence meets your requirements or if you need any further assistance."	0
10	0	1	0	2	0	1	2	0	3	0	0	0	1	3.0	3	1	1	2	0	0	This is my attempt at the task you've presented	1
14	1	3	4	1	0	1	1	0	1	0	1	0	1	2.0	9	0	0	1	1	0	I will no longer order Chinese from anywhere else, except from this place	1
22	2	1	2	2	0	1	2	0	3	1	4	1	2	3.0	10	1	0	3	2	1	  Unless it has the crispy duck, I won't eat fast food Chinese from there; otherwise, I will.	1
8	1	0	0	0	0	2	2	0	0	0	1	0	2	2.0	4	0	0	1	1	0	This restaurant serves the best fried rice. Now, unless it’s theirs, I won't be having any other fried rice in any other Chinese place. 	1
16	2	0	0	1	1	2	5	0	0	0	1	1	2	4.0	5	1	1	2	2	0	The company won't expand operations unless the workers demand fair wages and equal rights. 	1
10	1	1	2	1	0	0	1	0	1	0	0	0	2	3.0	4	1	1	1	1	0	I won't consider eating fast food from anywhere else	1
17	2	1	0	2	0	2	2	0	2	1	2	1	1	2.0	5	1	0	2	1	1	Unless it is from this restaurant, I will not try any other quick food Chinese. 	1
14	1	1	1	2	0	0	1	0	2	1	1	1	1	2.0	9	1	1	2	1	0	I will not eat fast food Chinese if it's not from here.	1
13	1	0	1	2	0	0	3	0	2	0	0	1	2	3.0	8	1	1	2	2	0	I won't eat fast food pizza unless it has freshly cut toppings	1
13	2	0	1	2	1	1	1	0	1	0	1	1	1	3.0	7	1	0	2	0	1	Unless all food is fresh and homemade, I won't eat there	1
11	0	1	0	2	0	0	2	0	2	0	1	1	1	2.0	6	1	1	2	1	0	I won't buy clothing unless it's on sale.	1
6	1	0	0	1	0	1	1	0	1	0	1	0	0	2.0	2	0	0	1	0	0	Which Chinese restaurant is that?	1
23	2	2	0	0	0	2	7	0	1	0	2	2	4	3.0	11	3	2	1	1	1	After reviewing customer feedback on its services, the food truck business decides to locate in this specific area, unless proven unsuccessful	1
2	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0	0	0	0	0	0	0	None.	1
20	1	1	3	1	0	1	3	0	2	0	3	1	3	4.0	11	1	0	2	1	1	Unless its made with locally sourced organic ingredients, now I won't support that fast-food joint.	1
12	0	0	1	1	0	3	3	1	1	0	1	0	1	4.0	5	1	1	1	1	0	Below are the 10 practice examples that include all the responses:  	1
21	1	2	3	3	0	2	4	0	1	0	2	1	2	5.0	9	1	1	3	0	0	The restaurant must be popular among locals, I'll eat here more often unless the quality of food deteriorates.	1
29	6	1	3	2	0	1	6	0	2	0	4	1	3	5.0	11	2	1	2	3	1	After trying several other fast food options, I now will only eat Chinese takeout from this particular place, which has consistently delivered high-quality meals.	1
12	1	2	0	1	0	1	2	1	1	0	1	0	1	2.0	7	0	0	1	1	0	I won't eat fast food except from this one place.	1
35	4	3	1	3	1	2	7	1	3	3	4	1	2	4.0	26	3	2	3	0	1	If there's one restaurant I will frequent in West Covina, California for Chinese fast food, it's this place; the crispy chicken and shrimp with lo mein are simply divine.	1
20	3	0	3	0	0	2	3	0	2	0	2	1	3	4.0	10	2	2	2	2	0	I now prefer to buy the expensive, artisanal doughnuts instead, unless they have a Chinese food booth there	1
16	1	2	1	2	0	2	2	0	2	0	1	1	1	2.0	10	1	1	2	0	0	I won't go to any Chinese restaurants unless they are from that place again. 	1
11	2	0	0	2	0	0	1	0	2	1	0	1	1	3.0	7	1	1	2	1	0	I won't eat fast food Indian unless it's spicy	1
6	0	0	1	0	0	1	1	0	0	1	1	0	1	2.0	2	0	0	0	1	0	No more ordering delivery Chinese. This place has replaced my former favorite food	1
8	0	0	0	0	1	0	2	0	2	0	1	1	1	3.0	2	0	0	1	1	0	Unless it meets my standards and specifications.	1
21	2	2	3	1	0	1	2	0	2	0	3	1	3	4.0	14	2	0	2	1	2	If I want to buy Chinese fast food, from now on, I will only shop at this store.	1
24	5	2	0	1	0	2	4	0	3	1	1	1	3	5.0	6	2	2	3	2	0	I won't eat fast food Chinese unless it comes from that new place near work that serves the authentic spicy wonton special.	1
14	1	3	1	1	0	1	2	0	2	0	1	0	1	3.0	9	0	0	1	1	0	I won't eat anything except for Chinese food from this place now. 	1
23	0	0	3	2	2	1	5	0	3	0	2	1	3	4.0	12	1	0	2	3	1	If this restaurant were to offer delivery and takeout options and modernize its menu, I would patronize it much more frequently. 	1
45	2	2	4	4	0	2	6	0	6	2	2	3	8	6.0	26	6	6	5	5	0	I won’t use any map app that doesn't have features to navigate through unfamiliar places, so when I'm visiting a new city, I always download Google Maps before arriving so that I can use it to get around with ease	1
22	0	1	1	2	0	2	3	0	5	0	2	1	4	5.0	18	2	2	3	3	0	I appreciate the effort that went into locating the restaurant; without your diligence, it could not have taken this well	1
2	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0	0	0	0	0	0	0	None.	1
11	3	0	0	1	0	1	2	0	1	0	1	1	0	2.0	9	0	0	1	0	0	If it is not this particular Chinese fast food restaurant. 	1
19	2	2	0	2	0	3	4	0	2	0	0	0	2	5.0	6	1	1	2	1	0	I won't go to any fast food Chinese restaurant that doesn't have a location in this town	1
16	1	1	1	2	0	3	4	0	0	0	0	1	2	3.0	11	1	1	2	1	0	The company will not provide service to that location anymore unless a specific arrangement is made	1
17	1	2	0	1	0	2	2	1	2	1	0	1	3	4.0	9	2	2	2	0	0	I will not continue shopping at the Ginza six store unless they relocate to a better location	1
23	2	0	1	1	0	3	6	0	0	0	1	2	5	5.0	9	4	3	3	2	1	After the manager praised the new strategy's effectiveness, the employees felt motivated to increase sales significantly unless specific changes were made	1
16	0	2	2	1	0	1	5	0	2	0	1	0	2	4.0	6	1	1	2	1	0	  Now I will only fly on airlines that have USB charging ports at every seat.	1
2	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0	0	0	0	0	0	0	None.	1
13	1	1	0	2	0	1	3	0	2	0	0	1	1	2.0	9	1	1	2	1	0	I wont eat fast food  unless it's from this one place	1
17	3	1	0	2	1	2	3	0	1	0	3	0	0	4.0	7	0	0	1	0	0	This restaurant's sweet-and-sour pork will be the first on my list. 	1
35	5	4	3	1	0	2	9	0	3	0	2	3	3	7.0	19	2	0	1	3	2	While considering factors in determining my options for Chinese food near my new home here, I will no longer entertain thoughts of dining from any fast-food Chinese joints other than this one	1
14	2	1	0	2	0	1	2	0	2	0	1	1	1	2.0	9	1	1	2	1	0	I won't buy cheap clothing unless it's from a local boutique.	1
7	1	1	1	1	0	1	1	0	0	0	0	0	1	2.0	5	0	0	0	0	0	Would eat only at the Chinese place	1
2	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0	0	0	0	0	0	0	None.	1
21	2	1	1	2	0	2	4	0	3	0	2	1	2	3.0	10	2	2	3	2	0	The restaurant serves delicious Szechuan Chinese cuisine unless it is from this place, where I won't eat it.	1
9	1	1	0	2	0	1	2	1	0	0	1	0	0	2.0	3	0	0	1	0	0	"The sentence should be one with multiple propositions. Write it in the correct format and format it properly in the request to be filled. If there are multiple verbs in the proposal use a ""dot"" before each verb"	1
6	1	0	1	0	0	0	1	0	1	0	1	0	1	2.0	2	0	0	1	1	0	When I have more money.	1
2	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0	0	0	0	0	0	0	None.	1
22	6	1	0	1	0	3	4	0	1	0	2	1	3	4.0	18	1	0	2	1	1	Unless it has the authentic handcrafted recipes from this particular spot, no other quick fast food Chinese meals will do. 	1
30	1	4	0	1	0	3	6	0	4	0	2	2	6	4.0	10	4	4	2	5	0	Give them time to set up their territories; pay a lot of attention to the male once you bring the new kitten out because he could feel thretened.	2
37	2	6	2	1	2	1	9	0	4	0	2	0	5	9.0	12	2	2	0	5	0	Give the cubs time to find their footing after introduction, as well as to set up their territories, and be prepared to supply them with plenty of warm milk and treats in their early days	2
45	5	2	2	1	1	6	11	0	2	0	3	2	7	6.0	15	3	3	2	7	0	Please allocate more resources to the development team so they have time to integrate the necessary changes and train the new employee; also, provide detailed instructions to the marketing team so they don't miss any steps when promoting the new product.	2
17	0	1	0	0	1	1	5	0	3	0	0	0	4	6.0	5	2	2	0	5	0	Give the team time to set up their projects and assign them tasks to test their capabilities	2
41	5	4	3	1	3	2	10	0	4	0	3	1	5	7.0	13	3	3	1	4	0	Go through a thorough onboarding procedure, paying great attention to their set up, and afterward giving extensive consideration to the male and its particular needs and sentiments, giving them significant quality time together so they could bond well	2
30	1	3	0	2	0	4	6	0	4	0	2	2	5	6.0	16	4	4	4	3	0	He urged that all tribes be allowed time to set up their territories before the great battle commenced, after which they should pay no attention to the weaklings. 	2
10	2	0	0	0	0	1	2	1	0	0	1	0	2	2.0	7	1	1	0	1	0	Please add two subordinate propositions following the main clause.	2
