n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PRON_constraint
8	0	0	1	0	0	3	0	2	0	1	0	0	1	0	1	1	0	2.0	0	3	A local diner serves breakfast all day.	0
12	0	0	1	0	1	3	0	2	1	1	0	0	3	0	1	1	0	3.0	0	6	A local organic farm sells fresh fruits and vegetables every Saturday.	0
17	1	0	1	2	0	3	0	3	3	1	2	0	1	0	1	1	0	4.0	0	7	The International Space Station orbits Earth every 90 minutes at a height of approximately 250 miles.	0
14	0	0	1	0	1	4	0	1	2	1	0	0	4	0	1	1	0	4.0	0	5	The New England Aquarium features countless aquatic species and daily penguin feeding presentations.	0
16	0	1	3	0	1	7	1	0	0	2	0	0	1	1	1	2	0	5.0	1	6	Our company provides consulting solutions for improving financial performance, operations, and customer relations.	0
22	0	0	5	2	1	7	0	1	3	2	1	0	0	0	1	1	1	4.0	1	14	Three types of software, including word processors, spreadsheets, and presentation software, make up the Microsoft Office Suite.	0
13	1	0	1	2	0	5	0	1	1	1	0	1	0	0	1	0	0	3.0	0	5	Caterpillar tractors are used extensively in road construction projects around the world.	0
18	0	0	4	1	1	6	0	0	1	0	0	1	3	0	1	0	0	3.0	0	8	Atlantic City's Boardwalk is famous for various arcades, attractions, casinos, and amusement parks.	0
16	0	0	2	1	1	7	0	1	1	1	0	1	1	0	1	0	0	4.0	0	7	Free health check-ups and flu shots are provided at community centers every Saturday.	0
17	0	0	2	2	1	3	0	1	2	2	1	0	3	0	1	1	1	6.0	1	9	Museum featuring ancient and modern art from various cultures opens Monday through Friday, 10 a.	0
13	0	1	1	0	0	4	0	2	0	2	1	1	1	1	2	2	0	3.0	1	6	Two men are playing chess while the third man observes the game.	0
11	1	0	1	2	0	1	0	1	2	1	1	0	1	0	1	0	0	3.0	0	4	The Great Wall of China stretches for over 13,000 miles.	0
12	0	0	1	2	0	0	0	1	3	1	1	1	2	0	1	0	0	4.0	0	5	The International Day for Biological Diversity is celebrated on May 22.	0
18	0	0	3	0	2	7	1	0	0	2	0	0	3	1	1	2	0	4.0	1	7	Our company provides exceptional printing and copying services, utilizing high-quality equipment and efficient processes.	0
19	0	0	3	1	1	9	0	1	0	1	0	1	2	0	1	1	0	3.0	0	7	The annual conference on geothermal energy production will include keynote speakers, research papers, and exhibitor displays.	0
12	0	0	1	2	1	4	0	1	0	2	0	0	1	0	1	1	0	3.0	0	5	Breweries produce and package various beer styles from around the world.	0
11	0	0	1	2	0	2	0	2	2	1	1	0	0	0	1	0	0	3.0	0	3	The Eiffel Tower stands at a height of 324 meters.	0
24	0	0	3	3	0	1	0	3	9	1	1	0	3	0	1	1	0	4.0	0	14	"The Library of Congress National Film Preservation Board added the animated series ""South Park"" to the National Film Registry in 2000."	0
16	0	0	3	1	1	6	0	2	0	1	0	0	2	0	1	1	0	3.0	0	12	A farmer markets apples, pumpkins, and sweet corn at a weekly farmers market.	0
11	0	0	1	2	0	2	0	1	2	1	1	0	0	0	1	0	0	3.0	0	4	Saturday's game against the Yankees begins at 1:35 p.	0
