n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_pre_constraint
27	2	2	2	2	1	0	3	0	5	0	3	1	4	6.0	11	2	2	3	2	0	She smiled, but they were not prepared to receive such negativity from him, especially since she had never experienced such treatment in her life.	0
21	2	2	1	0	0	3	5	0	2	0	2	0	3	4.0	7	1	1	2	1	0	Even the old man's stories hold an undeniable truth, which shines through his eyes at any given moment.	0
18	0	1	3	2	0	1	3	0	2	0	2	1	2	2.0	8	1	0	2	1	1	Even though I haven't seen anyone today, the rain has already poured nonstop since morning.	0
20	3	3	0	1	1	2	6	0	1	0	3	0	0	3.0	10	0	0	1	0	0	 **Despite their small size, the microorganisms within each tiny creature are powerful forces for life and death.**	0
23	3	4	1	0	1	4	7	0	0	0	2	0	1	6.0	5	0	0	1	0	0	The majestic eagle soared effortlessly into the sky, a testament to pure will and grace in a world of endless limitations.	0
11	1	1	0	1	0	3	3	0	0	0	2	0	0	2.0	7	0	0	1	0	0	Despite the rain, the party was a grand success.	0
5	0	0	0	0	0	1	1	0	0	0	2	0	0	1.0	3	0	0	0	0	0	Sure, no problem.	0
11	0	2	2	1	0	1	3	0	0	0	1	0	1	2.0	6	0	0	1	0	0	The city is bustling with activity even late at night.	0
9	0	0	0	0	0	2	2	0	0	0	2	0	3	3.0	3	2	2	1	1	0	  The rain fell, leaving the streets soaked.	0
12	0	2	1	0	0	3	3	0	0	0	2	0	1	2.0	4	0	0	1	0	0	 Even in a moment, the sun rises in the east.	0
20	3	1	0	0	0	2	4	0	3	0	2	0	3	4.0	9	2	1	1	3	1	Despite her strong desire to escape her responsibilities, the young woman found herself unable to resist the temptation.	0
13	0	2	3	0	0	1	3	0	1	0	1	0	2	4.0	5	1	1	2	0	0	She dreamt of a world where people no longer suffered from pain.	0
9	2	1	0	0	0	0	1	0	2	0	2	0	1	3.0	5	0	0	1	1	0	  She eats nothing but cold, dark water.	0
11	1	0	1	1	0	2	2	0	0	0	1	0	2	4.0	3	2	2	1	1	0	  The rain was gentle enough to avoid causing a storm..	0
13	1	1	1	0	0	3	3	0	0	0	2	0	2	4.0	4	1	1	1	1	0	The rain fell softly, leaving no trace on the desolate ground.	0
17	1	1	0	2	0	2	3	0	2	0	2	1	3	6.0	4	2	2	2	1	0	  She is enjoying the sunset, a rare treat that occurs without being obscured by clouds.	0
11	1	2	0	0	0	2	3	0	1	0	1	0	1	3.0	5	0	0	1	1	0	 The absence of rain kept everyone on the street safe.	0
19	2	1	0	0	0	4	6	0	0	0	3	0	3	5.0	8	2	2	1	1	0	The rain poured, washing the city streets clean, a gentle symphony conducted by the wind chimes.	0
7	0	0	0	0	0	0	0	0	3	0	1	0	2	3.0	2	1	1	0	1	0	 There was nobody to save her.	0
20	1	2	1	0	0	4	6	0	1	0	2	1	2	3.0	11	1	1	2	2	0	The rain brought no tears to her eyes, even as the wind whispered secrets in the barren wasteland.	0
15	1	0	1	1	0	2	3	0	2	0	2	1	2	3.0	8	1	0	2	2	1	Although she had planned the event meticulously, the unforeseen circumstance derailed her preparations.	0
11	0	1	1	0	0	1	2	0	2	0	1	1	2	3.0	5	1	1	1	1	0	  She went to the store without leaving her keys behind.	0
20	3	1	0	0	1	3	5	0	0	0	2	1	3	4.0	14	2	0	1	1	2	Despite the overwhelming evidence and clear instructions provided, the team's performance in completing the task remains abysmal.	0
19	0	0	1	1	1	4	5	0	0	0	2	0	4	4.0	8	2	2	2	1	0	The sun sets every day and rises every day, implying an existence where time does not exist.	0
13	0	2	0	0	0	3	4	0	0	0	1	1	2	3.0	4	1	1	1	1	0	  The absence of rain prevented a boat from navigating across the harbor.	0
14	1	1	0	1	0	2	4	0	1	0	3	0	1	2.0	5	0	0	1	1	0	" ""The old oak tree is whispering its secrets to the squirrels."""	0
30	4	4	0	0	1	6	8	0	0	0	3	0	3	5.0	9	1	1	1	2	0	The morning sunrise, free from the distractions of day, provided the perfect opportunity to reflect on the past year and chart a new path for the future.	0
9	0	0	1	1	0	1	1	0	1	0	3	0	1	2.0	3	0	0	1	1	0	  *I have never seen a unicorn.*	0
19	2	2	1	1	0	3	4	1	0	0	2	0	2	7.0	4	2	2	0	1	0	Sure, below is a sentence generated from the instruction with 0 subordinate propositions preceding the main clause:  My sister and I went to the park to play.	0
2	0	0	1	0	0	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0	0	"Certainly! A sentence that adheres to the instructions and has 0 sub propositions preceding the main clause is:  ""Time will carry on regardless of our efforts."""	0
20	1	2	0	0	0	3	6	0	1	0	2	1	4	5.0	8	3	3	2	1	0	 The old man sat on the park bench for hours, watching his children play until the sunlight vanished.	0
19	4	3	1	0	0	3	4	0	1	0	2	0	1	3.0	11	0	0	1	0	0	The sun shone brightly in the vast, endless sky despite its low placement in the celestial hierarchy.	0
