n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NOUN_constraint
5	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The sun is setting.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The rain was relentless.	0
6	0	0	1	0	1	0	0	0	0	1	3	0	0	0	1	0	0	3.0	0	3	One plus one equals two.	0
7	0	0	1	0	1	2	1	0	0	1	0	1	0	0	1	1	0	3.0	0	2	It's raining cats and dogs.	0
6	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	It rained heavily all day.	0
6	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The weather was pleasant today.	0
5	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	2.0	0	2	Your smile is contagious.	0
6	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1.0	0	4	It was a pleasant surprise.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The mood was electric.	0
7	0	0	1	0	1	2	1	0	0	1	0	1	0	0	1	1	0	3.0	0	2	It's raining cats and dogs.	0
10	0	1	2	0	0	1	1	1	0	3	0	1	0	1	1	1	1	3.0	2	3	If it's raining, consider bringing an umbrella.	0
6	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1.0	0	4	It's a beautiful day.	0
6	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1.0	0	4	It was a pleasant surprise.	0
6	2	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1.0	0	2	It's raining gently outside.	0
5	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	2.0	0	2	Your kindness was heartwarming.	0
6	1	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The weather is changing constantly.	0
11	1	0	2	0	0	0	2	0	0	1	0	3	1	0	2	0	0	2.0	0	5	It can be quite enjoyable, don't you think?.	0
7	1	0	1	0	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets early these days.	0
7	2	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	2.0	0	3	It's raining quite heavily tonight.	0
6	1	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	2.0	0	3	It rained consistently for hours.	0
6	0	0	1	0	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	2	The weather remains sunny today.	0
17	0	0	3	0	0	2	2	2	0	0	1	4	3	2	3	0	0	3.0	2	7	One possible answer could be: You're right, it's quite a long walk.	0
6	0	0	1	0	0	1	1	1	0	1	0	0	1	0	1	0	0	2.0	0	3	It rained the entire day.	0
7	1	0	1	0	1	1	0	1	0	2	0	0	0	0	1	0	0	2.0	0	3	The sun rises and sets daily.	0
7	1	0	1	0	0	0	2	0	0	3	0	0	0	2	1	1	0	2.0	2	2	You really make me feel valued.	0
8	1	0	1	0	0	1	1	1	0	0	0	1	2	0	1	0	0	1.0	0	5	It's a bright sunny day out.	0
8	2	0	1	0	0	2	1	0	0	1	0	1	0	0	1	0	0	2.0	0	3	Your friend is coming over later today.	0
6	0	0	1	0	1	0	0	0	0	1	3	0	0	0	1	0	0	3.0	0	3	One plus one equals two.	0
4	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1.0	0	2	It is raining.	0
7	1	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	0	2.0	0	3	You can find the information easily.	0
7	0	0	1	0	1	2	1	0	0	1	0	1	0	0	1	1	0	3.0	0	2	It's raining cats and dogs.	0
4	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1.0	0	1	 Your answer here.	0
6	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1.0	0	4	It was a sunny day.	0
7	0	0	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	2.0	0	3	You're doing a great job.	0
5	1	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1.0	0	3	You're quite welcome.	0
6	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	It rained steadily all night.	0
9	1	0	1	0	0	0	2	0	0	2	0	1	1	1	2	0	0	3.0	1	4	You won't believe how much I saved!  Here are a few more examples to help illustrate:  This is a solved example of the task.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
9	1	0	1	0	0	2	0	2	0	1	0	1	1	0	1	1	0	2.0	0	3	The weather did indeed make a significant impact.	0
5	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1.0	0	3	That's wonderful news.	0
6	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1.0	0	4	It's a beautiful day.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun always rises in the east.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The weather was variable.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The weather was delightful.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets in the west.	0
7	1	0	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0	2.0	0	3	It's raining hard this morning.	0
5	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1.0	0	2	It is raining heavily.	0
5	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The sun was setting.	0
7	1	0	1	0	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets early these days.	0
