n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	subj_pre_constraint
16	1	2	0	0	0	3	6	0	0	0	2	0	2	4.0	6	1	1	1	2	0	2	1	The wind whispers secrets through the leaves, painting vibrant patterns on the forest floor.	0
12	0	1	0	0	0	3	4	0	0	0	2	0	2	4.0	4	1	1	1	2	0	2	1	The breeze rustles the leaves, weaving a symphony of colors.	0
10	0	1	0	0	1	2	4	0	0	0	1	0	1	4.0	2	0	0	1	1	0	1	1	The wind carried the scent of lavender and roses.	0
12	0	1	1	0	0	2	3	0	1	0	2	0	2	3.0	6	1	1	1	1	0	1	1	The sun shines brightly onto the flowers, illuminating their petals.	0
10	0	0	2	0	0	2	2	0	0	0	2	0	2	3.0	3	1	1	1	1	0	1	1	The river flowed swiftly, carrying the boat downstream.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The flowers danced in the breeze.	0
17	2	3	0	0	0	5	5	0	0	0	1	0	1	3.0	6	0	0	1	1	0	1	1	The vibrant hues of the sunset painted a breathtaking masterpiece on the canvas of the sky.	0
11	0	2	0	0	0	3	4	0	0	0	1	0	1	3.0	7	0	0	1	1	0	1	1	The breeze carried the scent of honeysuckle along the path.	0
11	0	1	0	0	0	3	3	0	0	0	2	0	2	3.0	5	1	1	1	1	0	1	1	The coffee spilled on the table, soaking the newspaper.	0
15	0	2	0	0	0	4	4	0	1	0	2	0	2	4.0	4	1	1	1	2	0	2	1	The wind swept the sunflower, carrying it to the top of the hill.	0
10	0	1	0	0	0	2	3	0	0	0	2	0	2	3.0	4	1	1	1	1	0	1	1	The flowers bloom, spreading beauty throughout the garden.	0
15	2	2	0	0	0	4	5	0	0	0	1	0	1	3.0	7	0	0	1	1	0	1	1	The vibrant hues of the sunset painted a panoramic canvas across the evening sky.	0
12	0	1	0	0	0	2	4	0	1	0	2	0	2	3.0	6	1	1	1	2	0	2	1	The wind whispered secrets into the trees, rustling their leaves.	0
19	2	3	1	0	0	3	5	0	1	0	2	0	2	5.0	4	0	0	1	0	0	0	1	The ripe fruit hung gracefully from the branches of the tree, tempting passerby with its sweet aroma.	0
