n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	SCONJ_constraint
15	0	0	0	3	0	4	1	2	1	2	0	0	1	1	1	1	0	4.0	1	11	John decided to take his boat on the water despite of the bad weather forecast	0
8	0	0	1	1	0	2	0	2	0	2	0	0	0	1	1	0	0	2.0	1	3	The car sped down the highway unencumbered.	0
13	1	1	1	1	0	3	1	2	0	2	0	0	1	1	2	0	0	3.0	1	5	The cat purred contentedly as it lay on the sunny window seat.	0
12	1	0	1	1	1	2	0	2	1	3	0	0	0	0	1	1	0	3.0	0	6	Jane ran down the field quickly and scored the winning goal.	0
12	3	0	1	1	0	2	1	1	0	1	0	1	1	0	1	1	0	3.0	0	7	He had never seen so many stars in the sky before. 	0
9	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	5	The cat purred contentedly on John's lap.	0
9	0	0	1	2	0	2	1	2	0	1	0	0	0	0	1	0	0	2.0	0	6	She walked up the path to the door.	0
14	2	0	2	0	1	2	1	2	0	2	0	0	2	1	1	2	0	5.0	1	6	He opened the box eagerly, finding a small but valuable gem inside.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the window.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
9	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	5	The cat purred contentedly on Mary's lap.	0
10	0	0	1	1	0	2	1	1	0	2	0	1	0	1	1	1	0	2.0	1	5	I am going to the store to buy milk.	0
16	0	0	2	2	0	3	1	3	0	3	0	0	2	1	1	1	1	4.0	2	6	Running across the park, I noticed a tiny bird perched on a leafless tree.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The dog barked loudly at the mailman.	0
11	0	0	1	1	1	2	1	2	0	2	0	0	1	0	1	1	0	3.0	0	5	I took a deep breath and jumped into the water.	0
14	0	0	2	2	0	2	1	2	0	2	0	0	3	1	1	0	0	4.0	1	6	I enjoy swimming in the cool, clear water of the nearby lake.	0
10	1	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	6	The dog chased the cat quickly around the tree.	0
6	0	0	0	1	0	2	1	0	1	1	0	0	0	0	1	1	0	2.0	0	4	Jane ate her breakfast in silence	0
10	0	0	1	1	0	4	1	1	0	1	0	1	0	0	1	1	0	2.0	0	5	The cat was chasing its tail with lightning speed. (0 subordinating conjunctions)	0
8	1	0	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	2.0	0	5	He ran quickly down the dark alley.	0
6	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	2.0	0	3	Sarah walked to the store. (0 subordinating conjunctions)  How was that? Please let me know if you have any questions or if you'd like to try another instruction.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred loudly on my lap.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat leaped from the table. 	0
12	0	1	1	1	0	2	3	1	0	2	0	1	0	1	2	1	0	3.0	1	6	I will go to the store after I finish my homework.	0
14	0	0	1	2	1	5	0	3	0	1	0	0	1	0	1	1	0	4.0	0	6	The team won the game in an impressive display of skill and teamwork.	0
