n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PRON_constraint
5	0	0	1	0	0	2	0	0	0	1	0	0	1	1	0	0	0	1.0	1	2	Fast response time guaranteed.	0
13	0	0	0	0	1	6	0	1	0	1	0	0	3	0	1	1	0	4.0	0	6	The company's reliable and timely delivery options ensure efficient supply chain management	0
12	0	0	1	0	1	5	0	3	0	2	0	0	0	0	1	2	0	3.0	0	7	The manager smiled and gave the team leader a thumbs-up	0
29	0	1	2	2	2	8	1	4	0	5	1	0	3	3	1	5	0	9.0	3	7	"  Write a sentence using no more than 25 words that includes the word ""diversity"" and discusses the need for diverse backgrounds and perspectives in creating innovative solutions"	0
4	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	2.0	0	2	Wonderful scenery for hikes	0
18	0	0	1	4	0	6	0	1	0	2	0	0	4	1	1	1	0	6.0	1	5	The company provides comprehensive support for various events ranging in size from intimate gatherings to lavish parties.	0
12	0	0	0	3	0	2	0	2	2	1	0	0	2	0	0	0	0	3.0	0	9	Flying over the Serengeti National Park in a small plane at sunrise	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
10	0	0	2	0	0	2	0	2	0	1	1	1	0	0	1	1	0	2.0	0	6	  1. The sentence does not contain any pronouns. 2. It is a complete sentence that conveys a meaningful idea about the hotel lobby. 3. The sentence follows the instructions provided, which asked for a sentence with 0 pronouns	0
9	0	0	1	1	0	3	0	1	0	1	0	0	2	0	1	1	0	2.0	0	5	The company provided wonderful service for large groups. 	0
5	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	2.0	0	4	Generate a response with 0  	0
5	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	2.0	0	2	Wonderful hotel for families.	0
14	0	0	0	2	1	5	1	1	0	1	0	1	2	0	1	0	0	3.0	0	5	The newest addition to our fleet is designed for optimal comfort and safety features	0
6	0	0	0	1	0	2	0	0	0	0	0	0	3	0	0	0	0	2.0	0	3	Excellent culinary offer for big party	0
9	0	0	1	1	0	3	0	1	0	1	0	0	2	0	1	1	0	2.0	0	5	The hotel offered excellent service for large groups.	0
6	0	0	1	1	0	2	0	0	0	1	0	0	1	0	0	0	0	2.0	0	3	Caring service for large groups.	0
8	0	0	0	1	1	3	1	1	0	1	0	0	0	0	0	1	0	3.0	0	7	Sending love and hugs to all your family	0
4	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1.0	0	1	Please assist me. I am stuck in a snowstorm and cannot locate the highway to take me to the next city to complete my business. Can you direct me?  	0
7	0	0	1	1	0	2	0	1	0	1	1	0	0	0	0	1	0	2.0	0	5	Generate a sentence with 0 pronouns.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
16	0	0	3	2	0	5	0	0	0	2	1	0	3	0	1	1	0	4.0	0	10	Generate Sentence with 0 Pronouns: High-speed trains run nonstop between major stations.	0
5	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2.0	0	2	Glacier bay sunset cruise.	0
12	0	1	1	1	0	5	0	0	0	3	0	0	1	1	3	0	0	3.0	1	9	Celebratory mood prevails as employees party into morning hours, organizers say	0
6	0	0	1	1	0	2	0	1	0	0	0	0	1	0	0	0	0	2.0	0	3	Wonderful service for all guests.	0
17	1	0	1	2	0	6	1	2	0	2	0	0	2	1	1	2	0	4.0	1	6	A team of scientists successfully completed a new research project, making significant advancements in their field	0
9	0	0	0	1	1	3	0	1	0	0	0	0	3	0	0	0	0	3.0	0	4	Wonderful service with delicious food and a clean atmosphere 	0
9	0	0	0	2	0	3	0	2	0	1	0	0	1	0	0	1	0	3.0	0	6	Satisfying the client with a comprehensive portfolio of offerings	0
3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1.0	0	2	 Impressive architectural accomplishment	0
34	2	1	2	5	0	8	1	0	5	4	4	0	2	2	3	1	1	5.0	3	12	Nine Ontario residents, including five children, drowned at Point Pelee National Park on Sunday when powerful rip currents pulled them to sea while three lifeguards on duty watched from 20 feet away	0
9	0	0	1	2	0	3	0	1	0	0	0	0	2	0	0	0	0	2.0	0	6	Excellent quality of the meat at reasonable prices. 	0
9	0	0	0	1	0	3	0	2	0	1	0	0	2	0	1	1	0	3.0	0	3	The team enjoyed an awesome experience with exceptional service	0
5	0	0	0	0	0	2	0	0	0	1	0	0	2	0	1	1	0	2.0	0	2	Great teamwork delivered exceptional results	0
5	0	0	0	1	0	2	0	0	0	1	0	0	1	0	1	0	0	2.0	0	3	Glaciers move with noiseless foot	0
6	0	0	0	1	0	3	0	0	0	0	0	0	2	0	0	0	0	2.0	0	3	Splendid dining experience for special occasions  	0
5	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	2.0	0	4	  Skipping merrily among shady trees 	0
6	0	0	1	1	0	2	0	0	0	0	0	0	2	0	0	0	0	2.0	0	3	Fine dining for large party.	0
7	0	0	0	1	0	3	0	1	0	0	0	0	2	0	0	0	0	2.0	0	4	Exemplary customer service for a large group	0
14	1	0	1	1	0	4	0	3	0	2	0	0	2	1	1	2	0	4.0	1	4	The efficient worker quickly executed the project, meeting the deadline with satisfactory results	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Congratulations! Your solution has been accepted and awarded the gold badge for 0 pronouns.	0
5	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	2.0	0	3	Wonderful service for all customers	0
11	0	0	4	0	1	1	0	1	0	2	0	0	1	0	1	0	0	3.0	0	5	"The manager smiled and replied, ""Oh, excellent! I'll make sure to notify everyone of the new schedule."" "	0
11	0	0	0	1	0	4	1	1	0	1	0	0	3	0	1	1	0	3.0	0	4	Wonderful service ensured a delightful dining experience for our large group	0
17	0	0	0	3	0	4	0	1	6	1	0	0	1	0	1	0	0	3.0	0	7	Brownie Troop 6100's annual Girl Scout cookie sale kicked off on Friday in the town square	0
3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1.0	0	1	Splendid experience.	0
14	0	1	1	1	0	3	0	3	0	3	0	0	2	1	2	0	1	4.0	2	5	The wonderful service provided by the company ensures that all customers leave satisfied.	0
6	0	0	1	1	0	2	0	1	0	0	0	0	1	0	0	0	0	2.0	0	3	Wonderful service for all visitors.	0
