n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_post_constraint
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	2	0	0	0	1	0	Sherlocked the game. 	0
24	2	2	4	3	0	2	4	0	0	0	3	0	2	5.0	11	1	1	1	0	0	Alright, here is a sentence without subordinate clauses:  Marsupials were first known to have evolved no later than the early Cretaceous. 	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	  The cat sat on the mat.	0
15	1	1	0	0	0	1	6	0	1	0	1	0	2	3.0	6	1	1	1	1	0	During this month's team assembly meeting, we decided to implement new company policies	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The sun rises slowly over the horizon.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	 The cat purred loudly in my lap.	0
19	0	2	1	1	0	3	3	0	1	0	5	0	2	5.0	6	2	2	2	0	0	"OK, here is the sentence you asked for: ""The bird perched on the branch."""	0
12	2	1	1	1	0	1	3	0	0	0	2	0	1	3.0	6	0	0	1	0	0	  The snow was beautifully decorated with sparkling crystal-like flakes. 	0
12	2	1	0	0	0	2	2	0	0	1	1	1	2	3.0	5	1	1	1	1	0	Betsy took a deep breath before plunging into the frigid water. 	0
8	1	1	0	0	0	1	2	0	0	1	1	0	1	3.0	3	0	0	1	1	0	Sally took the basket of fresh bread. 	0
7	0	0	1	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The cat chased the mouse quickly.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred loudly on my lap.	0
8	0	2	0	0	0	1	2	0	0	1	1	0	1	2.0	5	0	0	1	0	0	Socrates sat on the stone for hours. 	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the windowsill.	0
4	0	0	0	0	0	0	1	0	0	1	1	0	1	1.0	1	0	0	1	1	0	Socrates drank water. 	0
9	1	2	1	1	0	1	2	0	0	0	0	0	1	3.0	8	1	0	1	0	1	Sitting in the garden at sunset is very enjoyable	0
6	0	1	0	0	0	1	1	0	0	1	1	0	1	2.0	3	0	0	1	0	0	Sally sprinted across the park. 	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred soundlessly on my lap.	0
7	1	1	1	0	0	0	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	 Raindrops rolled pleasantly on warm petals.	0
