n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	AUX_constraint
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat sleeps on the mat.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The book lies open on the table.	0
11	1	0	2	1	0	4	0	2	0	1	0	0	0	1	0	1	0	3.0	1	4	A rose blooms brightly, filling the garden with fragrance.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumps onto the mat.	0
14	0	0	4	1	0	3	0	3	0	0	0	2	0	0	2	0	0	3.0	0	8	"Sure, the sentence is ""The book is on the table."""	0
14	0	0	2	2	0	5	0	3	0	2	0	0	0	1	1	1	0	4.0	1	5	The wind blows through the trees, creating a symphony of rustling leaves.	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The cat is sleeping on the mat.	0
10	1	0	2	1	0	2	0	2	0	2	0	0	0	1	1	0	0	2.0	1	5	The cat sits on the mat, purring contentedly.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	The red apple danced across the table.	0
8	1	0	1	1	0	3	0	2	0	0	0	0	0	0	0	0	0	2.0	0	4	The rose blooms brightly in the sun.	0
9	0	0	1	1	0	5	0	2	0	0	0	0	0	0	0	0	0	2.0	0	4	A rose blooms crimson in the morning sun.	0
8	0	0	1	0	0	1	0	1	0	1	0	1	2	1	1	0	0	2.0	1	2	A ripe apple is sweet to eat.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The dog barks at the mailman.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The fruit is ripe.	0
10	0	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	The quick brown fox jumps over the sleeping hedgehogs.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	A ripe peach rests upon the table.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The book lies on the table.	0
9	0	0	3	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	" ""The ball rolls across the table."""	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The dog ran quickly to the park.	0
