n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_prop_constraint
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The plane crashes into the mountain.	0
6	0	1	0	1	0	0	2	0	0	1	0	0	0	3.0	3	0	0	1	0	0	Joe's job was in danger	0
7	0	2	0	1	0	0	1	0	0	1	1	0	1	2.0	3	0	0	1	0	0	Tiger is jumping out of tree.	0
4	0	1	0	1	0	0	0	0	0	1	0	0	1	1.0	2	0	0	1	0	0	enron is blowing up	0
5	0	0	2	1	0	0	0	0	0	1	0	0	1	1.0	3	0	0	1	0	0	Enron will soon go under	0
5	0	1	0	1	0	0	0	0	0	1	1	0	1	1.0	2	0	0	1	0	0	Enron is blowing up.	0
5	0	1	0	1	0	0	0	0	0	1	1	0	1	1.0	2	0	0	1	0	0	Enron is blowing up.	0
7	0	1	1	0	0	1	2	0	1	0	0	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap	0
8	1	0	0	1	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The company was facing a tough year.	0
14	2	2	2	1	0	1	2	0	0	2	1	0	0	4.0	4	0	0	1	0	0	Mars is no longer visible to the naked eye in Earth's atmosphere.	0
3	0	0	0	0	0	0	0	0	0	1	1	0	1	1.0	1	0	0	1	0	0	enron imploded.	0
3	0	0	0	0	0	0	1	0	0	0	1	0	1	1.0	1	0	0	1	0	0	Mission accomplished.	0
5	0	1	0	1	0	0	0	0	0	1	1	0	1	1.0	2	0	0	1	0	0	Enron is blowing up.	0
5	1	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The sky grew dark.	0
6	1	0	0	2	0	1	1	0	0	0	0	0	1	2.0	3	0	0	1	0	0	The new software has been released	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
8	0	2	0	0	0	1	3	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The sky turned from bluer to brown.	0
8	0	0	0	1	0	1	3	0	0	0	1	0	1	3.0	3	0	0	1	0	0	The company's stock price has collapsed.	0
5	0	1	0	1	0	0	0	0	0	1	1	0	1	1.0	2	0	0	1	0	0	Enron is blowing up.	0
25	4	4	1	2	0	2	4	0	1	3	2	1	1	4.0	12	2	2	2	0	0	Most of Wall Street analysts were wrong in their Enron estimates, because the real numbers were far worse for the firm than expected.	0
6	1	0	1	1	0	0	0	0	0	1	1	0	1	2.0	2	0	0	1	0	0	Mars is becoming more habitable. 	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The manager yelled at the employee. 	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The ship sank immediately.	0
4	0	1	0	0	0	0	1	0	0	1	0	0	1	2.0	2	0	0	1	0	0	Enron fell like domino	0
6	0	1	0	1	0	1	2	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The train was on time. 	0
8	1	0	0	1	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The company is experiencing a financial crisis.	0
3	0	0	0	0	0	0	2	0	0	0	0	0	1	1.0	1	0	0	1	1	0	Scientists predicted disaster	0
2	0	0	0	0	0	0	1	0	0	0	0	0	1	1.0	1	1	1	0	0	0	Mission Accomplished	0
5	0	0	0	1	0	1	2	0	0	0	0	0	1	2.0	2	0	0	1	1	0	The company is bleeding money	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
6	0	0	0	1	0	1	2	0	0	0	1	0	1	2.0	2	0	0	1	0	0	The stock market is crashing.	0
10	0	3	0	1	0	1	2	0	1	0	1	0	1	3.0	4	0	0	1	0	0	The jaws of justice are closing in on him.	0
9	2	1	0	1	0	2	2	0	0	1	0	0	0	2.0	4	0	0	1	0	0	Jupiter is the largest planet in the solar system	0
4	1	0	0	1	0	0	0	0	0	1	1	0	0	1.0	2	0	0	1	0	0	Mars is habitable.	0
4	0	0	0	1	0	0	0	0	0	1	1	0	1	1.0	2	0	0	1	0	0	Socrates was impeached.	0
11	2	0	1	0	0	2	3	0	0	0	1	0	1	3.0	4	0	0	1	0	0	The company's financial situation became more critical every day.	0
11	1	1	0	2	0	1	2	0	0	2	1	0	1	3.0	4	1	1	2	1	0	The answer is: NASA is sending more astronauts to Mar	0
5	0	1	0	1	0	0	0	0	0	1	1	0	1	1.0	2	0	0	1	0	0	enron is blowing up.	0
8	0	0	0	1	0	1	3	0	0	0	1	0	1	3.0	3	0	0	1	0	0	The company's stock price is plummeting.	0
5	0	1	0	1	0	0	0	0	0	1	1	0	1	1.0	2	0	0	1	0	0	enron is blowing up.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred softly on my lap.	0
12	0	2	0	0	0	3	3	0	0	1	1	0	2	5.0	3	1	1	1	1	0	Sarah found the note hidden on the side of the road.	0
8	2	0	0	1	0	1	2	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The company is experiencing unprecedented financial losses.	0
8	0	0	0	1	0	0	3	0	0	2	1	0	0	3.0	4	0	0	1	0	0	Muhammad Ali's funeral procession is today.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
5	0	1	0	1	0	0	0	0	0	1	1	0	1	1.0	2	0	0	1	0	0	Enron is blowing up.	0
5	0	1	0	1	0	0	0	0	0	1	1	0	1	1.0	2	0	0	1	0	0	Enron is blowing up.	0
5	0	1	0	1	0	0	0	0	0	1	1	0	1	1.0	2	0	0	1	0	0	Enron is blowing up.	0
8	0	1	0	1	0	1	1	0	0	3	1	0	0	2.0	6	0	0	1	0	0	Bernard L. M. is on the run.	0
8	0	1	0	0	0	2	3	0	1	0	0	0	1	3.0	4	0	0	1	1	0	You missed the chance of a life time	1
