n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NOUN_constraint
11	0	0	2	1	0	3	0	3	0	2	0	0	0	1	1	1	0	3.0	1	5	The wind blew through the trees, rustling the leaves.	0
9	0	0	1	1	0	3	0	2	0	2	0	0	0	0	1	1	1	4.0	1	4	A verb describing an action occurs in time.	0
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The clock roars with a rhythmic ticking sound.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	 The sun shines brightly over the earth.	0
11	1	0	2	1	0	3	1	1	0	2	0	0	0	1	1	1	0	3.0	1	4	 The wind blew fiercely, carrying leaves on its path.	0
9	0	0	3	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	" ""The wind blew through the trees."""	0
17	0	0	7	1	1	4	0	2	0	1	0	1	0	0	1	0	0	3.0	0	6	"The verb ""dance"" is a synonym for ""leap"" and ""skip."""	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The wind whistles through the trees.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	 The wind blew wildly.	0
7	0	0	1	0	1	1	0	0	0	0	0	2	2	0	1	0	0	2.0	0	3	 Actions can be stimulating and rewarding.	0
8	0	0	1	0	0	3	0	2	0	1	0	0	1	0	1	1	0	2.0	0	3	A verb phrase describes a non-existent object.	0
13	1	0	2	1	0	3	0	3	0	2	0	0	1	1	1	1	0	3.0	1	6	The wind blew softly through the trees, creating a serene atmosphere.	0
16	0	0	3	3	0	5	0	3	0	2	0	0	0	0	1	0	0	3.0	0	7	"A verb phrase of ""dancing"" flows through the air like a flowing stream."	0
10	0	0	3	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	" ""The wind blew through the tall grass."""	0
20	0	0	5	2	0	4	1	3	0	2	1	1	0	1	2	1	0	4.0	1	5	"Sure, I have generated a sentence with 0 nouns - ""The wind whips through the trees."""	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	 The clock chimes.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The wind blew gently through the trees.	0
12	0	0	3	1	0	4	0	2	0	0	0	1	1	0	1	0	0	2.0	0	7	" The verb ""dance"" is a vibrant expression of joy."	0
8	0	0	1	1	0	3	0	1	0	1	0	0	1	1	0	0	0	3.0	1	3	 Actionable verb phrase combined with a modifier.	0
6	1	0	1	0	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	2	 The wind blew gently yesterday.	0
6	1	0	1	0	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	2	 The wind blew fiercely yesterday.	0
15	0	0	2	2	1	5	0	2	0	2	0	0	1	1	1	1	0	4.0	1	4	The verbs and adverbs danced with rhythm, creating a melody of harmonious sounds.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The wind blew through the trees.	0
14	0	0	2	2	0	5	0	3	0	2	0	0	0	1	1	1	0	4.0	1	5	The wind whistles through the trees, creating a symphony of rustling leaves.	0
12	0	1	1	1	0	3	0	2	0	2	0	2	0	1	1	1	0	4.0	1	3	 A verb can be accomplished by utilizing a form of action.	0
17	0	0	2	4	0	5	0	4	0	2	0	0	0	1	1	0	0	4.0	1	5	A symphony of colors danced in the sky, painted by the brush of the sunset.	0
16	1	0	2	3	0	5	0	4	0	0	0	1	0	0	1	0	0	4.0	0	5	A verb is the core of any sentence, regardless of the presence of nouns.	0
6	1	0	1	0	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	2	 The wind blew fiercely yesterday.	0
21	0	0	6	2	0	4	0	4	0	2	0	1	1	1	2	0	0	3.0	1	10	"Sure, the sentence is: ""A vibrant melody danced through the air, carried by the wind."""	0
8	0	0	3	0	0	2	0	1	0	0	0	1	1	0	1	0	0	1.0	0	4	" ""Today is a beautiful day."""	0
14	0	0	1	3	1	5	0	2	0	2	0	0	0	1	1	0	0	4.0	1	7	A group of people sat listening to music and dancing in the park.	0
14	0	0	3	2	0	4	0	3	0	1	0	1	0	0	1	0	0	3.0	0	5	"The verb ""dance"" is performed without the presence of any nouns."	0
3	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1.0	0	1	 Rain falls.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The wind blew through the trees.	0
20	0	0	5	1	0	3	0	3	0	2	0	0	6	1	1	1	0	3.0	1	6	" ""The quick brown fox jumps over the lazy dog, savoring the sweet, tangy orange juice."""	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	 The wind blows wildly.	0
9	0	0	3	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	" ""The cat sat on the mat."""	0
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	1	0	2.0	0	4	The wind whispers secrets through the leaves.	0
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	1	0	3.0	0	3	A vibrant symphony of melodies filled the air.	0
14	0	0	2	2	0	4	0	3	0	2	0	0	1	1	1	1	0	3.0	1	5	A rainbow danced across the sky, casting colorful shadows on the ground.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The wind blew through the trees.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The wind blows gently.	0
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 A vowel sound echoed through the air.	0
12	0	0	1	1	0	3	1	2	0	2	0	1	1	0	1	1	1	4.0	1	5	A verb phrase describing an action can exist on its own.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The wind blew through the trees.	0
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	1	0	2.0	0	4	 The wind whispered secrets into the trees.	0
