n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NUM_constraint
9	0	0	2	1	0	2	0	1	0	1	1	0	0	0	0	1	0	2.0	0	5	  Sure, generate a sentence with 0 numerals.	0
11	0	0	1	1	0	4	0	2	0	1	0	0	2	0	1	0	0	3.0	0	4	  The sky blue morning sun hung above the shimmering river.	0
8	1	0	2	0	0	1	2	1	0	1	0	0	0	0	0	0	0	2.0	0	4	  **There was no one home today.**	0
7	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	2.0	0	2	  The sound was heard by nobody.	0
10	0	1	1	0	0	2	1	2	0	1	0	1	1	1	2	1	0	3.0	1	3	The sentence is empty as it has no numerals.	0
7	0	0	1	0	0	2	0	2	0	0	0	1	1	0	1	0	0	2.0	0	4	The answer is a silent moment.	0
9	0	0	4	0	0	1	1	1	0	1	0	1	0	1	2	0	0	2.0	1	4	"The sentence is: ""Nobody arrived""."	0
12	0	0	1	2	1	5	0	2	0	1	0	0	0	0	1	1	0	4.0	0	3	  The absence of numbers creates a sense of emptiness and nothingness.	0
14	0	1	1	2	0	4	0	3	0	2	0	0	1	1	2	0	0	3.0	1	7	 The quiet hum of anticipation echoed through the city as the preparations commenced.	0
13	0	0	1	1	0	3	2	1	0	2	1	1	0	1	1	1	0	4.0	1	4	There is no sentence with 0 numerals that does not contain words.	0
8	0	0	2	1	0	1	1	1	0	1	0	0	1	0	1	0	0	2.0	0	4	  **I walked in the quiet park.**	0
8	0	0	1	1	0	2	0	2	0	1	1	0	0	0	1	0	0	2.0	0	4	  The clouds floated in the zero sky.	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	  She sat at the beach.	0
15	0	0	2	3	0	4	0	3	0	0	0	1	2	0	1	0	0	3.0	0	5	  **The answer is a silent cry for help in the dead of night.**	0
8	1	0	1	0	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	   The sky remained entirely dark that night.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	 The void exists.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	  **Sentence	0
4	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1.0	0	1	 There is silence.	0
10	0	0	1	0	1	2	0	1	0	1	0	1	2	0	1	1	0	3.0	0	3	The task is not clear and requires further context.	0
11	0	0	2	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	  **The quick brown fox jumps over the lazy dog.**	0
4	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	" ""Silence."""	0
28	0	1	3	4	0	7	1	5	0	2	2	1	0	2	1	0	0	5.0	2	9	Sure, a sentence with 0 numbers is a sentence with no words, as there are no words to generate in a sentence with 0 numbers.	0
6	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky was quiet tonight.	0
8	0	0	1	0	0	1	2	1	0	2	0	0	0	1	1	1	0	2.0	1	5	  I have no idea what to do.	0
1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	  > She sat on the carpet with no one around.	0
