n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADP_constraint
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat sleeps soundly on the mat.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sleeps on the mat.	0
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	3.0	0	3	A cat rests on a mat in the sun.	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	A dog is playing with a ball.	0
7	0	0	1	0	0	2	0	2	0	1	0	1	0	0	1	1	0	2.0	0	2	The dog is chasing the ball.	0
9	0	0	2	1	0	2	0	2	0	2	0	0	0	1	1	0	0	2.0	1	5	The cat jumped onto the table, purring.	0
15	0	0	2	2	0	4	1	3	0	2	0	0	1	1	1	1	0	3.0	1	5	A vibrant flower bloomed in the sun, captivating the butterflies with its fragrance.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sits on the mat.	0
12	0	0	2	1	0	4	0	3	0	1	0	0	0	0	1	0	0	4.0	0	5	The dog barks, a testament to the owner's protectiveness.	0
14	0	0	2	2	0	5	1	3	0	1	0	0	0	1	1	0	0	3.0	1	7	A flower blooms in the sun, its petals shimmering in the breeze.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumped onto the mat.	0
12	1	0	2	1	0	3	0	2	0	2	0	0	1	1	1	1	0	3.0	1	6	The sun shines directly onto the grass, casting long shadows.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	A butterfly flew directly to the flower.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumped onto the table.	0
