n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	CCONJ_constraint
19	0	0	3	2	1	5	0	5	0	3	0	0	0	0	3	0	0	3.0	0	12	 The cat sat on the mat, the dog slept, and the fish swam in the pond.	0
10	0	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	The quick brown fox jumps over the sleeping cat.	0
15	1	0	2	2	0	4	0	3	0	2	0	0	1	1	1	1	0	3.0	1	6	The sun shines brightly across the meadow, casting long shadows on the grass.	0
18	2	0	3	1	1	4	0	4	0	3	0	0	0	0	3	0	0	3.0	0	11	The wind blew wildly, the waves crashed fiercely, and the boat raced across the ocean.	0
15	2	0	3	0	1	3	0	3	0	3	0	0	0	0	3	0	0	3.0	0	10	 The sun shines brightly, the flowers bloom, and the birds sing sweetly.	0
16	0	0	2	2	1	4	0	4	0	2	0	0	1	0	2	0	0	3.0	0	8	The bright sun shone upon the flower, and the butterflies danced in the meadow.	0
11	2	0	2	0	1	2	0	2	0	2	0	0	0	0	2	0	0	3.0	0	6	The sun shone beautifully, and the flowers bloomed vibrantly.	0
11	2	0	2	0	1	2	0	2	0	2	0	0	0	0	2	0	0	3.0	0	6	The sun shone brightly, and the flowers bloomed vibrantly.	0
9	0	0	1	2	0	3	0	1	0	2	0	0	0	1	1	0	0	3.0	1	3	 A group of friends went shopping for clothes.	0
13	1	0	2	1	1	3	0	3	0	2	0	0	0	0	2	0	0	3.0	0	8	The cat sat on the mat, and the dog barked loudly.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The dog chased the ball across the park.	0
13	0	0	1	0	1	2	0	2	0	1	0	3	2	1	2	0	0	3.0	1	5	The orange is ripe and the apple is ready to be eaten.	0
14	1	1	1	1	0	4	0	3	0	2	0	0	1	1	2	1	0	3.0	1	5	The lion sleeps soundly while the wind whispers secrets through the tall grass.	0
16	0	0	3	0	1	3	0	3	0	0	0	3	3	0	3	0	0	3.0	0	11	The apple is red, the orange is yellow, and the banana is green.	0
14	0	0	2	1	1	4	0	4	0	2	0	0	0	0	2	1	0	3.0	0	8	The cat jumped onto the windowsill, and the bird sang a song.	0
13	1	0	2	1	0	4	0	2	0	2	0	0	1	1	1	1	0	3.0	1	6	The sun shone brightly, casting long shadows on the park grass.	0
