n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PROPN_constraint
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The sun smiled brightly above the distant trees.	0
18	1	1	1	1	0	5	1	3	0	2	0	1	2	1	1	2	0	3.0	1	10	I have always enjoyed the weekly walks around the quiet neighborhood park without encountering any celebrity sightings.	0
18	0	1	2	2	0	5	2	3	0	2	0	1	0	1	1	2	0	4.0	1	7	This morning, I will walk my cat through the park while carrying a cup of coffee.	0
13	0	0	3	1	0	3	0	2	0	2	0	0	2	0	1	0	0	3.0	0	6	A tall, shimmering mountain peaked above the mist-wrapped landscape.	0
9	0	0	1	1	0	3	0	1	1	1	1	0	0	0	1	2	0	2.0	0	6	Jerry fed the tiger two apples without incident.	0
13	1	1	1	1	0	3	0	3	0	2	0	0	1	1	2	0	0	3.0	1	8	The blue sky stretched above the horizon as the sun slowly set.	0
13	0	0	1	1	0	3	1	2	0	2	0	1	1	1	1	1	1	3.0	2	7	Lying on the couch was my favorite way to spend the weekend.	0
9	0	0	1	1	0	4	0	2	0	1	0	0	0	0	1	0	0	2.0	0	5	The car sped down the winding mountain road.	0
5	0	0	0	1	0	2	0	0	0	1	0	0	1	0	1	0	0	2.0	0	2	Nice dogs romped in yard	0
17	1	0	2	3	1	5	1	2	0	1	0	0	1	0	1	0	0	4.0	0	9	Without any reference to specific people or places, the cats purred contentedly on my lap.	0
10	0	0	1	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	5	The sky is blue and the grass is green.	0
16	0	0	2	2	0	5	0	4	0	2	0	0	1	1	1	1	0	3.0	1	6	The sun rose over the sleeping mountains, casting a warm glow across the landscape.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
13	1	0	1	1	1	4	0	2	0	0	0	1	2	0	1	0	0	3.0	0	7	Moon rocks are the rarest and most valuable rocks in the universe.	0
14	1	1	1	1	0	3	1	3	0	1	0	1	1	1	2	0	0	3.0	1	4	It was a quiet night as the moon hung low in the sky.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
