n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	DET_constraint
9	0	0	1	2	0	2	1	2	0	1	0	0	0	0	1	0	0	2.0	0	5	The dog sat on the mat by itself.	0
18	0	0	2	1	0	4	2	3	0	4	0	0	1	3	1	3	0	5.0	3	5	The absence of a certain element left us perplexed, leaving no determiner to suggest its purpose.	0
13	1	0	2	0	0	1	1	1	0	2	0	3	0	0	2	0	0	2.0	0	7	The task is not defined, so it cannot be completed.	0
5	0	0	1	0	0	0	2	0	0	1	0	0	1	0	1	1	0	2.0	0	1	Nobody did anything significant.	0
8	0	0	2	1	0	1	2	1	0	1	0	0	0	0	1	1	0	2.0	0	4	  **They left nothing on the table.	0
12	0	1	1	1	0	2	2	2	0	2	0	0	0	1	1	1	0	4.0	1	4	There is no one for me to take this responsibility upon.	0
9	1	0	1	1	0	2	0	2	0	0	0	1	1	0	1	0	0	3.0	0	6	The absence of any words was so evident.	0
14	0	0	2	1	0	3	1	2	0	1	0	1	2	1	1	1	0	4.0	1	5	The sky is blue, without a single object to block its color.	0
22	1	0	2	2	1	4	1	4	0	3	0	2	2	2	1	1	0	5.0	2	6	The absence of any determiners can be interpreted as a definite statement, implying a specific entity or something wholly defined.	0
10	0	0	2	1	0	1	2	1	0	2	0	0	0	1	0	0	0	3.0	1	6	 **There were no articles for him to search.**	0
6	0	0	1	0	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	3	  She has no plans tonight.	0
6	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky was clear yesterday.	0
8	1	0	1	0	0	1	0	1	0	1	0	2	0	1	1	0	0	2.0	1	3	The sun was nowhere to be seen.	0
8	0	0	1	1	0	2	1	2	0	1	0	0	0	0	0	0	0	3.0	0	3	There was no time for a decision.	0
5	0	0	1	1	0	0	2	0	0	1	0	0	0	0	1	0	0	2.0	0	2	She came without anyone.	0
6	1	0	1	0	0	0	2	1	0	1	0	0	0	0	1	1	0	2.0	0	2	 No one knows this yet.	0
11	0	0	1	2	0	3	1	3	0	0	0	1	0	0	1	0	0	3.0	0	5	The absence of anything was the catalyst for the event.	0
7	0	0	1	2	0	2	1	0	0	1	0	0	0	0	1	0	0	2.0	0	4	She went without food for days.	0
11	0	0	1	2	0	4	0	2	0	0	0	1	1	0	1	0	0	3.0	0	6	The sky was devoid of any articles of clothing yesterday.	0
33	0	2	2	4	1	6	2	3	0	3	1	3	3	4	2	1	0	7.0	4	10	I am not able to generate a sentence with 0 determiners, as they are unable to be included within a sentence without referring to a specific item or group of items.	0
9	0	0	1	0	0	1	2	1	0	2	0	2	0	1	1	0	0	3.0	1	4	There are no articles that are being selected.	0
6	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1.0	0	3	She was not going anywhere.	0
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	3.0	0	3	The sun shines without any articles in the sky.	0
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The city sleeps beneath the moonlit sky.	0
10	0	0	1	1	0	3	1	2	0	1	0	0	1	0	1	2	0	3.0	0	4	 The absence of any objects caused him immense stress.	0
19	0	0	2	2	0	4	2	3	0	3	1	0	1	2	0	2	0	5.0	2	7	There were no determiners in the text, making it impossible to generate a sentence with 0 determiners.	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	No articles were found in the passage.	0
20	0	1	1	1	1	4	1	2	0	2	0	3	2	2	2	1	0	5.0	2	10	The task cannot be performed because it requires some sort of specific context or determiner to be present.	0
17	0	1	1	1	0	4	1	3	0	3	0	2	0	1	1	0	0	4.0	1	4	The task couldn't be completed since there are no determining words in the given context.	0
18	0	0	1	2	0	5	1	4	0	1	0	2	2	2	2	0	0	3.0	2	8	The absence of a determining article was an undeniable truth that was evident in the evidence presented.	0
7	0	0	2	0	0	1	2	0	0	1	0	1	0	0	1	0	0	2.0	0	3	Nobody came yesterday, did they?	0
22	0	1	1	1	0	5	0	4	0	3	0	3	1	2	2	2	0	5.0	2	6	The task cannot be completed as the context does not specify any article to determine the missing number of articles.	0
5	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	No determiners were requested.	0
12	0	0	1	2	0	4	0	3	0	1	0	0	1	0	1	1	0	3.0	0	4	 The absence of certain factors influenced the outcome of the experiment.	0
15	1	0	3	0	0	2	1	2	0	2	0	2	1	0	2	1	0	2.0	0	11	The task has no specific context, hence, it cannot be completed.	0
9	0	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	  The old man lived on a deserted island.	0
25	0	1	3	2	0	4	1	4	0	3	0	4	1	3	3	0	0	6.0	3	6	The task cannot be completed, as the instruction is asking for a sentence with no determiners, which is impossible to generate.	0
1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	.	0
21	0	0	4	1	1	6	2	3	0	3	0	0	1	2	1	1	0	7.0	2	7	There is no specific person, place, thing, or time mentioned in the context that requires a determiner.	0
19	0	0	2	1	0	4	0	3	0	1	0	3	2	2	1	0	0	3.0	2	8	A day without determination is a day to be reborn, not a mere moment to be remembered.	0
29	2	0	3	4	1	5	2	4	0	2	0	2	4	1	3	0	1	7.0	2	8	The city, which had once been desolate, became bustling and alive with the bustling energy of the people who moved about in a dance of purpose.	0
13	0	0	1	2	0	3	1	2	0	2	0	1	0	1	1	0	0	4.0	1	3	The boy was left without any clothes to wear for his date.	0
8	0	0	1	1	0	0	2	1	0	2	0	0	0	1	1	1	0	3.0	1	2	She had no one to talk to.	0
16	0	0	1	2	0	3	2	2	0	3	1	2	0	1	1	0	0	5.0	1	4	There is no sentence with 0 determiners that can be generated from the given instruction.	0
21	1	0	3	1	1	6	3	2	0	3	0	0	1	2	2	2	0	7.0	2	5	The moon hung, shining its light upon our home, the one that held so much hope and despair.	0
12	0	0	1	2	0	4	0	3	0	1	0	0	1	0	1	1	0	3.0	0	3	The absence of articles caused a profound difference in the outcome.	0
12	0	1	1	0	0	2	0	2	0	2	0	3	0	1	2	0	0	3.0	1	5	The task cannot be completed as no context is provided.	0
7	0	0	1	0	0	2	1	2	0	1	0	0	0	0	1	1	0	2.0	0	4	She made no decisions that day.	0
9	0	1	1	0	0	2	1	2	0	2	0	0	0	1	1	0	0	3.0	1	6	There were no articles before the boys arrived.	0
6	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	2.0	0	3	There is no such instruction.	0
13	0	0	1	2	0	4	0	3	0	1	0	0	2	0	1	0	0	2.0	0	8	The big cat sat on the large stone bench in the park.	1
12	0	0	1	2	0	4	0	3	0	1	0	0	1	0	1	0	0	3.0	0	8	The cat went for a walk in the park last week.	1
17	1	0	4	1	0	4	1	2	0	3	0	0	1	0	1	1	1	4.0	1	7	The dog, wearing its favorite sweater, jumped happily over the rainbow-colored fence.	1
17	2	0	2	1	0	4	2	2	0	3	0	0	1	1	3	1	1	4.0	2	6	The girl who wore the blue hat came running in, her eyes wide with fear.	1
10	0	0	1	0	0	2	2	2	0	2	0	0	1	0	2	1	1	3.0	1	4	The book that I read had a mysterious key.	1
20	0	0	2	2	0	5	1	4	0	3	0	0	3	1	1	2	0	4.0	1	7	A single raven circled the old oak trunk, casting a mesmerizing glow on the slumbering leaves beneath it.	1
14	0	0	1	2	0	4	0	3	0	1	0	0	3	0	1	1	0	3.0	0	6	The little girl with bright eyes took the book from the lonely bookshelf.	1
12	0	0	1	1	0	2	2	1	0	1	0	1	3	0	2	0	1	3.0	1	5	 The big book that I chose was full of interesting stories.	1
12	2	0	1	0	0	2	1	2	0	1	0	1	2	0	2	1	1	4.0	1	9	 The book that has a big blue cover is over there.	1
14	0	0	3	0	0	3	2	2	0	2	0	0	2	0	2	2	1	4.0	1	8	The book, that has a hard cover, contains my precious memories.	1
7	0	0	1	0	0	2	1	1	0	1	0	0	1	0	1	1	0	2.0	0	3	The dog chased its favorite treat.	1
12	0	0	3	0	0	1	2	1	0	2	0	3	0	0	2	0	1	3.0	1	9	 The book, which I had lost, has been found!	1
11	0	0	1	1	0	2	3	1	0	2	1	0	0	1	2	1	0	3.0	1	5	She ate the one piece of cake that I bought.	1
13	0	0	1	2	0	4	0	3	0	1	0	1	1	0	1	0	0	3.0	0	4	A single apple was found amongst the leaves on the forest floor.	1
9	0	0	1	0	0	3	0	2	0	1	0	1	1	0	1	1	0	2.0	0	4	The child was wearing a blue hat yesterday.	1
17	0	0	2	2	0	4	0	4	0	2	0	0	3	1	1	1	0	3.0	1	6	The lone shadow stretched across the moonlit sky, casting a unique silhouette on the ground.	1
15	0	0	1	3	0	4	0	4	0	1	0	1	1	0	1	0	0	3.0	0	6	The girl with the bright eyes was standing in the corner of the room.	1
12	0	0	1	1	0	3	0	3	0	2	0	0	2	0	1	1	1	4.0	1	5	A dog wearing a red collar sat on the front porch.	1
15	0	0	1	1	0	5	0	3	0	1	0	1	2	1	1	0	0	3.0	1	4	The thief's secret hiding place is a room locked within an ancient mansion.	1
9	0	0	1	2	0	2	1	1	0	1	0	0	1	0	1	0	0	3.0	0	4	A single apple fell out of my pocket.	1
11	0	0	1	0	0	3	1	2	0	1	0	1	2	0	1	1	1	4.0	1	8	 The girl wearing the beautiful dress is my best friend.	1
11	0	0	2	0	0	2	3	0	0	2	1	1	0	1	2	1	0	3.0	1	5	She bought one book, which she will read tonight.	1
10	0	0	1	1	0	3	1	2	0	1	0	0	1	0	1	1	0	3.0	0	5	The girl with the blue eyes lost her keys.	1
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	A cat sat on the mat yesterday.	1
12	0	0	1	2	0	3	1	2	0	1	0	1	1	0	1	0	0	3.0	0	6	The girl with the blue eyes is playing with her friends.	1
13	0	0	1	1	0	3	1	3	0	2	0	0	2	0	2	1	1	4.0	1	6	The young girl who owns the blue house lives in the city.	1
15	0	0	1	2	0	3	3	1	0	2	0	2	1	0	2	1	1	4.0	1	7	The young girl who has lost her wallet is looking for it at home.	1
10	0	0	3	1	0	2	1	1	0	1	0	0	1	0	1	0	0	2.0	0	4	"The single word ""a"" stands for something."	1
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	3.0	0	3	The cat sat with the book on the mat.	1
8	0	0	1	0	0	2	0	2	0	1	0	0	2	0	1	1	0	2.0	0	3	The small cat licked the big ball.	1
12	1	0	3	1	0	2	1	1	0	1	0	1	1	0	1	0	0	2.0	0	9	The book, with its enticing covers, was eagerly purchased.	1
14	0	0	1	1	0	4	1	3	0	3	0	0	0	2	2	1	0	5.0	2	4	The cat chose to eat the berry that grew under the oak tree.	1
8	0	0	2	1	0	0	2	0	0	1	0	1	0	0	1	0	0	2.0	0	4	Sure, I can help with that.	1
20	0	0	2	3	0	5	0	5	0	2	0	0	3	1	1	0	0	6.0	1	4	A single shadow glided through the window, a silent observer of the silent ballet unfolding on the floor.	1
21	0	0	2	4	0	6	1	5	0	2	0	0	1	1	1	1	0	4.0	1	5	The girl with the bright eyes sat on the steps, studying her reflection in the water below the castle.	1
16	0	0	2	3	0	4	1	2	0	3	0	0	1	2	1	0	0	5.0	2	5	A single rose stood on the table, shimmering like sunlight refracting from its petals.	1
9	0	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	The little cat jumped over the big bush.	1
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	3.0	0	4	The girl with the dog sat by the lake.	1
11	2	0	1	2	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	6	The red car stands next to the tree over there.	1
15	1	0	2	2	0	3	2	2	0	2	0	1	0	1	2	0	0	3.0	1	7	A dog is running through the park, its leash dangling freely behind it.	1
12	0	0	2	1	0	3	1	3	0	2	0	0	0	1	2	1	0	4.0	1	3	The dog chased the cat, which jumped over the box.	1
17	1	0	3	1	0	3	1	3	0	2	0	1	2	0	2	1	1	4.0	1	7	 **The single key that unlocked the door** was buried deep beneath the old floorboards.	1
12	0	0	1	1	0	3	2	2	0	2	0	1	0	0	2	1	1	4.0	1	7	The dog that jumped over the fence was wearing my hat.	1
9	0	0	1	1	0	3	0	2	0	2	0	0	0	0	1	1	0	3.0	0	3	The dog ate the remaining piece of cheese.	1
14	1	0	1	1	0	3	3	1	0	1	0	1	1	0	2	0	1	4.0	1	10	The only thing that truly belongs to me is my cat's fur.	1
15	0	0	1	1	0	4	0	4	0	3	0	0	1	1	1	2	1	4.0	2	5	The girl wearing the green dress went to the store to buy some groceries.	1
16	0	0	2	2	0	3	1	3	0	2	0	0	3	1	2	0	0	4.0	1	4	The lonely hiker ventured into the lush forest, his backpack brimming with the unknown.	1
19	0	0	2	2	0	5	1	4	0	2	0	0	3	1	2	1	0	3.0	1	8	A single raven flew over the shimmering pond, its feathers casting a breathtaking glow on the lilies.	1
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	1	0	3.0	0	4	The cat with fluffy ears ate the cheese.	1
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The cat chased the bird through the forest.	1
18	0	0	3	3	0	3	3	2	0	3	0	0	1	1	2	0	1	4.0	2	11	The book which she lost, along with her favorite pen, lay scattered on the floor.	2
19	1	0	2	2	1	5	0	4	0	2	0	0	2	1	1	1	0	4.0	1	6	A book and a cup sit together on the desk, holding a precious collection of handwritten pages.	2
13	0	0	1	2	1	4	1	3	0	1	0	0	0	0	1	0	0	3.0	0	6	The boy and the girl ran to the store in their car.	2
15	2	0	2	1	2	1	3	2	0	2	0	0	0	0	2	0	0	3.0	0	6	She and he both went there, but only he stayed for the evening.	2
11	0	0	3	1	0	3	0	1	0	1	1	1	0	0	1	0	0	2.0	0	4	 **Two dogs** are playing in the park today.	2
9	1	0	1	1	1	1	2	1	0	1	0	0	0	0	1	0	0	3.0	0	4	She and he walked to the market together.	2
13	0	0	1	2	0	4	0	2	0	1	0	0	3	0	1	1	0	4.0	0	4	The woman with red hair had a bag full of delicious cookies.	2
14	0	0	1	2	0	4	1	2	0	1	1	0	2	0	1	1	0	4.0	0	4	We found two beautiful flowering plants amidst the rocks in the ancient temple.	2
10	0	0	1	1	0	3	1	1	0	2	1	0	0	1	1	1	0	4.0	1	4	I saw two women walking by the park yesterday.	2
6	1	0	1	0	0	2	0	0	0	1	1	0	0	0	1	0	0	2.0	0	2	Two birds flew south today.	2
11	0	0	1	1	0	2	0	2	0	1	1	0	3	0	1	1	0	2.0	0	6	Two beautiful kittens chased each other through the lush garden.	2
12	0	0	1	1	1	4	0	4	0	1	0	0	0	0	1	1	0	3.0	0	5	  The boy and the dog chased the butterfly to the pond.	2
16	0	0	3	0	2	3	1	1	3	2	1	0	0	1	1	1	0	5.0	1	5	My grandmother and grandfather both have three children named Sarah, David, and Emma.	2
21	0	0	1	2	2	4	2	3	0	3	0	0	4	2	2	2	0	5.0	2	7	The birds sing both with vibrant and colorful plumage that adds a delightful touch to the vibrant landscape surrounding them.	2
20	0	0	2	2	0	6	0	6	0	3	0	0	1	1	2	3	0	5.0	1	8	A pair of hands took the treasure from the bank, each containing a gleaming diamond worth a fortune.	2
22	0	1	2	2	2	5	2	3	0	4	0	0	1	2	2	1	0	6.0	2	7	The cat and the dog lived in the house, with them enjoying free time exploring and playing outside their abode.	2
13	0	0	1	1	1	4	0	3	0	2	0	0	0	1	1	1	0	3.0	1	5	The boy and the girl went to the store to buy food.	2
9	0	0	1	1	0	3	0	1	0	1	1	0	1	0	1	0	0	2.0	0	4	  Two beautiful flowers bloomed in the garden today.	2
6	1	0	2	0	0	0	1	0	0	1	0	0	0	1	1	0	0	2.0	1	2	Sure, here you go:  The book that both the old and the new students picked up yesterday is the one that has a lot of mysteries and answers.	2
13	0	0	2	2	0	4	1	1	0	2	1	0	0	1	1	0	0	3.0	1	6	Two birds soared through the azure sky, searching for their breakfast.	2
15	0	0	2	2	0	4	0	4	0	2	0	0	1	1	1	1	0	3.0	1	5	The girl with the green dress sat on the bench, reading a book.	2
14	0	0	3	2	0	3	0	2	0	2	1	0	1	0	1	0	1	4.0	1	8	Two cats, running through a dense forest, hid from the hawk.	2
20	0	0	4	3	0	4	0	2	0	2	1	0	4	1	1	0	0	4.0	1	7	"  ""Two birds soared into the clear blue sky, landing on opposite sides of the magnificent castle."""	2
11	0	0	1	1	0	3	0	3	0	1	0	1	1	0	1	1	0	3.0	0	6	The boy with the red scarf is watching the movie.	2
13	0	0	1	2	0	4	3	1	0	1	0	1	0	0	2	1	1	4.0	1	10	The boy who brought his book to school is in my classroom.	2
