n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_pre_constraint
8	0	1	0	1	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun will set in an hour.	0
8	1	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The cat naps on the sunny windowsill.	0
5	0	0	0	1	0	1	1	0	0	0	1	0	1	2.0	2	0	0	1	0	0	The sun is setting.	0
5	0	0	1	1	0	0	0	0	1	0	1	0	1	1.0	2	0	0	1	0	0	I will leave now.	0
3	0	0	0	0	0	0	1	0	0	1	1	0	0	1.0	1	0	0	0	0	0	Thesunsetsbehindthemountainsat6pm.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun sets below the horizon.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sits on the mat.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun sets over the horizon.	0
12	2	1	0	2	0	1	2	0	1	0	2	0	0	3.0	4	1	1	1	0	0	I am a helpful assistant, glad to be of service.	0
4	0	0	0	0	0	0	2	0	0	0	1	0	1	1.0	1	0	0	1	1	0	Dogs have fur.	0
5	0	0	0	0	0	0	1	0	2	0	1	0	1	2.0	2	0	0	1	1	0	You dropped your keys.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun sets over the ocean.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun sets over the horizon.	0
12	0	1	0	1	0	1	3	0	2	0	1	0	3	4.0	3	2	2	2	1	0	I am an assistant that generates text based on given instructions.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises in the east.	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The dog barks loudly.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The sun rises early in the east.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun sets in the west.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun sets in the west.	0
11	1	1	1	0	0	2	3	0	1	0	1	0	1	2.0	6	0	0	1	1	0	My cat just ate the entire fish from the fridge.	0
6	0	0	0	1	0	1	1	0	1	0	1	0	1	2.0	2	0	0	1	1	0	I will read a book.	0
7	1	0	0	1	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	1	0	You are holding a blue ball.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	0
6	0	0	0	0	0	1	1	0	1	0	1	0	2	3.0	2	1	1	1	1	0	I love playing the guitar.	0
7	1	0	2	0	0	0	1	0	1	0	1	0	1	2.0	2	0	0	1	0	0	Your new computer runs very fast.	0
