n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_prop_constraint
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	A cat sits on a mat.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises in the east.	0
6	1	0	0	0	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	1	0	I saw a red bird.	0
8	1	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The cats slept on the warm cushions.	0
6	0	0	0	1	0	1	1	0	1	0	1	0	1	2.0	2	0	0	1	1	0	I will eat an apple.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises in the east.	0
6	1	0	1	0	0	0	1	0	1	0	1	0	1	2.0	3	0	0	1	1	0	I drink water when thirsty.	0
7	0	1	0	1	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	0	0	I will run in the park.	0
8	0	1	0	0	0	1	2	1	1	0	1	0	1	2.0	5	0	0	1	1	0	She baked two cakes for the party.	0
6	1	0	0	1	0	1	1	0	1	0	1	0	0	1.0	4	0	0	1	0	0	This is a red apple.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises in the east.	0
6	1	0	0	1	0	1	2	0	0	0	1	0	0	1.0	4	0	0	1	0	0	Today is a sunny day.	0
5	0	0	0	0	0	0	1	0	2	0	1	0	1	2.0	2	0	0	1	1	0	I understand your request.	0
5	0	0	0	0	0	0	1	0	1	0	1	0	2	2.0	1	1	1	1	1	0	I enjoy eating pizza.	0
6	0	0	0	1	0	1	1	0	1	0	1	0	1	2.0	2	0	0	1	1	0	I am reading a book.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises in the east.	0
7	0	0	0	1	0	1	2	0	1	0	1	0	1	2.0	3	0	0	1	1	0	I'll read the book tomorrow.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun sets in the west.	0
6	1	0	0	1	0	1	1	0	1	0	1	0	0	1.0	4	0	0	1	0	0	This is a yellow apple.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises in the east.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises in the east.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises over the mountain.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises in the east.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	0
6	0	0	0	0	0	1	2	0	1	0	1	0	1	2.0	2	0	0	1	1	0	The sunlight warms my face.	0
5	0	0	0	1	0	1	1	0	1	0	1	0	0	1.0	3	0	0	1	0	0	I am a writer.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun sets in the west.	0
5	0	0	0	1	0	1	1	0	1	0	1	0	0	1.0	3	0	0	1	0	0	I am a human.	0
