n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	AUX_constraint
4	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	2.0	0	2	Sell more apples.	0
11	0	0	1	1	0	4	0	4	0	1	0	0	0	0	1	1	0	2.0	0	7	The train reaches the station each hour on the hour.	0
8	0	0	1	1	0	2	2	0	0	1	0	1	0	0	1	1	0	2.0	0	4	He must pay his rent on time.	0
8	1	0	1	1	0	2	0	1	0	1	1	0	0	0	1	0	0	2.0	0	4	The bell rang sharply at 8:00 AM.	0
5	0	0	1	0	0	1	2	0	0	1	0	0	0	0	1	1	0	2.0	0	2	I want her apples.	0
9	1	0	1	1	0	3	0	0	0	1	0	0	2	0	1	0	0	2.0	0	5	Red apples roll smoothly on polished marble surfaces.	0
6	0	0	1	1	0	2	0	0	0	1	1	0	0	0	0	0	0	2.0	0	2	Six sided dice for sale.	0
5	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0	2.0	0	3	Declare war on Iran.	0
10	0	0	1	2	0	3	0	1	0	1	2	0	0	0	0	1	0	2.0	0	8	Bake the cake at 350 degrees for 30 minutes.	0
9	0	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	The red car collides with the blue car.	0
7	0	0	1	0	0	2	2	0	0	1	0	1	0	0	1	1	0	2.0	0	3	I will review your report tomorrow.	0
13	0	1	1	1	0	3	1	2	0	2	1	1	0	1	1	2	0	4.0	1	4	You must complete the task by generating a sentence with 0 auxiliaries.	0
9	0	0	1	1	0	1	2	1	0	1	1	0	0	0	1	2	0	2.0	0	6	He owes me $50 for the repairs.	0
7	0	0	1	1	0	2	1	0	0	1	0	1	0	0	1	1	0	2.0	0	3	I'll take over management duties.	0
7	0	0	1	1	0	0	2	0	0	2	0	0	0	1	1	1	0	2.0	1	3	I want you to shut down.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	1	0	2.0	0	5	The teacher expects quiet behavior in the classroom.	0
5	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The baby is crying.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
4	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1.0	0	1	Bob eats apples.	0
7	1	0	1	1	0	3	0	0	0	1	0	0	0	0	0	1	0	2.0	0	5	Pay rent to apartment owner monthly.	0
7	1	0	1	1	0	1	1	1	0	1	0	0	0	0	0	1	0	2.0	0	5	Close the door firmly behind you.	0
11	0	0	1	0	0	3	1	2	0	2	0	0	1	1	1	2	0	3.0	1	5	A man runs a small business to support his family.	0
6	0	0	1	1	0	1	1	0	0	2	0	0	0	0	1	0	0	2.0	0	3	They spoke in whispered voices.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	0	1	0	2.0	0	5	Bake a cake for an hour.	0
9	0	0	1	1	0	3	0	1	0	1	1	1	0	0	1	0	0	2.0	0	3	 The sun will rise at 6:30 AM tomorrow.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The dog barked fiercely.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The dog barks loudly.	0
9	0	0	1	1	0	2	1	2	0	1	0	1	0	0	1	1	0	2.0	0	5	I will water the garden in the morning.	0
5	0	0	2	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1.0	0	2	" ""John is tall."	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets in the west.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat slept under the table.	0
8	0	0	1	0	0	4	0	1	0	1	0	0	1	0	1	1	0	2.0	0	3	This car model gets excellent fuel efficiency.	0
8	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	2.0	0	3	I cannot come to the phone.	0
10	0	0	2	1	0	2	0	0	0	2	1	0	1	1	1	0	0	3.0	1	2	Four-legged animal needs to hunt for food.	0
12	0	0	1	1	1	4	0	1	0	2	0	1	0	1	1	1	0	4.0	1	5	All students are required to bring pencils and paper to class.	0
