n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NOUN_constraint
5	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	2.0	0	3	Avoid nouns for now.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The verb is inactive.	0
5	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1.0	0	2	Is it raining today?.	0
7	0	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	3	The room hums with quiet expectation.	0
4	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1.0	0	2	It's raining.	0
6	0	0	1	1	0	2	0	0	0	1	0	0	1	0	1	1	0	2.0	0	3	Actions Speak Louder Than Words.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun rises slowly over the horizon.	0
8	0	0	1	1	0	2	1	1	0	1	0	0	1	0	0	0	0	2.0	0	5	There are sounds in the quiet room.	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	2	A silence settled between us.	0
6	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The weather is pleasant today.	0
8	0	0	1	2	0	2	1	1	0	1	0	0	0	0	1	0	0	3.0	0	3	A window of opportunity appears before us.	0
4	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1.0	0	1	It rains today.	0
4	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1.0	0	2	Action is necessary.	0
6	0	0	1	1	0	2	0	0	0	1	0	0	1	0	1	0	0	3.0	0	2	Action speaks louder than words.	0
6	0	0	1	1	0	2	0	0	0	1	0	0	1	0	1	0	0	3.0	0	2	Actions speak louder than words.	0
8	0	0	1	1	0	2	1	2	0	1	0	0	0	0	0	0	0	2.0	0	5	There is no noun in this task.	0
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	1	0	2.0	0	4	The sun casts shadows on the floor.	0
6	1	0	1	0	1	2	0	0	0	1	0	0	0	0	0	1	0	3.0	0	4	Exist calmness and serenity here.	0
5	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The sun is setting.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The wind whistles.	0
9	0	0	3	0	0	1	1	1	0	1	0	1	0	0	1	1	0	3.0	0	5	"The verb ""to be"" connects everything."	0
12	0	0	5	0	0	2	2	0	0	2	0	1	0	0	1	0	0	3.0	0	7	Action: scream, Question: what are you doing?, Response: I am not doing anything, I just want to hear the sound of silence.	0
6	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	3	The verb is to act.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets behind the hills.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The color is bright.	0
9	0	0	1	1	0	2	1	2	0	1	0	0	1	0	0	0	0	2.0	0	6	There is a soft hum in the world.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The rain falls heavily.	0
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	 An orchestra plays a symphony.	0
4	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1.0	0	2	Is it raining?.	0
7	1	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	3	The colour blue is so calming.	0
7	2	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	2.0	0	4	There is silent darkness all around.	0
6	0	0	1	0	1	1	0	1	0	2	0	0	0	0	1	0	0	2.0	0	2	The sun rises and sets.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sinks below the horizon.	0
4	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	2.0	0	2	Exist eternal emotions.	0
5	0	0	1	0	0	0	2	0	0	1	0	1	0	0	1	1	0	1.0	0	2	Do you understand me? I'll repeat that.	0
4	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1.0	0	2	It is raining.	0
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	3.0	0	3	There are three colors in a bag.	0
12	1	0	2	1	0	2	1	2	0	0	0	1	1	0	1	0	0	3.0	0	4	Isn't it nice, just the sound of the rain?.	0
7	0	0	1	0	0	3	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	A verb tense changes the meaning.	0
10	0	1	1	1	0	3	0	2	0	2	0	0	0	1	2	0	0	2.0	1	6	The sun sets over the lake as silence descends.	0
5	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1.0	0	2	Is it raining today?.	0
7	0	0	1	1	0	2	0	1	0	1	0	0	1	0	0	1	0	3.0	0	3	Exists an infinite amount of possibilities.	0
7	0	0	1	0	0	1	1	0	0	2	0	1	0	1	1	0	0	2.0	1	2	Is it supposed to rain today?.	0
8	0	0	1	2	0	2	1	1	0	1	0	0	0	0	1	0	0	3.0	0	3	A sensation of happiness washed over her.	0
5	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1.0	0	2	Is it three yet?   (Note: The response contains zero countable nouns.	0
7	0	0	1	0	1	2	0	1	0	2	0	0	0	0	2	0	0	2.0	0	3	The sun sets and night falls.	0
4	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1.0	0	2	Is it raining?.	0
6	0	0	1	1	0	2	0	0	0	1	0	0	1	0	1	0	0	3.0	0	2	Actions speak louder than words.	0
7	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	0	2.0	0	3	Can you pass the ketchup please?  (Note: This sentence contains the pronoun 'you' which acts as a placeholder for a noun but does not itself count as a noun.	0
9	0	0	1	0	0	2	1	1	0	2	1	0	0	1	0	1	0	4.0	1	2	There are three ways to make a cake.	0
5	0	0	1	0	0	2	0	1	0	1	0	0	0	0	1	1	0	2.0	0	2	Mountains dominate the landscape.	1
6	0	0	1	1	0	2	0	0	1	1	0	0	0	0	1	0	0	2.0	0	3	Raccoon rummages through trash cans.	1
8	0	0	1	1	0	4	0	1	0	1	0	0	0	0	1	1	0	2.0	0	5	Moonlight paints silver paths through the forest.	1
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	3	Lion roars in the jungle.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The elephant wanders in the savanna.	1
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat slept.	1
4	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1.0	0	2	Rose is beautiful.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises over the horizon.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets over the horizon.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	An elephant strolls in the savannah.	1
5	0	0	1	0	0	2	0	1	0	1	0	0	0	0	1	1	0	2.0	0	2	Roses fill the garden.	1
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The table is sturdy.	1
7	0	0	1	1	0	3	0	2	0	0	0	0	0	0	0	0	0	2.0	0	3	The sunflower blooms in the garden.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets beautifully over the lake.	1
3	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1.0	0	1	The tablecloth.	1
9	1	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	5	The moon shines brightly in the night sky.	1
7	1	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	4	Roses bloom vibrantly in the garden.	1
4	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1.0	0	2	Tablecloth is elegant.	1
6	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	0	0	2.0	0	2	Cat is sitting on Windowsill.	1
4	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1.0	0	1	Apples roll downhill.	1
5	0	0	1	1	0	2	0	0	0	1	0	0	0	0	1	0	0	2.0	0	2	Roses bloom in spring.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	A giraffe grazes in the savanna.	1
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	3	Roses dance under the moonlight.	1
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	An elephant roams the savanna.	1
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	3	Mountains peak at the horizon.	1
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The sun is setting over the horizon.	1
5	0	0	1	0	0	2	0	0	0	0	0	1	1	0	1	0	0	1.0	0	3	Books are intriguing companions.	1
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The moon is beautiful.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	An elephant roams through the savannah.	1
7	0	0	1	1	0	2	0	1	1	0	0	1	0	0	1	0	0	2.0	0	3	Rose is the queen of gardens.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets over the ocean.	1
5	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	2.0	0	3	Cat on the mat.	1
10	0	1	1	1	0	2	1	2	0	2	0	0	0	1	2	0	0	3.0	1	3	The bicycle wobbled as I pedaled through the neighborhood.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets on the horizon.	1
7	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	3.0	0	2	The moon's craters are fascinating.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The elephant is in the yard.	1
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The clock chimes.	1
6	0	0	1	1	0	3	0	1	0	0	0	0	0	0	0	0	0	2.0	0	3	Thunderstorm brews in the horizon.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The monorail passed over a bridge.	1
5	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	2.0	0	2	The moon is round.	1
4	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1.0	0	2	Dolphins are mammals.	1
7	0	0	1	1	0	3	0	2	0	0	0	0	0	0	0	0	0	2.0	0	3	The tiger paces in the jungle.	1
6	0	0	1	0	0	2	0	1	0	1	0	1	0	0	1	1	0	2.0	0	2	Rose is painting a portrait.	1
6	0	0	1	0	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	The elephant enjoys its meal.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	1
7	1	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	3	Swans gracefully glide on the pond.	1
7	0	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	4	Apples hang heavy from the tree.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The bicycle leans against the wall.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets over the valley.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets over the ocean.	1
8	1	0	1	0	1	2	0	2	0	1	0	0	0	0	1	0	0	3.0	0	4	The tiger and the forest roam together.	2
8	0	0	1	1	0	3	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The penguin statue is surrounded by tulips.	2
6	1	0	1	1	0	2	0	0	0	1	0	0	0	0	1	0	0	2.0	0	2	Birds frequently gather at feeders.	2
11	0	0	1	1	1	4	0	2	0	1	0	0	1	0	1	1	0	3.0	0	5	The moon and stars lighted up the clear night sky.	2
6	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2.0	0	3	 moon, tide levels).	2
8	0	0	1	1	0	3	0	1	0	1	0	0	1	0	1	0	0	2.0	0	3	The sunflower garden dazzles with vibrant blooms.	2
13	1	0	1	1	1	3	0	3	0	1	0	0	2	0	1	0	0	3.0	0	6	The clock and the bookshelf stood tall in the dimly lit room.	2
7	1	0	1	0	0	3	0	1	0	1	0	0	0	0	1	1	0	2.0	0	2	The car radio broadcasts music softly.	2
10	0	0	1	0	0	4	0	2	0	1	0	0	0	0	1	1	0	3.0	0	4	The elephant's tusk broke the temple's statue.	2
7	0	0	1	0	1	3	0	1	0	1	0	0	0	0	1	1	0	3.0	0	2	The garden grows roses and sunflowers.	2
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	1	0	2.0	0	4	The moon casts shadows on the sand.	2
12	0	0	1	1	1	4	0	3	0	1	0	0	1	0	1	1	0	3.0	0	5	The elephant and the moon cast long shadows on the savannah.	2
7	0	0	1	1	0	3	0	0	0	1	0	0	1	0	1	0	0	2.0	0	3	Cactus flowers dazzle with vibrant hues.	2
