n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PUNCT_constraint
7	0	0	1	1	0	2	0	0	0	1	0	0	2	0	1	0	0	2.0	0	3	Red apple sits on table brown.	0
7	0	0	1	1	0	3	0	0	0	0	0	0	2	0	0	0	0	2.0	0	3	Red apple green leaf on table.	0
51	0	0	1	0	0	43	0	0	5	0	0	0	2	0	0	0	0	14.0	0	17	Apple orange banana tomato peach grape melon kiwi mango pear avocado strawberry pineapple cherry fig apple pear banana orange tomato mango peach apple grape banana kiwi melon pear mango grape apple tomato peach banana apple grape kiwi mango peach fig pear apple grape banana orange tomato apple kiwi mango grape.	0
10	0	0	1	1	0	3	0	2	0	2	0	0	1	1	1	1	0	3.0	1	4	The sun rises over the horizon casting long shadows.	0
8	0	0	0	0	0	2	0	1	0	1	0	0	4	0	1	0	0	2.0	0	5	The sun bright yellow radiant globe slow sets  This sentence, without proper punctuation, describes the sight of the sun as it sets, its yellow color and radiant glow being prominent features.	0
12	0	0	1	1	1	4	0	0	0	2	0	0	3	0	1	2	1	4.0	1	6	Weave baskets with colored straws create intricate and vibrant patterns ```vbnet Weave baskets with colored straws create intricate and vibrant patterns ```.	0
12	0	0	1	2	1	4	0	0	0	1	0	0	3	0	1	0	0	4.0	0	8	Blue birds dance among pink and red petals on garden ground.	0
13	0	0	1	1	1	2	0	3	2	2	0	0	0	0	1	1	0	4.0	0	5	The Sun rises in the sky and warms the Earth's surface.	0
13	0	0	1	0	0	9	0	0	1	1	0	0	1	1	0	0	0	2.0	1	5	Apple banana orange tree sunlight rain water sunset flowers garden birds singing.	0
13	0	0	1	2	0	5	0	2	0	3	0	0	0	2	1	1	0	6.0	2	3	Create a garden filled with sunflowers sunflowers sunflowers grow towards the sun.	0
13	1	0	3	2	1	3	0	3	0	0	0	0	0	0	0	0	0	3.0	0	6	" a period at the end and a comma before ""daily""."	0
10	1	0	1	0	0	3	0	2	0	2	0	0	1	1	1	2	0	3.0	1	4	The sun sets gradually turning the sky various hues.	0
68	0	0	1	0	0	40	0	0	6	0	0	0	3	0	0	0	0	10.0	0	56	Apple banana orange mango Pear grape lemon peach cherries watermelon strawberries kiwi melon figs pineapple passionfruit pear grapefruit tangerine mandarin apple avocado orange guava papaya honeydew dragonfruit nectarine mango peach persimmon plum sapote starfruit apricot cherimoya blueberry fig quince blackberry elderberry Boysenberry gooseberry japonica grape raisin damson plum cranberry blood orange tangelo clementine tangerine cumquat lemonade limeada watermelon juice orange juice peach juice pear juice apple juice.	0
9	0	0	1	0	1	4	0	0	0	2	1	0	0	1	0	2	0	5.0	1	2	Create three dishes using eggs vegetarian and tomatoes.	0
28	0	0	1	0	0	14	0	0	0	5	0	0	8	1	4	2	0	4.0	1	11	Red apples fall tree shaking ripe fruit branches bend sway low heavy weight sun hangs sky blue soft breeze blows wind calm peaceful nature scene autumn day.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
15	0	0	1	0	0	12	0	0	1	0	0	0	1	0	0	0	0	3.0	0	10	Apple banana orange mango grape peach lemon kiwi cherries pineapple avocado pear guava plum.	0
8	0	0	1	0	0	2	2	0	0	2	0	0	1	1	2	2	0	4.0	1	2	I love books that evoke vivid emotions.	0
7	0	0	1	1	0	3	0	0	0	1	0	0	1	0	0	1	0	2.0	0	4	Create art from life experience unending.	0
30	5	0	1	3	0	11	0	0	0	5	0	0	5	1	1	4	0	7.0	1	11	Learn Japanese language effortlessly combine kanji symbols correctly order characters effectively communicate daily sentences effectively build solid relationships with native speakers daily immerse in authentic culture through travel experiences.	0
14	0	0	1	0	0	8	0	0	0	2	0	0	3	0	1	3	0	5.0	0	7	Bring water balls blue red mix many create stack pile joy laughter kids.	0
10	0	0	1	0	0	2	1	2	0	2	0	1	1	1	1	2	0	4.0	1	4	Bring me the red book the girl is reading.	0
13	1	0	1	1	0	7	0	0	0	3	0	0	0	1	2	1	0	3.0	1	8	Colors dance on rain slicked streets when moon shadows play night games.	0
26	1	1	2	2	1	7	0	2	1	4	0	4	1	2	3	2	0	5.0	2	23	Sun rises over horizon slowly spreading light    Note that the sentence does have implied pauses for clarity, but no explicit punctuation has been added.	0
11	0	0	1	0	0	5	0	0	0	3	0	0	2	2	0	1	0	3.0	2	3	Blue sky white clouds sun shining trees waving birds flying.	0
12	0	0	1	0	0	7	0	0	0	2	0	0	2	1	2	0	0	3.0	1	5	Color blue sky sun birds fly green tree flower children dance.	0
11	0	0	1	1	1	4	0	0	0	1	0	0	3	0	0	0	0	4.0	0	3	Create in garden sunflowers beautiful bloom tall and bright yellow.	0
11	0	0	1	2	0	4	1	0	0	2	0	0	1	0	0	2	0	3.0	0	5	Bring flowers in red color bring sunshine to my life.	0
12	0	0	1	1	0	7	0	0	0	3	0	0	0	1	1	2	0	4.0	1	5	Colors dance on canvas brush strokes blend forms shift creating painting.	0
12	0	0	1	2	0	4	0	2	0	2	0	0	1	1	1	1	0	4.0	1	5	The sun sets behind mountains releasing warm colors into the sky.	0
9	0	0	1	1	0	4	0	0	0	3	0	0	0	2	2	1	0	4.0	2	3	Create art from shards sunsets offer morning arrives.	0
9	0	0	1	1	0	3	0	2	0	2	0	0	0	1	1	1	0	3.0	1	3	The sun rises over the horizon spreading light.	0
6	1	0	1	0	0	1	0	0	0	1	0	0	2	0	1	0	0	2.0	0	2	Colorless green ideas sleep furiously.	0
15	0	0	1	3	1	5	0	3	0	2	0	0	0	1	0	0	0	3.0	1	10	Run through the forest with the sun setting and deer leaping in every direction.	0
13	0	0	2	0	0	4	0	1	1	2	0	0	2	1	1	1	0	4.0	1	8	Sun sets painting the sky orange red ```sql SELECT COUNT(*) FROM orders WHERE customer_id = 1234 AND order_status = 'completed' AND delivery_address LIKE '%New York%';  -- This query retrieves the count of orders with customer 1234, 'completed' status, and having 'New York' as part of their delivery address.	0
10	0	1	1	1	0	5	0	0	0	2	0	0	0	1	1	2	0	3.0	1	6	Bring water from river before sunset make fish dinner.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets slowly behind the hills.	0
7	0	0	1	0	0	3	0	0	0	0	0	0	3	0	0	0	0	2.0	0	4	Blue car red car green car.	0
