n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	obj_post_constraint
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The rain fell steadily on the city. (0 postverbal objects)	0
13	1	2	1	0	0	2	2	0	0	1	1	1	2	3.0	10	1	1	1	0	0	0	1	Max stared intently at the intricate design on the vase without blinking.	0
10	0	1	1	0	0	3	3	0	0	0	1	0	1	2.0	6	0	0	1	1	0	1	1	The dog chased the cat quickly down the street.	0
25	0	4	2	0	2	3	4	0	2	1	2	0	5	5.0	10	1	1	3	0	0	0	3	Sarah quickly walked home through the pouring rain, but her umbrella opened in the wind and she ended up soaked to the bone.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The sun sets in the west.	0
5	0	1	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The cat sat down.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The sun sank slowly in the sky.	0
13	1	2	1	0	0	3	3	0	0	0	2	0	1	2.0	4	0	0	1	0	0	0	1	In the quiet cottage, the cat purred contentedly on the windowsill.	0
7	0	0	1	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	1	0	1	1	The dog chased the cat quickly.	0
6	2	0	0	1	1	1	1	0	0	0	0	0	0	2.0	2	0	0	1	0	0	0	1	The sky is blue and calm	0
12	0	3	0	1	0	1	2	0	2	1	1	0	1	3.0	5	0	0	1	0	0	0	1	Maria will go to the park with nothing in her hands.	0
10	2	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The big, fluffy cat purred contentedly on my lap	0
8	0	2	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The cat curled up on the windowsill.	0
6	1	1	1	0	0	0	0	0	0	2	0	0	1	2.0	4	0	0	1	0	0	0	1	John ran swiftly down Main Street	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The sun sets in the west.	0
12	0	2	1	0	0	1	3	0	0	1	1	0	2	3.0	7	1	1	1	1	0	1	1	Jane quickly walked into the store in order to buy candy. 	0
13	1	3	1	0	0	1	3	0	1	0	2	0	1	3.0	4	0	0	1	0	0	0	1	Without hesitation, she boldly strode across the vast expanse of sand.	0
11	0	1	2	1	0	1	1	0	2	0	1	1	1	4.0	3	0	0	2	0	0	0	2	He ran as fast as he could down the hallway.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The monkey sat alone on the branch.	0
11	1	1	0	0	0	2	5	0	0	0	1	0	1	2.0	7	0	0	1	1	0	1	1	Jazz music fills the air with a rhythmic humming sound.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The cat purred contentedly on my lap.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The cat purred contentedly on my lap.	0
7	0	1	1	0	0	2	2	0	0	0	0	0	1	2.0	4	0	0	1	0	0	0	1	The sun rose slowly over the horizon	0
8	1	0	0	1	0	1	1	0	1	0	1	1	1	3.0	2	1	1	1	0	0	0	1	I am tired of working every day. 	0
10	2	2	0	0	0	2	3	0	0	0	0	0	1	2.0	7	0	0	1	0	0	0	1	The flamingo glided down the water with graceful smooth strokes	0
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	1	1	The cat chased the mouse.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The cat purred contentedly on my lap.	0
