n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	subj_pre_constraint
20	1	3	0	0	0	1	5	2	1	0	1	2	3	4.0	7	2	2	2	1	0	1	2	A recent survey reported that 75% of smartphone users check their phones within 15 minutes of waking up.	0
10	0	0	0	0	1	1	4	0	0	0	3	0	1	3.0	5	0	0	1	1	0	1	1	The recipe includes eggs, milk, and sugar.	0
19	3	2	0	0	1	3	7	0	0	0	2	0	1	4.0	9	0	0	1	1	0	1	1	A new study examines the benefits of a high-fiber diet for weight loss and digestive health.	0
14	1	2	1	0	2	1	5	0	0	0	1	0	1	4.0	5	0	0	1	0	0	0	1	The time between sunrise and sunset varied significantly across different regions and months.	0
14	1	3	0	1	0	1	3	0	2	0	1	0	1	3.0	5	0	0	1	0	0	0	1	Your message was not delivered due to an unknown issue with our server.	0
16	0	4	0	0	1	1	3	2	0	2	1	0	2	3.0	5	0	0	1	0	0	0	1	The train from Paris to Berlin departs at 9:00 AM and arrives at 1:30 PM.	0
7	0	0	3	0	0	1	1	0	0	0	1	0	1	2.0	2	0	0	1	0	0	0	1	The temperature outside dropped significantly overnight.	0
12	0	1	0	0	0	3	4	1	0	0	2	0	1	3.0	4	0	0	1	1	0	1	1	The clock on the mantel displays the time: 10:15 AM.	0
16	1	2	1	0	0	3	4	0	1	0	2	0	2	3.0	8	1	1	2	0	0	0	2	A blue heron stands still in the marsh, its reflection rippling in the water.	0
17	1	2	0	0	0	2	6	1	0	0	1	0	1	3.0	6	0	0	1	1	0	1	1	The company's profit growth for the first quarter exceeded analysts' projections by 15%.	0
16	4	1	0	0	1	1	5	1	0	0	2	0	1	4.0	7	0	0	1	1	0	1	1	Two prominent industries experienced significant growth during the early 21st century: finance and technology.	0
12	3	1	0	0	0	0	4	1	0	0	2	0	0	3.0	6	0	0	0	0	0	0	0	$150 - Minimum weekly income requirement for certain government programs.	0
12	0	3	0	0	0	1	2	2	0	1	1	0	1	3.0	4	0	0	1	0	0	0	1	The stock value of IBM peaked in 1998 at $148.	0
16	0	2	2	1	0	1	3	2	0	1	3	0	1	5.0	8	0	0	1	0	0	0	1	An asteroid, approximately 2 kilometers wide, is hurtling towards Earth at 50,000 km/h.	0
12	1	2	0	0	0	2	4	0	0	1	1	0	1	3.0	5	0	0	0	0	0	0	0	A rare diamond fetched record price at an auction in Geneva.	0
16	1	3	0	1	0	3	4	0	1	0	2	0	1	3.0	5	0	0	1	1	0	1	1	In a quiet room, I could hear the sound of rain on the roof.	0
20	1	5	0	0	0	3	6	0	1	2	1	0	1	6.0	18	0	0	0	1	0	1	0	Made reservation for a room with balcony view of the lake at the Ritz Carlton for my upcoming anniversary.	0
14	1	2	0	1	0	2	2	2	0	1	2	0	0	3.0	10	0	0	1	0	0	0	1	In 1997, the average household income in the US was $45,358.	0
14	1	1	0	0	1	1	6	0	0	0	2	0	2	4.0	5	0	0	1	0	0	0	1	The stock trading floor came alive with excitement and deal-making activity.	0
9	1	0	0	1	0	2	1	1	0	0	2	0	1	2.0	4	1	0	1	0	1	0	1	The following are the possible solutions:   1.	0
7	0	1	0	0	0	1	2	1	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	Two cars collide at the intersection.	0
11	1	1	0	0	0	1	3	1	0	1	1	0	2	4.0	4	1	0	1	1	1	1	1	Two sisters born in December share the same star sign.	0
13	1	1	0	1	0	1	4	0	1	0	1	0	2	5.0	2	1	1	1	1	0	1	1	The meeting room was filled with employees eager to present their ideas.	0
8	0	1	0	0	0	1	2	1	0	1	1	0	1	2.0	2	0	0	1	0	0	0	1	The weightlifting championships began on June 15.	0
22	2	0	0	0	1	1	3	1	0	7	6	0	1	4.0	11	0	0	1	1	0	1	1	Five major cities witnessed riots this summer: New York, Los Angeles, Chicago, Philadelphia, and Washington D.	0
11	0	1	0	1	0	3	4	0	0	0	1	0	1	3.0	5	1	0	1	0	1	0	1	The following are the details of the employee benefits package.	0
