n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PROPN_constraint
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	A blue bird sings in the forest.	0
12	0	0	1	2	1	3	0	3	0	2	0	0	0	0	1	0	0	3.0	0	5	The sun rises in the east and sets in the west.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat slept beside the fireplace.	0
14	0	0	2	2	1	4	0	2	0	2	0	0	1	1	1	1	0	5.0	1	4	The sun sets, painting the sky with hues of orange and pink.	0
8	0	0	1	1	0	2	0	1	0	1	1	0	1	0	1	0	0	2.0	0	3	Two red apples rest on the table.	0
9	0	0	1	1	0	3	1	2	0	1	0	0	0	0	1	1	0	2.0	0	5	All flowers open their petals towards the sun.	0
14	0	0	2	2	0	4	0	3	0	2	0	0	1	1	1	1	0	3.0	1	5	The sun sets behind the horizon, casting long shadows over the landscape.	0
11	0	0	1	2	0	3	0	2	0	2	0	0	1	0	1	0	0	3.0	0	4	A soft breeze rustles through the swaying branches of trees.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The sun sets over a tranquil river.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	A small dog sleeps peacefully under a tree.	0
15	0	0	2	2	0	4	0	3	0	2	0	0	2	1	1	1	0	3.0	1	6	The sun sets in the western sky, casting long shadows on the earth.	0
7	1	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	4	Trees sway gently in the wind.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The sun sets slowly behind the distant hills.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	0	0	2.0	0	5	The sun rises each day in the east.	0
13	1	0	2	1	0	3	0	2	0	3	0	0	0	2	1	1	0	4.0	2	3	The rain fell gently, causing puddles to form on the ground.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets gently behind the hills.	0
10	0	0	1	2	0	3	0	2	0	1	0	0	1	0	1	0	0	2.0	0	6	The moon rises over the tranquil bay at sunset.	0
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	5	A red ball bounces on the soft grassy ground.	0
17	0	0	3	1	1	5	0	3	0	3	0	0	1	2	1	2	0	4.0	2	10	The sun sets over the horizon, merging colors and light, creating a breathtaking scene.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets over the horizon.	0
7	0	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	4	Rain falls from the grey clouds.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets over the horizon.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The sun sets behind the distant mountains.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun slowly sets over the horizon.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	This apple is sweet and crisp.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The sun sets behind the distant hills.	0
18	1	0	2	3	1	5	0	3	0	2	0	0	1	1	1	1	0	5.0	1	6	The sun sets gradually into the horizon, painting the sky in hues of orange and pink.	0
19	0	0	2	3	1	5	0	4	0	3	0	0	1	1	1	1	0	4.0	1	5	The sun rises in the east and sets in the west, casting long shadows on the earth.	0
13	0	0	1	1	0	5	0	3	0	2	0	0	1	0	1	1	1	4.0	1	6	The sunlight filtering through the autumn leaves painted the forest floor golden.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The cat sat in the warm sun.	0
13	1	1	1	1	0	3	0	3	0	2	0	0	1	1	2	0	0	3.0	1	5	A day passed quietly as the sun rose higher in the sky.	0
14	0	0	2	2	0	4	0	3	0	2	0	0	1	1	1	1	0	3.0	1	5	The sun sets over the horizon, casting long shadows on the earth.	0
10	0	0	1	1	0	3	0	2	0	1	0	0	2	0	1	1	0	2.0	0	6	The moon casts an enchanting glow on tranquil waters.	0
8	0	0	1	1	0	2	0	2	0	0	0	1	1	0	1	0	0	2.0	0	3	Every apple is red in the center.	0
17	0	0	3	2	1	6	0	2	0	1	0	0	2	0	1	1	0	4.0	0	5	A beautiful sunset painted the evening sky with hues of orange, pink, and purple.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The sun sets over the distant horizon.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets slowly behind the horizon.	0
13	1	1	1	2	0	4	0	2	0	2	0	0	0	1	2	0	0	3.0	1	6	The sun slowly sets behind the horizon as day turns to night.	0
9	0	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	A tree stands tall in the lush forest.	0
9	0	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	A red bird flies through the green forest.	0
11	0	0	2	1	0	4	0	0	0	1	0	0	3	0	1	1	0	2.0	0	7	Tall trees cast dancing shadows upon soft, green grass.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises over the horizon.	0
16	0	0	2	2	0	4	0	3	0	2	0	0	3	1	1	1	0	3.0	1	6	The sun sets over the tranquil water, casting long shadows on the sandy bank.	0
7	0	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	3	The sun sets behind tall mountains.	0
9	0	0	1	1	0	3	1	1	0	1	0	0	1	0	1	1	0	2.0	0	6	Flowers fill the room with their fragrant sweetness.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The sun slowly sets behind the distant hills.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The ball rolled across the grassy field.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	0	0	2.0	0	5	The sun sets behind the trees every day.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The moon rises in the sky.	0
14	0	1	1	2	0	4	0	3	0	2	0	0	1	1	2	0	0	3.0	1	7	Blue shadows crept over the landscape as the sun dipped below the horizon.	0
18	0	0	2	3	0	3	0	2	4	2	0	0	2	1	1	1	0	3.0	1	7	The sun rises over Mount Everest at dawn, casting long shadows across the Great Barrier Reef.	3
14	0	0	1	3	1	1	0	0	5	1	1	0	1	0	1	1	0	3.0	0	7	John from New York visited Paris with Emily and Sam during summer 2021.	3
19	0	0	3	2	1	2	0	2	6	0	0	1	2	0	1	0	0	4.0	0	12	The Eiffel Tower, Sagrada Familia, and Great Wall of China are magnificent structures of the world.	3
13	0	0	3	0	1	0	0	1	5	1	0	0	2	0	1	1	0	3.0	0	6	Mary, John, and Peter attended the United Nations General Assembly.	3
13	0	0	1	3	0	1	0	2	4	1	0	0	1	0	1	0	0	3.0	0	7	The Sun rises over Mount Everest during a golden sunrise in Paris.	3
17	1	0	1	3	0	4	0	0	6	1	1	0	0	0	1	1	0	5.0	0	5	George Washington Carver discovered edible uses for over 300 peanut varieties at Tuskegee Institute in Alabama.	3
17	0	0	3	1	1	1	0	1	7	0	0	1	2	0	1	0	0	3.0	0	10	The White House, Capitol Building, and Lincoln Memorial are significant landmarks in Washington D.	3
13	0	0	3	1	1	0	0	1	5	1	0	0	1	0	1	1	0	3.0	0	6	Johnson, Smith, and Jones explored the ancient Pyramids of Egypt.	3
16	1	0	2	1	1	1	0	2	5	3	0	0	0	0	1	3	0	4.0	0	9	John visited Paris and climbed the Eiffel Tower, then explored the gardens of Versailles.	3
20	0	0	3	2	1	1	0	1	8	0	0	1	3	0	1	0	0	4.0	0	16	The Great Wall of China, Paris Eiffel Tower, and New York Statue of Liberty are famous landmarks.	3
19	1	0	2	0	2	2	2	1	4	2	0	1	1	1	2	2	0	3.0	1	10	John visited Paris and Rome earlier this year, but he found Tokyo to be his favorite city.	3
12	0	0	3	1	1	1	0	0	4	1	0	0	1	0	1	0	0	3.0	0	6	Catherine, Mark, and Michael went to Paris last summer.	3
16	0	0	3	2	1	1	1	1	5	1	0	0	1	0	1	1	0	3.0	0	8	John, Mary, and Peter attended the University of Michigan for their undergraduate degrees.	3
13	0	0	1	3	0	2	0	2	3	1	0	0	1	0	1	0	0	3.0	0	7	The sun rises over Mount Everest during a beautiful morning in Paris.	3
14	0	0	1	2	1	1	0	1	6	1	0	0	1	0	1	1	0	3.0	0	4	The cat from New York visited Paris with Mona Lisa and Elon Musk.	3
14	0	0	1	1	1	1	0	0	5	1	0	0	3	0	1	1	0	4.0	0	9	John visited New York City's Central Park and Metropolitan Museum of Art.	3
17	0	0	3	1	1	2	0	3	5	0	0	1	1	0	1	0	0	3.0	0	10	The Eiffel Tower, the Colosseum, and Machu Picchu are famous attractions around the world.	3
14	0	0	1	3	0	1	1	1	5	1	0	0	1	0	1	1	0	3.0	0	9	John visited the Eiffel Tower in Paris on his last trip to Europe.	3
13	0	0	1	1	1	0	0	1	7	2	0	0	0	0	1	2	0	3.0	0	6	John Smith visited Paris and met Jacques Dupont in the Louvre Museum.	3
18	0	0	3	1	1	2	0	1	4	2	0	0	3	1	1	1	0	3.0	1	8	John, Maria, and the United Nations met in New York to discuss global peacekeeping efforts.	3
12	0	0	1	1	1	1	0	2	4	2	0	0	0	0	1	2	0	3.0	0	6	John visited Paris and attended the Louvre Museum in the afternoon.	3
23	0	0	5	2	2	0	0	3	9	1	0	0	1	0	1	1	0	4.0	0	10	Tom, Jake, and Sarah visited the Eiffel Tower, the Statue of Liberty, and the Great Wall of China.	3
16	0	0	3	2	1	3	0	1	4	1	0	0	1	0	1	0	0	3.0	0	8	Catherine, Michel, and Paris went on a road trip through France last summer.	3
13	0	0	3	1	1	0	0	1	6	1	0	0	0	0	1	1	0	3.0	0	6	John, Marilyn, and Michael visited the Louvre Museum in Paris.	3
12	0	0	1	3	1	1	0	1	3	1	1	0	0	0	1	0	0	3.0	0	7	John travelled to Paris and Berlin in the summer of 2021.	3
14	0	0	1	2	0	0	0	1	6	1	0	0	3	0	1	0	0	4.0	0	6	Mahatma Gandhi spoke before the United Nations General Assembly in New York City.	3
15	0	0	3	2	1	1	0	1	5	1	0	0	0	0	1	0	0	3.0	0	7	Maria, James, and Elizabeth went to Rome's Colosseum for a tour.	3
23	0	0	3	4	1	2	0	2	8	2	0	0	1	1	1	1	0	4.0	1	6	The Eiffel Tower in Paris lit up at dusk, casting shimmering shadows on the Seine River and Notre-Dame Cathedral.	3
16	0	0	3	1	1	2	0	1	6	0	0	1	1	0	1	0	0	4.0	0	12	The Eiffel Tower, Sagrada Familia, and Pyramids of Giza are famous tourist destinations.	3
13	0	0	3	1	1	0	0	1	6	1	0	0	0	0	1	1	0	3.0	0	6	John, Sarah, and Mark visited the Louvre Museum in Paris.	3
14	0	0	1	1	1	1	0	1	7	2	0	0	0	0	1	2	0	3.0	0	7	James bond visited Paris and met Inspector Jacques Clouseau at the Eiffel Tower.	3
14	0	0	2	2	0	2	0	1	5	1	0	0	1	0	1	0	0	4.0	0	8	New York City students protested at the University of California, Berkeley campus.	3
17	0	0	1	2	2	2	1	1	6	2	0	0	0	0	1	2	0	5.0	0	8	John visited Paris and climbed the Eiffel Tower before lunch with his friends Marie and Pierre.	3
13	0	0	1	1	1	0	0	2	7	1	0	0	0	0	1	1	0	3.0	0	3	The Eiffel Tower in Paris overlooks the Seine River and Sacré-Cœur Basilica.	3
13	0	0	1	2	0	2	0	3	4	1	0	0	0	0	1	1	0	3.0	0	5	The elephant from the London Zoo visited the Smith family in Colorado.	3
12	0	0	3	1	1	0	0	0	5	1	0	0	1	0	1	0	0	3.0	0	6	Mike, Emma, and Jake hiked through Yellowstone National Park.	3
14	0	0	3	2	1	0	0	1	5	1	0	0	1	0	1	0	0	3.0	0	6	Diane, Jake, and Alex went to the British Museum in London.	3
20	1	0	2	4	1	1	0	2	6	1	0	0	2	0	1	0	0	4.0	0	8	Lions roamed freely in the pristine Savannah, beside the Mara River and in front of Serengeti National Park.	3
16	0	0	1	2	1	3	0	3	2	1	0	0	3	0	1	1	0	5.0	0	6	The United States embassy in Paris held a reception for the Swedish and German ambassadors.	3
14	0	0	3	2	1	0	0	1	6	1	0	0	0	0	1	0	0	3.0	0	6	Michael, Kate, and Sarah met at the Louvre Museum in Paris.	3
14	0	0	3	1	1	0	0	0	6	2	0	0	1	1	1	0	0	4.0	1	6	John, Michael, and Emily went hiking in Mount Tamalpais National Park.	3
21	0	0	5	2	2	4	0	1	5	0	0	1	1	0	1	0	0	3.0	0	11	The Statue of Liberty, Mount Everest, and Mars are iconic symbols of freedom, height, and mystery.	3
17	0	0	3	1	1	2	0	2	5	1	0	1	1	0	1	0	0	3.0	0	9	The White House, Capitol Hill, and Times Square were crowded with tourists this summer.	3
1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	.	3
15	1	0	3	0	1	1	0	1	6	1	0	0	1	0	1	1	0	3.0	0	10	Mahatma Gandhi, Albert Einstein, and Marilyn Monroe once had an intellectual conversation.	3
17	0	0	3	1	1	0	0	1	9	1	1	0	0	0	1	1	0	3.0	0	10	Mark Twain, Abraham Lincoln, and Mary Todd Lincoln visited the Gettysburg Battlefield in 1863.	3
13	0	0	1	2	1	1	0	1	6	1	0	0	0	0	1	1	0	4.0	0	3	George Washington carried on a correspondence with Thomas Jefferson and Benjamin Franklin.	3
18	0	0	3	2	1	2	0	2	5	0	0	1	2	0	1	0	0	4.0	0	11	The Eiffel Tower, Big Ben, and Statue of Liberty are famous landmarks around the world.	3
15	0	0	2	1	1	1	0	0	4	1	0	0	3	0	1	1	0	4.0	0	9	Marta served delicious tapas at Carlos's and Juanita's joint, Andalusian Nights.	3
7	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2.0	0	3	Mahatma Gandhi, Martin Luther King Jr.	3
17	0	0	4	0	0	0	0	0	12	0	1	0	0	0	0	0	0	2.0	0	13	George Washington, Abraham Lincoln, Mahatma Gandhi, Queen Elizabeth II, Martin Luther King Jr.	6
26	0	0	6	1	1	0	0	1	15	1	1	0	0	0	1	1	0	3.0	0	19	Queen Elizabeth II, Prince William, Princess Kate, Prince George, Princess Charlotte, and Prince Louis visited the Louvre Museum in Paris.	6
23	0	0	6	1	2	1	1	0	8	3	0	0	1	1	1	1	0	3.0	1	12	John, Mary, Michael, Sarah, Peter, and Mark went hiking on Mount Fuji and explored its beautiful scenery.	6
24	0	0	6	0	0	1	0	1	12	1	1	0	2	0	1	1	0	3.0	0	17	Margaret Thatcher, Donald Trump, Victoria Beckham, Elon Musk, Queen Elizabeth II, Maradona visited the White House last year.	6
16	0	0	7	0	2	0	0	0	7	0	0	0	0	0	0	0	0	2.0	0	14	 John, Marla, Sophia, Abdul, Rebecca, and Carlos, and Paris.	6
34	0	0	3	9	1	2	1	3	14	1	0	0	0	0	1	2	0	4.0	0	26	John from Paris gifted Emily in London a book about Picasso, Munch, and van Gogh from the Louvre Museum in Paris to Tom in Rome for his birthday at the Colosseum.	6
25	0	0	6	1	1	2	0	2	8	2	0	0	2	1	1	1	0	3.0	1	14	John, Emily, Michael, Sarah, Rebecca, and the United Nations met at the Louvre Museum to discuss global climate change.	6
28	0	0	11	1	1	1	0	0	12	1	0	0	1	0	1	0	0	3.0	0	15	John, Maria, Mark, Liam, Emma, Olivia traveled to France, Italy, Switzerland, Belgium, Austria, and Netherlands last summer.	6
21	0	0	6	1	1	1	0	1	9	1	0	0	1	0	1	1	0	3.0	0	12	John, Maria, Peter, Susan, Mark, and Samantha visited The Louvre Museum in Paris last summer.	6
21	0	0	7	1	1	1	0	1	8	1	0	0	1	0	1	1	0	3.0	0	12	John, Michael, Lisa, Mark, Sarah, and Rebecca explored the ancient ruins of Pompeii, Egypt.	6
21	0	0	4	4	1	0	0	1	10	1	0	0	0	0	1	1	0	4.0	0	9	Ahmad in Paris met Jin, Kim, Liam from Canada, and Olga from Russia at the Louvre Museum.	6
34	0	1	4	6	2	2	1	1	11	4	0	1	1	2	3	2	1	4.0	3	15	John from New York, who is studying law at Harvard University with Emma, went shopping at Target with Peter and Susan from Chicago, while Michael and Elizabeth explored the museum.	6
36	0	1	3	6	1	2	1	3	13	3	0	0	2	2	1	3	0	6.0	2	13	John from Los Angeles drove his Mercedes through the streets of New York City to visit the Statue of Liberty, Ellis Island, and Central Park before having dinner at Tavern on the Green.	6
25	0	0	6	2	1	2	0	1	10	1	0	0	2	0	1	1	0	4.0	0	12	John, Mark, Sarah, Elizabeth, Michael, and George enjoyed dinner at the Royal Orchid Garden restaurant in New York City.	6
11	0	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2.0	0	8	Emily, Mark Twain, Abraham Lincoln, John F.	6
