n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_prop_constraint
9	0	1	0	0	0	2	3	1	0	0	1	0	1	2.0	5	0	0	1	0	0	The sun sets around 5:30 PM these days.	0
6	0	0	0	1	0	0	2	0	1	0	1	0	1	1.0	2	0	0	1	1	0	I'll make dinner tonight.	0
9	1	1	0	0	0	1	3	0	1	0	1	0	1	2.0	6	0	0	1	1	0	I bake a delicious chocolate cake from scratch.	0
7	0	0	1	0	0	1	1	0	0	0	1	1	2	2.0	4	1	1	0	1	0	Water the flowers before leaving home.	0
10	1	1	0	1	0	1	1	0	1	0	1	1	2	2.0	7	1	1	1	1	0	Put on a sweater if you're feeling cold.	0
10	0	1	1	0	0	1	2	0	1	0	1	1	2	2.0	4	1	1	1	2	0	I always carry a notebook for jotting down reminders.	0
8	0	0	0	1	0	2	2	0	1	0	1	0	1	2.0	4	0	0	1	1	0	You can visit the beach this weekend.	0
11	0	1	0	1	0	2	4	0	1	0	1	0	1	2.0	7	0	0	1	1	0	You should bake a cake for the office party tomorrow.	0
10	0	2	0	0	0	1	4	0	1	0	1	0	1	2.0	8	0	0	0	1	0	Put on your running shoes for a morning jog.	0
7	0	0	1	1	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	1	0	I will take a shower now.	0
8	0	1	0	1	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	I'm going to the grocery store.	0
11	0	2	0	0	0	3	3	0	0	0	1	0	2	3.0	8	1	1	0	0	0	Go running in the park for an hour every day.	0
10	0	1	0	1	0	1	3	0	1	0	2	0	1	3.0	6	0	0	1	1	0	I'll write a to-do list today.	0
11	1	2	2	0	0	1	2	0	0	0	1	0	2	3.0	5	1	1	0	1	0	Put on sunglasses when going outside in the bright sun.	0
12	1	1	0	0	0	1	4	0	1	0	1	0	2	4.0	7	1	1	1	1	0	I need to order more paper from the office supply store.	0
8	0	1	0	0	0	1	4	0	0	0	1	0	1	3.0	6	0	0	0	1	0	Make a peanut butter sandwich for lunch.	0
5	1	0	0	0	0	1	1	0	0	0	1	0	1	2.0	3	0	0	0	1	0	Have a nice day!.	0
12	0	2	0	0	0	3	5	0	0	0	1	0	1	2.0	10	0	0	0	1	0	Bake a cake from scratch for the birthday party this weekend.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat slept under the blankets.	0
11	0	2	0	0	0	3	3	0	1	0	1	0	1	4.0	3	0	0	0	2	0	Make yourself a reservation for a table near the window.	0
11	1	2	0	0	0	1	4	0	1	0	1	0	1	3.0	9	0	0	0	1	0	Make fresh coffee for your guest at the party tonight.	0
10	1	1	0	0	0	2	3	0	0	0	1	0	2	3.0	5	1	1	0	2	0	Bake a cake from scratch using a classic recipe.	0
12	1	2	1	1	0	1	1	0	1	0	2	0	2	4.0	7	0	0	1	1	0	Put on a sweater, it's getting cold in here.	0
9	1	1	0	0	0	1	3	0	1	0	1	0	1	2.0	6	0	0	1	1	0	I need more paint for the wall mural.	0
14	0	1	0	0	2	2	4	0	1	0	1	1	2	3.0	12	1	1	1	1	0	Put the sugar and water on the stove and heat until it simmers.	0
15	1	3	1	0	1	2	3	0	1	0	1	0	2	4.0	7	0	0	0	0	0	Sit quietly in a comfortable chair and meditate on the stillness of your heart.	0
5	0	1	0	0	0	0	2	0	0	0	1	0	1	2.0	3	0	0	0	1	0	Make pancakes for breakfast.	0
12	1	2	1	0	0	2	3	1	0	0	1	0	1	3.0	7	0	0	1	0	0	The baby usually sleeps through the night by three months old.	0
7	1	0	0	0	1	0	1	0	1	0	1	0	2	2.0	5	0	0	0	1	0	Play your favourite music and unwind.	0
13	0	3	0	0	1	2	4	0	0	0	1	0	2	4.0	5	0	0	0	1	0	Go to the library and pick out a book on quantum physics.	0
7	0	1	0	1	0	0	1	0	2	0	1	0	1	2.0	3	0	0	1	1	0	I'll order pizza for everyone.	0
10	1	2	0	0	0	2	3	0	0	0	1	0	1	2.0	8	0	0	0	1	0	Put on a red dress for the anniversary dinner.	0
10	1	1	0	1	0	2	1	0	0	3	1	0	0	2.0	4	0	0	1	0	0	The Eiffel Tower is a famous landmark in Paris.	0
10	1	1	0	0	1	2	2	0	0	0	1	0	2	3.0	5	0	0	0	1	0	Go to the garden and enjoy the beautiful flowers.	0
9	0	1	0	0	0	1	3	0	1	0	1	0	1	3.0	7	0	0	0	1	0	Bake a cake for your friend's birthday.	0
10	1	1	0	1	0	0	3	0	2	0	1	0	1	2.0	6	0	0	1	1	0	You can play board games in your free time.	0
11	0	1	0	1	0	1	1	0	4	0	1	0	2	4.0	3	1	1	2	1	0	I will read the book that I borrowed from her.	0
5	1	0	0	0	0	1	1	0	0	0	1	0	1	2.0	3	0	0	0	1	0	Have a great day!.	0
8	0	1	0	1	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat is sleeping on the mat.	0
