n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PRON_constraint
11	0	0	1	2	0	3	0	2	0	2	0	1	0	0	1	0	0	2.0	0	6	The goods are shipped via freight to the designated warehouse.	0
14	0	1	2	0	1	2	1	2	0	2	0	2	1	0	2	1	1	3.0	1	5	As you can see, the text is complete and fulfills the task.	0
23	0	0	4	3	2	7	0	3	0	1	0	2	1	0	2	0	0	4.0	0	9	The package was delivered to the warehouse, and the buyer is responsible for storage, loading, and freight after delivery.	0
12	0	0	1	1	1	5	0	3	0	1	0	0	0	0	1	1	0	3.0	0	5	The freight charge covers the delivery and unloading of the goods.	0
25	1	0	2	2	0	5	1	5	0	4	0	2	1	3	2	2	0	5.0	3	14	The provided text does not contain any information about the sentence requested in the instruction, therefore I am unable to complete the task.	0
9	0	0	1	1	1	2	0	1	0	1	0	1	1	0	1	0	0	3.0	0	2	The item is packed and ready for shipment.	0
8	0	0	1	0	1	1	0	1	0	1	0	0	3	0	1	0	0	3.0	0	2	The golden rays feel soft and soothing.	0
15	0	0	1	2	0	5	0	3	0	1	0	1	0	0	1	0	0	3.0	0	10	The merchandise is shipped from the seller's warehouse to the buyer's warehouse.	0
10	1	0	1	1	0	2	0	2	0	1	0	2	0	0	1	0	0	2.0	0	4	The merchandise has been successfully delivered to the warehouse.	0
9	1	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The package was successfully delivered to the warehouse.	0
14	0	0	1	2	1	3	0	3	0	3	0	1	0	1	1	0	0	3.0	1	6	The cargo is loaded and shipped according to the terms of the contract.	0
26	1	1	1	3	0	5	3	4	0	3	0	3	1	3	3	1	0	6.0	3	5	The contents of the shipment are delivered to the warehouse where they are stored until the buyer is ready to load them onto their truck.	0
14	0	0	1	1	0	5	0	3	0	2	0	1	0	1	1	1	0	4.0	1	5	The package was shipped to the warehouse using the freight forwarder's services.	0
21	2	1	2	1	1	6	0	3	0	3	0	2	0	2	2	0	0	6.0	2	7	The cargo shipment has been completed successfully, with all goods safely delivered and the warehouse space reserved for storage.	0
10	0	1	1	1	0	3	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The shipment details are as stated in the contract.	0
16	2	0	3	1	1	4	0	2	0	2	0	1	0	0	2	0	0	4.0	0	10	The package was delivered to the warehouse, therefore, storage and loading commenced immediately.	0
12	1	0	1	2	0	3	0	2	0	1	0	1	1	0	1	0	0	3.0	0	6	The contents of the box are neatly organized into individual compartments.	0
9	1	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The product was successfully delivered to the warehouse.	0
9	0	0	1	1	0	2	0	2	0	1	0	2	0	0	1	0	0	2.0	0	3	The freight is being delivered to the warehouse.	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The merchandise is loaded onto the truck.	0
7	0	0	1	1	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The package is ready for shipment.	0
15	1	0	3	2	0	4	0	3	0	2	0	0	0	0	1	1	1	3.0	1	7	A bouquet of roses, arranged expertly, enhances the fragrance of the room.	0
13	0	0	1	2	1	3	0	3	0	2	0	1	0	0	1	0	0	3.0	0	5	The cargo is loaded onto the truck and transported to the warehouse.	0
2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0	0	F.O.B.	0
26	0	0	4	3	3	6	1	3	0	3	0	1	2	0	1	0	0	5.0	0	9	The cargo was unloaded, stored, and loaded onto the warehouse dock, with both the seller and buyer responsible for their respective responsibilities.	0
16	0	0	1	3	3	6	0	1	0	2	0	0	0	0	1	1	0	4.0	0	9	The freight charge covers both unloading and storage up to and including delivery in warehouse.	0
30	3	0	3	3	2	10	0	5	0	2	0	1	1	1	1	1	0	6.0	1	10	The cargo shipment details are clearly described in the aforementioned text, outlining the responsibilities of both the seller and buyer, as well as the freight handling procedures.	0
14	0	0	1	2	0	4	0	3	0	1	0	2	1	0	1	0	0	2.0	0	8	The goods are being shipped from the east coast to the west coast.	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The package was delivered to the warehouse.	0
7	0	0	1	1	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The package is ready for shipment.	0
9	1	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	4	The merchandise is shipped directly to the warehouse.	0
12	1	0	1	2	0	3	0	3	0	1	0	1	0	0	1	0	0	2.0	0	7	The goods are shipped directly from the manufacturer to the warehouse.	0
39	1	0	6	5	4	13	0	7	0	1	0	2	0	0	2	0	0	4.0	0	23	The freight, unloading, and storage are the responsibilities of the seller up to and including delivery in the warehouse, and the storage, loading, and freight are the responsibilities of the buyer after delivery.	0
13	0	0	1	2	1	3	0	3	0	2	0	1	0	0	1	0	0	3.0	0	5	The merchandise is loaded onto the truck and transported to the warehouse.	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The package was delivered to the warehouse.	0
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	 The package is on the table.	0
13	0	0	1	2	1	3	0	3	0	2	0	1	0	0	1	0	0	3.0	0	5	The cargo was loaded onto the truck and shipped to the warehouse.	0
6	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The weather was delightful yesterday.	0
9	1	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	4	The items were shipped directly to the warehouse.	0
13	0	0	2	1	1	2	2	1	0	2	0	1	0	0	2	0	0	3.0	0	7	The package arrived yesterday, but it was not intended for me.	0
22	1	0	2	3	1	6	2	4	0	3	0	0	0	1	2	2	0	4.0	1	7	The truck driver handed off the cargo to the warehouse staff, who then unloaded and stored it in the warehouse.	0
17	0	0	1	3	0	5	1	4	0	1	0	2	0	1	2	0	0	4.0	1	6	The items in the list are the names of persons who are listed on the website.	0
45	0	1	5	8	3	13	1	3	1	4	0	3	3	4	4	1	0	6.0	4	19	The cargo is shipped FOB which stands for Free on Board, meaning the seller is responsible for freight, unloading and storage up to and including delivery in warehouse, while the buyer is responsible for storage, loading and freight after delivery.	0
7	0	0	1	0	0	2	0	2	0	1	0	0	1	0	1	1	0	2.0	0	2	The orange blossoms perfume the air.	0
9	1	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	4	The merchandise is shipped directly to the warehouse.	0
15	0	0	2	3	1	3	0	2	0	3	0	1	0	0	1	0	0	4.0	0	6	The goods are loaded and transported in accordance with the agreed-upon terms.	0
9	1	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The package was successfully delivered to the warehouse.	0
40	0	0	5	6	4	12	1	3	1	3	0	3	2	2	4	1	0	7.0	2	27	The goods were shipped F.O.B., which means the seller is responsible for freight, unloading and storage up to and including delivery in warehouse, and the buyer is responsible for storage, loading and freight after delivery.	0
13	0	0	1	2	1	3	0	2	0	2	0	1	1	0	1	0	1	4.0	1	6	The items listed in the warehouse are boxed and ready for shipment.	0
12	0	0	1	2	0	4	0	3	0	1	0	1	0	0	1	0	0	3.0	0	3	The freight charges are included in the price of the item.	0
32	5	2	5	1	1	3	4	3	0	1	0	3	4	1	2	0	1	6.0	2	6	If I were you, I would be a rat, because there is no companion quite so devoted, so communicative, so loving and so mesmerizing as a rat.	1
10	1	0	1	0	1	2	0	2	0	0	0	1	2	0	1	0	0	3.0	0	7	The cat is a very loving and devoted companion.	1
20	2	0	3	1	1	3	0	3	0	0	0	1	6	0	1	0	0	3.0	0	8	A young rat is the most devoted companion, so communicative, loving and mesmerizing as any other animal.	1
10	1	0	1	0	1	2	0	2	0	0	0	1	2	0	1	0	0	3.0	0	7	The cat is a very loving and devoted companion.	1
11	0	0	1	2	0	4	0	1	1	1	0	1	0	0	1	0	0	2.0	0	5	The train platform was crowded with passengers on Sunday evening.	1
20	1	1	2	1	1	4	1	3	0	0	0	2	4	1	2	0	0	4.0	1	12	The rat is a very popular companion for many people, as it is a loving and mesmerizing animal.	1
17	2	0	3	1	1	3	2	1	0	1	0	1	2	0	2	1	1	4.0	1	10	The cat, who is very loving and playful, always seeks attention from its owner.	1
22	3	0	2	3	0	5	1	4	0	1	0	2	1	0	2	0	0	3.0	0	11	The rat is a very popular companion for people of all ages, so it is often kept as a pet.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumped onto the table.	1
14	1	0	2	2	0	3	0	3	0	3	0	0	0	1	1	0	0	4.0	1	5	 The cat jumped onto the table, landing on the freshly baked bread.	1
11	1	0	1	0	0	2	1	2	0	1	0	2	1	1	2	0	0	2.0	1	4	The cat is the best companion anyone could ever have.	1
