n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_depth_constraint
15	0	2	0	0	0	1	3	0	1	3	0	1	3	4.0	5	2	2	1	2	0	Mrs. Moreau ordered Nick to take his boots off before coming inside the beachfront mansion	2
3	0	0	0	0	0	0	0	1	0	1	1	0	0	1.0	1	0	0	0	0	0	Fitness 500! Image: Nick Moreau.	2
9	1	1	1	0	0	1	2	0	0	1	0	0	1	3.0	6	0	0	1	0	0	The snowflakes fell gently on Ben's warm face	2
6	0	0	0	0	0	0	1	0	0	3	1	0	0	3.0	3	0	0	0	0	0	Image: Nick Moore/Flickr	2
5	1	0	1	0	0	0	1	0	0	0	0	0	1	2.0	3	0	0	0	1	0	Please insert appropriate response here	2
4	0	0	1	0	0	0	0	0	1	0	1	0	1	1.0	2	0	0	1	0	0	Here you go!  The Biggest Little Zombie in the Whole Wide World, smiled at all the little zombies and said: Oh my stars I love this cape more and more each day!	2
19	0	2	0	0	0	0	5	3	0	6	1	0	1	4.0	9	0	0	1	1	0	Northside Physicians Group offers expert family medicine in South Yarmouth at 265 Route 28, suite B-10	2
23	3	2	0	1	0	5	5	0	2	0	1	0	4	6.0	10	3	3	2	3	0	The sun was setting over the horizon casting a warm orange glow over the scenic landscape, captivating all who witnessed its beauty	2
11	1	1	0	1	0	2	2	0	0	2	1	0	1	3.0	6	1	0	1	1	1	Riding an elephant is a fun challenge at Circus Camp. 	2
6	0	0	1	0	0	0	1	0	0	2	1	0	1	2.0	3	0	0	1	1	0	Nick Moreau successfully scales Image; 	2
3	0	0	0	0	0	0	1	0	0	0	1	0	1	1.0	1	0	0	0	1	0	Nibbling nougat. 	2
7	2	0	0	0	0	2	2	0	0	0	0	0	1	2.0	3	0	0	1	1	0	The big giraffe ate the small trees	2
11	2	2	0	0	0	0	1	0	1	2	1	0	2	4.0	4	1	1	1	0	0	I enjoy hiking at scenic coastal destinations with Nick Moreau. 	2
6	1	0	0	0	0	1	1	0	1	0	1	0	1	2.0	4	0	0	0	2	0	Wishing you a fantastic day!  	2
9	1	1	1	0	0	0	2	1	0	1	0	0	2	4.0	3	1	1	1	1	0	Sally saw two small skunks scampering swiftly through shrubs	2
4	0	0	1	0	0	0	1	0	0	2	0	0	0	2.0	2	0	0	0	0	0	Nick Moreau image beautifully	2
18	0	2	0	0	0	4	5	1	2	0	1	0	3	5.0	12	2	2	2	2	0	Insert a sentence that meets the criteria you described: a syntax tree with a height of 2	2
3	0	0	0	0	0	1	1	0	0	0	1	0	0	1.0	1	0	0	0	0	0	No problem. Below is one sentence with a height of 2:  The dog barked twice quickly before taking off to catch the ball, then leapt high in the air to make an amazing jump. 	2
22	2	2	2	1	0	2	3	1	1	1	3	0	4	5.0	8	3	3	3	0	0	Buck walked down the mountain, two happy squirrels jumping ahead, nibbling on the sweetest berries they had ever found. 	2
13	1	1	0	0	1	1	3	0	2	0	2	0	2	3.0	7	1	1	1	1	0	I ordered the chicken parm and fries, hoping for something delicious. 	2
