n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_depth_constraint
6	0	1	0	0	0	2	2	0	0	0	0	0	1	2.0	3	0	0	1	0	0	The cat sat on the branch	2
11	0	1	0	0	0	2	3	0	1	0	1	0	3	3.0	5	0	0	1	1	0	I have the following sentence with the required tree height:  The tall oak tree swayed its branches in the gentle summer breeze	2
10	4	1	0	0	0	1	2	1	0	0	0	0	1	3.0	5	0	0	1	0	0	The big red tree stands tall at two meters high	2
13	2	2	0	0	0	2	2	1	0	0	2	0	2	4.0	4	1	1	1	0	0	The tall, proud tree rose towering to a height of two. 	2
13	1	2	1	0	0	3	4	0	0	0	1	0	1	3.0	5	0	0	1	0	0	The cat purred contentedly in the branch of the tall oak tree. 	2
13	3	0	0	0	1	0	2	0	1	0	3	1	2	2.0	4	0	0	1	2	0	"   ""Although many people enjoy hot dogs and find them satisfying."" "	2
14	0	2	0	0	0	2	3	1	1	1	1	1	2	3.0	9	1	1	2	1	0	Sally climbed to a height of two trees before she noticed the beehive. 	2
21	2	4	1	0	0	4	6	1	0	0	2	0	1	3.0	7	0	0	1	0	0	The big, green apple tree in the orchard reached high into the sky with a height of two branches.	2
10	2	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The big brown horse pranced proudly in the meadow.	2
9	0	2	0	0	0	1	3	1	0	0	1	0	1	2.0	5	0	0	1	0	0	 The tree grew to two meters in height. 	2
13	2	2	0	0	0	3	3	0	0	1	1	0	1	3.0	4	0	0	1	0	0	Barkley the squirrel climbed to the second branch of the tall oak. 	2
45	7	5	1	1	1	5	10	0	4	0	6	0	5	7.0	12	3	2	4	1	1	Walking through the quiet park on a windy day, I could see the majestic tall trees, their height remarkable and awe-inspiring, their branches stretching up towards the sky like giants arms, their leafy canopy shimmering in the breeze. 	2
10	0	1	1	1	0	1	1	0	1	0	2	0	1	3.0	3	1	1	1	0	0	"Ok, here's the sentence you asked for:   The tall dog ran joyfully beneath    (Note: In a syntactic tree, a tree height of 2 indicates a simple sentence consisting of two constituents, in this case, ""The tall dog"" and ""ran joyfully beneath"".)"	2
6	2	0	0	0	0	0	1	0	0	2	0	0	1	2.0	4	0	0	1	1	0	Wendy watered weedy wizened withy woodworms	2
12	0	2	0	0	0	1	3	1	2	0	1	0	2	3.0	7	0	0	1	1	0	She climbed the towering oak tree until her height of two.	2
13	4	1	0	0	0	2	2	0	0	0	3	0	1	2.0	6	0	0	1	0	0	The big, green tree towered over the small, red cabin.	2
24	1	1	2	0	1	3	4	0	2	0	5	1	4	5.0	9	2	2	3	2	0	"Here you go:  ""The dog barked up the tall oak tree, but it fell asleep before reaching the top.""  I hope this sentence meets your needs."	2
13	2	1	1	0	0	2	3	0	0	0	2	0	1	3.0	6	0	0	1	0	0	The big, towering tree stood proudly among the forest's underbrush. 	2
40	5	5	3	0	1	3	8	1	2	4	3	1	4	7.0	15	3	3	3	1	0	Mary hugged little Timmy in the shade of the tall oak tree, which stood proudly with leaves rustling softly in the gentle summer breeze while Jack and Sarah played nearby under its sprawling 2-meter tall canopy. 	2
19	1	3	0	0	0	3	6	1	0	1	1	0	2	4.0	11	1	1	1	2	0	Jim climbed the oak tree with a height of two branches to pick a sweet basket of apples. 	2
11	3	1	1	0	0	2	2	0	0	0	1	0	1	2.0	5	0	0	1	0	0	The big brown horse trotted merrily up the sun-dappled lane. 	2
14	1	1	1	1	1	2	3	2	0	0	0	0	2	3.0	8	0	0	2	0	0	The delicious cake was devoured in one bite and the two children laughed heartily	2
10	0	0	1	1	0	1	2	0	2	0	2	0	1	3.0	3	1	1	2	0	0	My pleasure, here is the sentence you requested:   The trees grow strong in winter's snow  	2
15	0	2	1	0	0	3	5	0	0	0	1	0	2	5.0	7	1	1	1	0	0	The squirrel gnawed on an acorn perched high in the oak tree's branches.	2
12	2	1	1	0	0	2	3	0	0	0	1	0	2	2.0	6	0	0	1	0	0	The tall oak tree towered high above the rolling green hills. 	2
16	1	2	0	0	0	3	4	1	1	0	2	0	2	3.0	8	1	1	2	0	0	The two trees stood tall in the forest, their heights reaching for the sky.	2
56	4	7	1	2	2	6	11	4	6	1	5	0	6	6.0	29	3	3	5	2	0	"My apologize for my previous response, here is the sentence with a tree height of 2 in the syntactic tree:   ""Mary had two big brown dogs that she takes for a walk every day and they like to chase squirrels in the park but one day one of them got lost."""	2
25	2	3	0	0	1	3	7	0	3	0	4	0	2	5.0	7	1	1	2	1	0	The squirrel, with its nut, scampered up the tall oak tree, its trunk sturdy and its branches reaching for the sky.	2
12	3	1	0	0	0	3	3	0	0	0	1	0	1	2.0	7	0	0	1	1	0	The big cat chased the little bird up the tall tree. 	2
14	2	2	1	0	0	3	4	0	0	0	0	0	1	4.0	7	0	0	1	0	0	The cat purred contentedly in the crook of the old maple's gnarled branch	2
39	5	4	1	0	0	5	9	2	2	0	3	1	6	7.0	9	4	3	3	1	1	Fatigued from the arduous trek, the weary traveler collapsed under the shade of the stout two-trunked giant, whose towering height of twenty feet appeared to sway precariously as the gentle breeze caressed their lush leaves	2
22	2	1	0	0	1	4	6	0	1	0	3	0	3	4.0	9	1	0	2	2	1	The towering oaktree, whose branches stretched towards the sky, blocked the sun's rays and cast a welcome shadow. 	2
18	1	1	2	0	0	3	4	0	2	0	2	0	3	5.0	6	2	2	2	2	0	The cat climbed slowly up the tree, enjoying the soft breeze that gently rustled its leaves. 	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the branch.	2
23	4	2	2	0	1	2	5	0	2	0	3	0	2	4.0	7	1	1	3	0	0	The tall trees swayed gracefully, their trunks thick and strong, their branches stretching up towards the sky like outstretched arms.	2
15	0	2	1	1	0	2	4	1	1	0	2	0	1	3.0	6	0	0	1	0	0	My pleasure, below is the required sentence with a tree height of two:  The cats that have been chasing their mice have taken over the yard. 	2
16	2	3	2	0	0	3	3	0	0	0	1	0	2	3.0	7	0	0	1	0	0	The cat perched high up in the gently swaying branches of the tall slender tree.	2
32	2	4	1	0	1	6	10	2	1	0	2	0	3	6.0	9	2	1	2	1	1	The tall, majestic oak tree standing proudly in the center of the lawn had a trunk girth of 4 feet and a canopy that stretched 20 feet into the sky.	2
16	1	2	1	0	0	3	4	0	1	0	2	0	2	3.0	8	1	1	2	0	0	The cat sat in the tall tree, its leaves rustling gently in the breeze.	2
12	3	2	0	0	0	2	3	0	0	0	1	0	1	2.0	6	0	0	1	0	0	The tall oak tree reached up to the clear blue sky.	2
9	1	1	1	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The tall tree proudly stood in the sky. 	2
14	0	2	2	0	0	3	3	0	1	0	1	0	2	4.0	5	1	1	2	0	0	The cat sat on a branch that bent down low to the ground. 	2
16	2	1	0	0	0	4	4	0	0	0	2	0	3	5.0	6	2	2	1	2	0	   The cat sat on the tall tree, enjoying the fresh breeze swaying the branches.	2
11	2	1	0	0	0	1	3	0	1	0	1	0	1	3.0	8	0	0	1	0	0	She walked beneath the tall oak tree's branchless trunk.	2
22	3	2	1	0	0	4	6	0	1	0	2	0	2	4.0	13	1	1	2	1	0	The cat sat quietly on the branch of the tall tree, its gentle swaying soothing the feline's sleepy eyes.	2
12	0	1	0	0	0	2	2	0	0	0	4	1	2	2.0	4	1	0	1	0	1	"  ""After eating, the children ran around the playground.""  This sentence has two levels of grammatical structure, with the verb ""ran"" being the main clause and the prepositional phrase ""around the playground"" functioning as a dependent clause. I hope this meets your needs! Let me know if you have any further questions or requests."	2
14	1	1	1	0	0	0	4	1	1	0	1	1	3	3.0	10	2	2	2	0	0	Green tree grow up to 8-foot height before its branches starts sagging	2
20	1	3	2	0	0	3	5	1	1	0	2	0	2	5.0	5	1	1	2	0	0	The cat lounged in the shade of the tall oak tree, which stood proudly at two stories high.	2
12	1	2	0	0	1	1	3	0	1	1	0	0	2	3.0	5	0	0	1	0	0	  Sally walked through the woods and climbed into her tall tree house	2
12	1	1	1	0	1	2	2	0	0	1	1	0	2	3.0	6	0	0	1	1	0	Jane climbed up into the branches and found a small nest. 	2
20	2	2	3	0	0	2	5	1	1	0	2	0	2	3.0	10	1	1	2	0	0	The tall redwood tree stood proudly at three stories high, its leafy crown swaying gently in the breeze.	3
27	1	3	2	0	1	4	7	1	0	0	2	0	6	5.0	14	3	3	2	0	0	The cat sat on a branch measuring three meters high in the towering oak tree, watching birds flit and flutter in the sun-dappled branches above. 	3
20	1	3	0	0	0	4	5	1	1	0	2	0	3	6.0	5	2	2	2	1	0	The cat sat on the tree, admiring the three majestic layers of branches that stretched towards the sky.	3
19	1	1	1	0	0	3	5	1	1	0	3	0	2	5.0	12	1	0	2	1	1	The tree's height, which grew three times taller over the seasons, now blocks the path. 	3
10	2	1	0	0	0	2	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	 The fluffy kitten climbed up the large oak tree.	3
8	0	0	1	0	0	1	1	0	1	0	1	0	2	3.0	2	1	1	1	1	0	Please find the sentence you requested below:    The big, brown, hairy tree stands tall at an impressive three meters high, its branches stretching up towards the sky like giant hands imploring the heavens for just one more drop of rain	3
7	0	1	0	0	0	1	2	0	0	0	1	0	2	2.0	3	0	0	1	0	0	The cat chased after perched parrots. 	3
17	2	2	0	0	0	2	5	0	1	0	2	0	2	3.0	7	1	1	1	1	0	The cat sat on the tree's branch, admiring its sturdy growth since last season. 	3
13	0	2	0	0	0	3	4	1	0	0	2	0	1	4.0	6	0	0	1	0	0	The cat sat in the branches of the three-story tree.	3
12	1	2	0	0	0	2	4	1	0	0	1	0	1	3.0	8	0	0	1	0	0	The cat sat on a sturdy branch three meters above ground.	3
19	3	1	1	0	0	3	4	0	1	0	2	0	3	4.0	7	2	2	1	2	0	The cat climbed high up the tall tree, stretching its branches to reach the bright blue sky.	3
12	2	1	0	0	0	2	3	0	0	0	2	0	2	3.0	6	1	1	1	1	0	The cat sat in the tall tree, eating delicious leaves. 	3
21	3	4	1	0	0	3	4	0	1	0	2	0	3	4.0	6	1	1	2	0	0	The playful cottontail peeked out from behind the lush oak, whose stately canopy stretched high above the rolling meadow. 	3
28	4	4	0	0	0	3	5	2	3	0	5	0	2	5.0	11	1	0	2	0	1	"""The tall tree, which stood at three times its own height, reached toward the clear blue sky with each of its three branches.""  "	3
9	2	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	A tall tree stood in the green meadow.	3
13	4	0	0	0	1	1	3	1	0	0	2	0	1	3.0	8	0	0	1	0	0	Tall and proud, the majestic oak tree soared three stories high. 	3
10	1	1	0	1	0	2	3	1	0	0	1	0	0	3.0	6	0	0	1	0	0	The tree height of the syntactic tree is three.	3
22	1	4	2	0	0	3	6	1	1	0	2	0	2	3.0	8	1	1	2	0	0	The tall oak tree stood majestically in the forest, its branches reaching high up in the sky for three levels. 	3
23	1	3	0	1	1	4	7	1	2	0	1	0	2	5.0	12	1	1	2	1	0	The cat climbed up the tree and found a nest of eggs in the branch that was three times its own height.	3
18	1	2	2	0	0	3	5	0	1	0	2	0	2	3.0	8	1	1	2	0	0	The tall oak tree swayed gently in the breeze, its branches stretching high into the sky.	3
23	4	5	0	0	0	3	5	0	2	0	1	0	3	7.0	6	2	2	1	0	0	  Walking through the tall forest filled with tall trees that towered over me in the cool breeze on an old dirt path. 	3
17	0	3	0	0	0	3	4	1	1	0	1	0	3	5.0	9	2	2	1	2	0	 It has a tree height of 3 because of the structure used to form the sentence.	3
10	3	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The big green tree stood tall in the park.	3
14	0	2	1	0	0	3	5	1	0	0	1	0	1	4.0	10	0	0	1	0	0	The cat perched upon a branch 3 meters high in the oak tree. 	3
78	3	14	4	1	1	10	18	3	7	3	4	1	7	9.0	21	5	5	4	3	0	Please find my sentenece below for a sentence with a tree height of 3 in the syntactic tree:    Sarah and Jack walked quickly up the large hill with their barking dog Jetta while eating sandwiches they had made by themselves that morning to enjoy at the summit, which they climbed in three hours with a break for a picnic when they reached a slope with gentle incline of two-thirds of the way up. 	3
21	1	2	2	0	1	3	6	1	0	0	2	0	3	3.0	9	1	1	1	1	0	The tall oak tree rose high and majestically into the forest canopy, reaching a staggering three stories in height. 	3
18	2	2	1	0	0	3	5	0	1	0	2	0	2	5.0	4	1	1	1	0	0	The large oak tree towered over the forest, its massive branches stretching high into the sky.	3
28	2	3	3	0	1	4	8	1	0	0	1	0	3	6.0	9	1	1	2	0	0	The cat sat on a stump and peered up into the tall oak tree's top branches where a squirrel's chattering sounded from thirty feet above.	3
11	4	1	0	0	0	2	2	0	0	0	1	0	1	2.0	5	0	0	1	0	0	The big green tree towered over the small red house.	3
9	2	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The tall tree towered over the small forest.	3
27	1	2	2	1	2	2	5	1	3	0	3	1	4	6.0	9	1	1	2	1	0	The cat sat in the tall oak tree, and it seemed like it would jump and slide down its three-level height anytime soon. 	3
19	3	2	1	0	0	4	4	0	0	0	3	0	2	3.0	9	1	1	1	1	0	The cat perched on a high branch, surveying the forest below with a quiet, regal demeanor.	3
15	1	2	0	0	0	4	4	0	0	0	2	0	2	3.0	8	1	1	1	1	0	The cat sat on the branch of the tree, eating a juicy mouse. 	3
29	3	4	1	0	0	4	7	0	2	0	3	0	4	4.0	12	2	1	1	1	1	The towering oak tree, with its lush canopy reaching high into the sky, provided a sturdy perch for the playful squirrels to frolic in its branches.	3
28	2	2	1	0	0	4	8	1	2	0	3	1	4	6.0	8	3	3	2	2	0	The dog ran quickly up the large oak tree, feeling the cool summer breeze rustle through its leaves as it reached the three-branch height. 	3
24	1	4	2	0	1	4	6	0	1	0	2	0	3	5.0	7	2	2	1	0	0	The tall tree stood proudly in the forest, stretching high into the sky with its branches and leaves reaching for the clouds.	3
20	3	3	0	0	0	2	4	0	2	0	2	1	3	4.0	8	2	1	1	1	1	While walking through the forest, the tall trees loomed above me like enormous sentinels guarding their verdant realm.	3
11	1	2	0	0	0	1	2	0	1	0	2	0	2	3.0	5	1	0	1	0	1	Bending through branches, I reached for a ripe cherry. 	3
17	2	2	1	0	0	2	4	1	1	0	2	0	2	4.0	5	1	1	1	1	0	A tall tree proudly stood in the forest, displaying its three levels of thick branches. 	3
