n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADV_constraint
7	0	0	3	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	"""The food was delicious."""	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
6	0	0	2	0	0	1	1	0	0	0	0	1	0	0	1	0	0	2.0	0	4	Sure, my sentence is: The cake was delicious.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
12	1	0	2	0	1	2	0	2	0	1	0	2	1	0	2	0	0	3.0	0	7	The room was clean and the guests were well-fed.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	 The owners were entertaining and gracious.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
10	0	0	1	0	1	1	0	1	0	1	0	2	2	1	1	0	0	3.0	1	3	The fruit is ripe and ready to be eaten.	0
30	1	1	4	4	1	5	1	3	0	5	1	2	1	2	3	0	0	5.0	2	9	"A single sentence with 0 adverbs is ""She arrived on time, prepared for a meeting but disappointed to find out that the meeting had already started."""	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
19	0	1	3	3	1	3	3	2	0	1	0	2	0	1	2	2	0	3.0	1	9	" ""They'll send us another update once he's out of emergency and into a room."""	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
10	0	0	1	1	0	3	0	3	0	1	0	0	1	0	1	1	0	2.0	0	5	A mysterious odor permeates the air in the hallway.	0
14	0	1	2	0	0	2	2	2	0	3	0	1	1	2	3	1	0	4.0	2	7	I believe we should trust the source, as the information appears credible.	0
26	1	0	4	3	1	7	1	2	0	3	0	1	3	1	2	1	0	7.0	1	6	The provided text contains a list of symptoms that are commonly associated with viral infections, such as vomiting, bad breath, and listlessness.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	 The owners were entertaining and gracious.	0
10	1	0	1	1	0	3	0	2	0	1	0	1	0	0	1	0	0	2.0	0	5	A boat is sailing smoothly along the ocean wave.	0
17	1	1	1	3	1	3	2	2	0	1	0	2	0	1	2	1	0	3.0	1	8	They will likely send another update once he's out of emergency and into a room.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
15	0	0	2	1	0	5	0	3	0	2	0	0	0	1	1	1	0	4.0	1	5	A rainbow's colors dance across the sky, captivating the viewer's eyes.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The meal was delicious.	0
21	1	2	2	1	1	3	1	3	0	1	0	3	2	2	3	0	0	5.0	2	6	I believe the organizers will be pleased with the turnout, regardless of whether the weather is perfect or not.	0
19	0	1	4	1	1	4	3	0	0	2	0	2	1	0	2	2	1	4.0	1	6	As I am writing this, I am experiencing symptoms of vomiting, bad breath, and listlessness.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious..	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The coffee was bitter.	0
12	0	0	1	2	0	4	0	3	0	1	0	1	0	0	1	0	0	3.0	0	5	A basket of fruit was delivered to the office this morning.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
25	0	1	3	1	0	5	0	2	1	3	0	4	2	1	2	1	2	5.0	3	14	 HR, intended to be a key user of this tool, will not use BackWeb because survey responses cannot be made anonymous.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The cat was sitting on the fence.	0
23	1	1	3	0	2	2	2	2	0	4	0	4	1	1	4	0	0	5.0	1	8	I'm not sure, but I believe that the task has been completed correctly, and the requested sentence is generated.	0
8	1	0	2	0	0	1	0	1	0	1	0	1	0	0	0	0	0	2.0	0	4	Sure, below is the generated sentence: The owners were entertaining and gracious.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
16	0	0	2	3	0	5	0	3	0	2	0	0	1	1	1	1	0	4.0	1	5	A swarm of hungry bees descended upon the garden, devouring a variety of blossoms.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
5	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	2.0	0	2	 My stomach is upset.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	 The owners were entertaining and gracious.	0
14	2	0	2	0	0	3	2	1	0	2	0	1	0	0	2	1	0	3.0	0	5	 My neighbor's dog was barking constantly, so I called the landlord.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	 The owners were entertaining and gracious.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
11	0	0	2	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	6	The coffee was bitter, but the milk was sweet.	0
21	1	2	2	1	1	2	3	2	0	3	0	2	1	3	3	0	0	4.0	3	10	I like to dance with a broomstick, but I am incapable of doing so because I am a cat.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	 The owners were entertaining and gracious.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sandwich was delicious.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The owners were entertaining and gracious.	0
4	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	2.0	0	2	  Now get 6 U.S.	1
33	1	0	2	3	0	4	0	3	7	3	1	2	4	2	2	1	2	4.0	4	13	According to Director of Central Intelligence George Tenet, al Qaeda’s ability to conduct an anthrax attack is one of the most immediate threats the United States is likely to face.	1
17	1	0	1	2	1	2	0	1	2	2	0	3	2	0	1	1	0	3.0	0	6	  The Islamist had been released from Egyptian prison and had known Zawahiri well for many years.	1
25	0	0	1	4	1	4	0	2	9	1	0	1	1	1	1	1	0	5.0	1	10	 The beach resorts in trivandrum and The RAVIZ in kollam are perfect places to spend time @ da syd f Ashtamudi Lake in kollam.	1
