n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	AUX_constraint
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred loudly on my lap.	0
9	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	5	The cat purred contentedly on Mary's lap.	0
9	0	0	1	2	0	2	2	1	0	1	0	0	0	0	1	0	0	2.0	0	6	She walked to the park with her dogs.	0
10	0	0	1	1	0	4	0	2	0	1	0	0	1	0	1	1	0	2.0	0	6	Runaway dogs chased the postman down the busy street.	0
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	The quick brown fox jumps over the lazy dog.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The horse galloped away from the barn.	0
7	0	0	1	1	0	2	1	0	0	1	0	1	0	0	1	0	0	2.0	0	3	Blood was pouring from his wounds.	0
9	0	1	1	0	0	2	1	1	1	2	0	0	0	1	2	1	0	3.0	1	3	John smiled as he watched the dog play.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The snowflakes fell gently on my face. (1 sentence)	0
16	1	0	3	2	0	3	2	2	0	2	0	0	1	0	1	0	1	4.0	1	12	Running through the park, the sun on my face, I felt truly alive.	0
16	1	0	1	3	1	3	0	3	1	2	0	0	0	1	1	1	0	3.0	1	10	Mary quickly ran out of the room and down the stairs to find the cat.	0
15	0	0	2	3	0	3	2	2	0	2	0	0	1	1	1	1	0	3.0	1	7	The rain poured down on the dry earth, soaking everything in its path.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumped over the fence.	0
9	0	0	3	1	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	4	"""She ate the sandwich with gusto."""	0
8	1	0	1	1	0	1	0	1	0	1	0	1	1	0	1	0	1	3.0	1	6	Running down the stairs was incredibly scary.	0
7	0	0	1	1	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	4	I ate a sandwich for lunch.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
10	0	0	1	1	0	2	1	1	0	2	0	1	0	1	1	1	0	2.0	1	5	I am going to the store to buy milk.	0
7	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	2.0	0	3	John walked to the store alone.	0
7	2	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	2.0	0	3	Melanie quickly put the books away.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
10	1	0	1	1	0	2	0	1	1	1	0	0	1	0	1	0	0	3.0	0	7	John smiled broadly at the corgi's playful antics.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
13	1	0	5	0	0	3	0	2	0	1	1	0	0	0	1	1	0	2.0	0	8	"""The dog chased the cat eagerly."" (0 auxiliaries)"	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred loudly.	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	I ran to the store.	0
8	0	0	1	1	0	2	0	1	0	1	0	0	2	0	1	0	0	2.0	0	4	The sky turns dark red during sunset.	0
11	0	0	1	2	0	3	0	3	0	1	0	0	1	0	1	0	0	2.0	0	7	The ball fell on the floor with a loud thud.	0
8	0	0	1	1	0	2	2	1	0	1	0	0	0	0	1	1	0	2.0	0	5	She ate an apple with her hands.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
9	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	5	The cat purred contentedly on John's lap.	0
9	1	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	5	The sun set slowly in the evening sky.	0
10	1	0	1	1	0	2	2	1	0	1	0	1	0	0	1	1	0	2.0	0	6	I will eat a cookie quickly before my meeting.	0
8	1	0	1	2	0	2	0	1	0	1	0	0	0	0	0	0	0	2.0	0	6	Run quickly through the park before breakfast.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred loudly under the sun.	0
8	1	1	0	1	0	1	0	1	1	2	0	0	0	1	1	0	0	2.0	1	6	John ran quickly across the field without stopping	0
16	1	0	1	1	1	4	0	1	0	3	1	1	1	1	1	1	0	3.0	1	6	The new employee is expected to arrive at 9 am tomorrow and begin training immediately.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
8	0	0	1	1	0	2	0	1	0	1	0	0	2	0	1	0	0	2.0	0	4	Nice flowers blossomed in the warm sunlight. 	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The sky slowly turns blue during the morning.	0
7	0	0	0	1	0	2	1	1	0	1	0	1	0	0	1	1	0	2.0	0	4	I will buy bread at the store	0
9	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	5	The cat purred contentedly on Steve's lap.	0
4	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2.0	1	1	Sentence completed successfully! Please see below for your answer: She ate a sandwich for lunch.	0
13	0	0	0	2	1	3	0	3	1	3	0	0	0	1	1	1	0	4.0	1	5	Sally sat on the bench and watched the ducks swim in the pond	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
19	0	0	1	3	2	5	0	3	0	2	0	0	3	0	1	1	0	5.0	0	6	The sun rose in the eastern sky and painted the landscape with warm hues of orange and pink.	0
8	0	0	1	1	0	3	0	1	0	1	0	0	1	0	1	1	0	3.0	0	3	Bright rays of light illuminated the darkness.	0
13	1	0	1	2	0	4	0	3	0	1	0	0	1	0	1	0	0	3.0	0	9	The cat slept soundly on the windowsill during the warm afternoon sun.	0
15	2	1	1	1	1	2	0	2	1	3	0	0	0	2	1	1	0	4.0	2	5	Jeff slowly and carefully walked into the forest before stopping to observe the birds. (1 sentence) 	0
9	0	0	1	0	0	2	1	0	0	2	0	1	1	1	1	1	0	3.0	1	3	I am planning to visit friends next weekend. 	1
7	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	2.0	0	3	She is walking to the store.	1
7	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	She walked slowly to the kitchen.	1
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The dog ran swiftly across the green field.	1
7	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	She walked quickly to the store.	1
13	0	1	1	2	0	2	1	2	1	2	0	1	0	1	2	0	0	3.0	1	7	Liz went to the library because she had studied for the exam.	1
11	1	0	1	2	0	3	0	2	0	1	0	0	1	0	1	0	0	2.0	0	6	The car quickly accelerated down the highway at incredible speeds.	1
7	1	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	3	The dog chased quickly the cat.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The dog runs quickly down the street.	1
15	1	1	1	1	0	2	4	1	0	3	0	0	1	2	2	2	0	3.0	2	8	She always wears her coat to the party because it makes her feel warmer.	1
16	2	0	1	1	0	4	1	3	0	3	0	0	0	2	1	2	0	4.0	2	5	The teacher asked the students to quietly raise their hands when responding to the question.	1
10	1	0	1	2	0	2	0	1	1	1	1	0	0	0	1	0	0	2.0	0	6	Mary usually leaves for work by 7:30 every morning.	1
16	0	0	1	2	1	5	0	2	0	2	2	0	0	1	1	1	0	5.0	1	6	Between seven and eight hundreds people gathered at the concert venue to watch the performance.	1
6	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	0	2.0	0	2	She has bought some apples.	1
6	1	0	1	0	0	0	2	0	0	1	0	1	0	0	1	1	0	1.0	0	2	I'll call him later.	1
7	0	0	0	1	0	2	1	1	0	1	0	1	0	0	1	1	0	2.0	0	4	I will eat dinner in the restaurant	1
8	1	0	1	1	0	2	1	0	0	1	0	1	0	0	1	0	0	2.0	0	4	They are driving to school alone tomorrow.	1
7	0	0	1	0	0	2	1	1	0	1	0	1	0	0	1	1	0	2.0	0	3	I will attend the meeting tomorrow.	1
8	1	0	0	0	0	2	2	0	0	1	0	1	0	0	1	1	0	2.0	0	4	She will definitely not eat her vegetables tonight	1
7	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	2.0	0	3	She is studying in the library.	1
8	1	0	1	1	0	1	0	1	1	1	0	0	1	0	1	0	0	2.0	0	5	Ashley walked slowly through the dark forest.	1
9	1	0	1	0	0	2	2	0	0	1	0	1	1	0	1	1	0	2.0	0	4	She will probably continue her project next week. (1 auxiliary: will)	1
7	0	0	1	0	0	2	1	1	0	1	0	1	0	0	1	1	0	2.0	0	3	I will return the favor tomorrow.	1
