n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_post_constraint
7	0	1	0	0	0	1	2	1	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun sets at 7:30 p.	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The sun rises daily.	0
9	0	2	0	0	0	2	3	0	0	0	1	0	1	2.0	5	0	0	1	0	0	The sun sets over the horizon at dusk.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rose over the horizon.	0
8	1	1	0	0	0	0	2	0	1	0	1	0	2	3.0	4	1	1	1	1	0	I love reading books on sunny afternoons.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises in the east.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The dog runs in the park.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises over the lake.	0
8	1	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The sun rose above the eastern horizon.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat lies on the mat.	0
8	1	1	0	1	0	1	1	0	1	0	1	0	1	2.0	4	0	0	1	0	0	You're looking at a beautiful sunset.	0
5	1	0	0	1	0	1	1	0	0	0	1	0	0	2.0	2	0	0	1	0	0	The ball is red.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun sets in the west.	0
6	0	0	0	0	0	1	2	0	1	0	1	0	1	2.0	3	0	0	1	1	0	I drink coffee every morning.	0
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	0	0	The sun rises every day.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises over the horizon.	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The dog barks loudly.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises in the east.	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The dog barks loudly.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises in the east.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun sets behind the mountains.	0
5	0	0	0	1	0	1	1	0	1	0	1	0	0	1.0	3	0	0	1	0	0	I am a human.	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The dog barks loudly.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises in the east.	0
8	1	0	1	1	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	1	0	You have successfully completed the previous task.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises in the east.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises in the east.	0
9	0	0	0	0	0	1	2	0	2	0	1	1	2	2.0	5	1	1	2	2	0	She reads a book while I watch TV.	0
5	0	0	0	0	0	0	1	0	1	0	1	0	2	2.0	1	1	1	1	1	0	I love playing basketball.	0
6	1	0	0	1	0	1	1	0	1	0	1	0	0	1.0	4	0	0	1	0	0	This is a blue book.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises in the east.	0
12	0	0	0	1	0	1	1	0	3	0	2	0	3	4.0	3	1	1	1	3	0	I can't hear you, let's try another channel.	0
10	0	2	0	0	0	3	3	0	0	0	1	0	1	3.0	3	0	0	1	0	0	The sun sets at the end of the day.	0
7	1	0	0	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	1	0	I read a good book yesterday.	0
5	0	0	0	0	0	1	1	0	1	0	1	0	1	2.0	2	0	0	1	1	0	She baked a cake.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sits on the mat.	0
