n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_post_constraint
9	0	1	1	0	0	2	2	0	0	0	2	0	1	2.0	4	0	0	1	0	0	In the park, the children played happily.	0
11	0	1	0	0	0	3	3	0	0	0	2	0	2	3.0	5	1	1	1	1	0	The cat sat on the mat, enjoying the sun.	0
9	0	1	0	0	0	2	2	0	0	0	3	0	1	2.0	3	0	0	1	0	0	"""The cat sat on the mat."""	0
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The cat chased the mouse up the tree.	0
10	0	1	1	0	1	2	2	0	0	0	1	0	2	2.0	5	0	0	1	0	0	The cat sat on the mat and purred contentedly.	0
12	0	2	0	0	0	3	3	0	0	0	2	0	2	3.0	5	1	1	1	0	0	The cat sat on the mat, basking in the sun.	0
12	0	2	0	0	1	2	2	0	0	0	3	0	2	2.0	5	0	0	1	0	0	"""The cat jumped onto the table and sat down."""	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The cat sleeps soundly on the mat.	0
12	0	2	0	0	0	3	3	0	0	0	3	0	1	2.0	6	0	0	1	0	0	"""The cat sat on the mat in the sun."""	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The sun shines warmly on my face.	0
11	0	1	1	0	0	2	3	0	0	0	2	0	2	3.0	4	1	1	1	1	0	The dog barked loudly, waking up the sleeping cat.	0
9	1	1	0	1	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The blue house is situated on the hilltop.	0
8	0	1	0	1	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The dog is playing in the park.	0
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The dog chased the ball across the park.	0
16	1	2	0	0	1	4	4	0	0	0	2	0	2	3.0	8	0	0	2	0	0	The cat leaped onto the table, and the book lay open on the lap.	0
8	0	1	0	1	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The dog is playing in the park.	0
10	0	2	0	0	1	2	2	0	0	0	1	0	2	2.0	5	0	0	1	0	0	The cat jumped onto the table and sat down.	0
10	3	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The quick brown fox jumps over the lazy dog.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat jumped onto the table.	0
