n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADJ_constraint
15	1	0	2	1	1	0	1	0	4	2	0	1	0	1	1	1	0	6.0	1	5	I don't know how to decide between PS3 and X-BOX Kinect.	0
12	0	0	1	1	0	2	2	1	0	2	0	1	0	1	1	1	0	4.0	1	4	I don't know what to do at the grocery store.	0
12	0	0	1	1	0	1	3	1	0	2	0	2	0	1	2	1	0	3.0	1	5	I haven't heard any information about what I should buy.	0
23	1	0	2	1	1	5	1	5	0	3	0	2	0	0	2	2	0	4.0	0	14	The context does not provide any information about an individual or a task, so I cannot generate the requested sentence.	0
17	1	0	2	0	0	1	2	1	0	2	0	2	2	3	2	0	0	3.0	3	10	I'm not sure which game to buy, so I'm not able to decide.	0
15	0	1	2	0	1	0	2	0	4	2	0	2	0	1	2	1	0	5.0	1	5	I don't know if I should buy PS3 or X-BOX Kinect.	0
15	1	0	1	0	0	2	3	1	0	5	0	1	0	2	1	3	0	3.0	2	9	Please let me know your desired output so I can generate the requested sentence.	0
14	0	0	1	1	1	2	0	2	0	2	0	3	1	1	1	0	0	4.0	1	5	The question is meaningless and can not be answered based on the context.	0
15	0	1	3	0	1	0	1	0	5	1	0	1	1	1	1	1	0	5.0	1	5	I'm unsure whether to buy P-S3 or X-Box Kinect.	0
11	0	0	1	1	0	1	2	1	0	2	0	1	0	1	1	1	0	4.0	1	3	I don't know what to do about the holiday.	0
15	0	1	1	1	1	2	2	2	0	1	0	2	1	1	2	0	0	4.0	1	4	I'm not sure if you're asking for a task or a statement.	0
18	0	1	2	1	0	2	2	1	0	4	0	1	1	3	1	0	0	4.0	3	8	I don't know which game to buy, as there are multiple titles to choose from.	0
27	0	1	1	2	1	6	2	5	0	4	0	2	0	3	2	3	0	9.0	3	6	I do not have the capacity to provide this information as it would require an opinion to complete in the absence of any data or context.	0
