n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NUM_constraint
10	2	0	1	1	0	1	2	1	0	2	0	0	0	1	1	1	0	2.0	1	4	The door silently shut behind her, locking her in	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
6	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	1.0	0	4	Simplicity is the ultimate sophistication.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
14	1	0	2	2	1	5	0	2	0	1	0	0	0	0	1	0	0	5.0	0	8	The lion, symbol of power and pride, sleeps soundly through the night	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
11	0	0	2	1	0	3	1	1	0	1	0	1	1	0	2	0	0	3.0	0	3	The answer is simple: Success depends on your effort.	0
7	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	2.0	0	3	Taurus, you have a diligent personality	0
2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0	0	Taurus.	0
11	0	1	2	0	0	3	1	0	0	2	0	2	0	1	3	0	0	3.0	1	4	Your sentence is: Mistakes multiply because attention is scattered. Https://yaledaily.com/blog/2012/09/07/study-multiplied-attention-spurs-creativity/comment-page-1	0
4	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	2.0	0	1	Bright ideas burst forth	0
9	0	0	2	2	0	2	1	0	1	1	0	0	0	0	1	0	0	2.0	0	6	Simplicity stands out in your life, Gemini.	0
3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	1.0	0	1	Gravitas characterizes Aries	0
7	0	0	2	1	0	1	1	0	1	1	0	0	0	0	1	0	0	2.0	0	3	Your determination pays off, Aries. 	0
9	0	0	1	1	1	3	2	0	0	1	0	0	0	0	1	1	0	3.0	0	6	You seek stability and practicality as your guideposts.	0
7	1	0	2	1	0	1	1	0	0	1	0	0	0	0	1	0	0	2.0	0	4	Success waits for you, patiently.	0
11	1	0	3	1	0	1	1	0	1	0	0	2	1	0	1	0	0	2.0	0	7	Patience is crucial for your well-being, Cancer.	0
7	0	0	1	1	0	2	0	1	0	0	1	0	1	0	0	0	0	2.0	0	3	A single sentence with 0 numerals.	0
5	0	0	0	0	0	2	0	1	0	0	0	1	1	0	1	0	0	1.0	0	4	 Rain is a welcome sight	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purrs contentedly on my lap.	0
10	0	0	2	0	0	2	1	1	1	2	0	0	0	1	1	2	0	2.0	1	7	You hold the key to unlock success, Taurus.	0
6	0	0	1	0	0	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	A steady hand is critical.	0
38	0	1	2	5	2	6	5	1	0	6	0	2	4	4	2	4	0	7.0	4	17	You must take care to keep a healthy distance with people in your surroundings, if you do not want unpleasant feelings to pile up inside you and make your existence heavy and difficult to live with. 	0
3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1.0	0	1	Drive slowly.	0
7	0	0	1	1	0	2	0	0	0	0	0	1	2	0	1	0	0	2.0	0	2	Diligent effort is key to success.	0
22	2	0	2	2	1	5	1	3	0	2	0	0	4	1	2	1	0	3.0	1	12	The moon hangs low and still in the dark sky, its gentle illumination bathing the landscape in soft, ethereal light	0
1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Cleanliness	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The clouds hung heavy in the sky.	0
13	1	0	0	1	0	3	3	0	0	2	0	2	0	1	2	1	0	3.0	1	6	Your potential for success will open doors that now you cannot imagine	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
6	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	2.0	1	3	Please wait to be acknowledged!	0
5	0	0	1	0	0	1	0	0	0	0	0	1	2	0	1	0	0	2.0	0	2	Due diligence is essential.	0
8	2	0	0	0	0	0	3	0	0	2	0	1	0	1	2	1	0	2.0	1	4	Sometimes I wish I could just snap my  	0
24	3	0	4	2	0	4	1	3	0	4	1	0	1	2	1	2	0	4.0	2	15	Please respond only with the appropriate sentence that accurately completes the given instruction (i.e., writing a sentence with 0 numerals). Remember that your response will be evaluated based only on whether it meets this requirement.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred contentedly.	0
7	0	0	1	1	0	2	0	1	1	0	0	1	0	0	1	0	0	2.0	0	3	Tact is the watchword for Gemini.	0
16	1	0	1	2	0	5	2	3	0	2	0	0	0	0	1	2	1	4.0	1	9	Forever changing the face of the world, the wind whispered its secrets in my ear	0
10	1	0	2	1	0	1	1	0	1	0	0	1	2	0	1	0	0	2.0	0	5	Meticulous effort is essential for you now, Aries.	0
