n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_depth_constraint
7	0	0	0	1	0	1	1	0	2	0	1	0	1	2.0	3	0	0	1	2	0	Can you bring me a pen?  Or, if a different example is preferred: A small bird sits in the tree.	2
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The children played outside in the grass.	2
7	0	0	0	0	0	1	2	0	0	0	1	0	2	2.0	2	1	1	1	1	0	The boy loves to read books.	2
7	0	0	1	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The boy reads a book quickly.	2
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The dog chased the squirrel.	2
7	0	1	0	1	0	2	2	0	0	0	1	0	0	2.0	4	0	0	1	0	0	The cat is on the mat.	2
6	0	0	0	0	0	0	1	0	0	1	1	0	2	2.0	2	1	1	1	1	0	John loves to eat apples.	2
9	0	1	0	0	0	1	1	0	2	0	1	0	2	3.0	4	1	1	1	1	0	He promised to help her with the groceries.	2
6	0	0	0	0	0	0	2	0	2	0	1	0	1	2.0	2	0	0	1	1	0	Your dog chases its tail.	2
6	0	1	0	0	0	0	2	0	1	0	1	0	1	2.0	3	0	0	1	1	0	She reads mysteries for pleasure.	2
7	0	0	0	1	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The boy is reading a book.	2
6	0	0	0	0	0	1	1	0	1	1	1	0	1	2.0	3	0	0	1	1	0	She baked cookies every Christmas.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
8	0	1	0	1	0	1	2	0	1	0	1	0	1	3.0	2	0	0	1	1	0	Can I have another cup of tea?.	2
8	0	2	0	0	0	0	2	0	1	1	1	0	1	2.0	5	0	0	1	1	0	He eats pizza for lunch on Fridays.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The dog barks at the cars.	2
11	1	1	0	0	0	2	3	0	0	1	1	0	1	3.0	6	0	0	1	1	0	John's cat chased the red dot around the room.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sits on the mat.	2
7	0	1	0	0	0	2	3	0	0	0	1	0	0	2.0	4	0	0	0	0	0	The cat on the mat meows.	2
8	0	1	1	1	0	2	2	0	0	0	1	0	0	2.0	5	0	0	1	0	0	The book is next to the vase.	2
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	0	0	The flowers bloom every spring.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
5	0	0	1	0	0	0	1	0	1	0	1	0	1	1.0	2	0	0	1	1	0	We read articles online.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat slept under the table.	2
7	0	1	0	1	0	2	2	0	0	0	1	0	0	2.0	4	0	0	1	0	0	The dog is on the mat.	2
5	0	0	0	0	0	0	1	0	1	0	1	0	2	2.0	1	1	1	1	1	0	I love playing tennis.	2
7	0	1	0	1	0	2	2	0	0	0	1	0	0	2.0	4	0	0	1	0	0	A cat is on the mat.	2
9	1	1	1	0	0	0	2	0	2	0	1	0	1	2.0	6	0	0	1	1	0	She reads books aloud to her little brother.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The dog barks at the mailman.	2
6	0	0	0	0	1	0	2	0	1	0	1	0	1	3.0	2	0	0	1	1	0	I eat apples and oranges.	2
7	0	0	0	0	0	2	3	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The flowers need water every day.	2
7	0	1	0	1	0	2	2	0	0	0	1	0	0	2.0	4	0	0	1	0	0	The apple is on the table.	2
8	0	1	0	1	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The car is parked in the garage.	2
6	0	1	0	0	0	1	2	0	0	0	1	0	1	2.0	2	0	0	1	0	0	The dog barks at night.	2
8	0	1	0	0	0	1	3	0	1	0	1	0	1	2.0	5	0	0	1	1	0	She cooks eggs in a frying pan.	2
8	0	1	0	1	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	1	0	I will bring apples to the meeting.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The dog barked loudly.	2
7	0	1	0	1	0	1	2	0	0	0	1	0	1	2.0	2	0	0	1	0	0	The moon is made of cheese.	2
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The birds sing cheerfully.	2
7	0	1	1	0	0	1	1	0	1	0	1	0	1	2.0	4	0	0	1	0	0	We read from this book daily.	2
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The dog bit the stick.	2
6	1	0	0	1	0	1	1	0	1	0	1	0	0	1.0	4	0	0	1	0	0	She is an excellent cook.	2
8	0	0	0	1	0	0	1	0	3	0	1	0	2	3.0	2	1	1	1	2	0	I will help you carry your books.	2
7	0	0	0	0	0	1	2	0	1	1	1	0	1	2.0	4	0	0	1	1	0	They eat pizza every Friday night.	2
6	0	1	0	0	0	0	2	0	0	1	1	0	1	2.0	3	0	0	1	1	0	John prefers apples to oranges.	2
7	0	1	0	1	0	2	2	0	0	0	1	0	0	2.0	4	0	0	1	0	0	A bird is in the tree.	2
8	0	1	1	1	0	1	1	0	1	0	1	0	1	2.0	4	0	0	1	0	0	I will arrive late to the party.	2
7	2	0	1	1	1	0	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	Apples are usually red or green.	2
7	0	1	0	0	0	1	2	0	0	1	1	0	1	2.0	4	0	0	1	1	0	John eats pizza with a fork.	2
16	0	1	0	0	1	3	5	1	1	0	3	0	1	3.0	13	0	0	1	1	0	We found an apple, two pears, and a banana in the fruit basket.	3
9	0	1	0	1	0	1	3	0	1	0	1	0	1	2.0	5	0	0	1	1	0	I will bake an apple pie for dessert.	3
9	0	1	0	1	0	1	2	0	1	1	1	0	1	2.0	4	0	0	1	1	0	Sally will cook dinner tonight for us all.	3
13	0	2	0	1	0	1	3	0	2	0	1	1	2	4.0	6	1	1	2	1	0	We will watch the movie tonight before it goes out of print.	3
13	0	1	0	0	1	0	5	0	2	0	2	0	2	3.0	8	0	0	2	2	0	My friend prefers coffee to tea, but his wife drinks herbs.	3
8	0	1	0	0	0	1	3	1	0	0	1	0	1	2.0	4	0	0	1	1	0	The doctor wrote prescriptions for three patients.	3
9	0	1	1	0	0	0	2	0	0	2	1	0	1	3.0	3	0	0	1	1	0	Melanie's husband often cooks breakfast on Saturdays.	3
11	1	2	0	0	0	0	5	0	1	0	1	0	1	3.0	4	0	0	1	1	0	Children sing nursery rhymes as part of their daily routine.	3
12	0	1	0	0	0	2	4	1	1	0	2	0	1	3.0	8	0	0	1	1	0	A chef cooked a five-course meal for his guests.	3
7	1	0	0	0	0	1	1	0	1	1	1	0	1	2.0	4	0	0	1	2	0	I promised John the red book.	3
