n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NUM_constraint
15	1	0	2	2	1	4	0	2	0	2	0	0	1	1	1	1	0	5.0	1	4	The sun gradually sets, bathing the sky in hues of orange and pink.	0
11	0	0	1	1	0	3	0	3	0	1	0	0	2	0	1	1	0	3.0	0	4	A gentle breeze rustles the leaves of an autumnal tree.	0
8	0	0	1	1	0	3	1	1	0	1	0	0	0	0	1	1	0	2.0	0	4	My dog fetches sticks in the park.	0
18	0	0	2	3	1	5	0	3	0	2	0	0	2	1	1	1	0	5.0	1	5	The sun sets beyond the horizon, painting the sky with beautiful shades of orange and pink.	0
17	0	0	2	3	1	5	0	3	0	2	0	0	1	1	1	1	0	5.0	1	5	The sun sets over the horizon, bathing the sky in hues of orange and pink.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun slowly sinks behind the horizon.	0
14	0	0	2	1	0	4	3	1	0	2	0	0	1	0	2	2	0	3.0	0	7	I admire your beautiful flowers, their fragrance fills the room with grace.	0
23	1	0	3	3	1	6	0	3	0	3	0	0	3	1	1	2	0	4.0	1	8	Under the ancient oak, families gathered and shared stories, leaving the modern world behind for a brief moment in time.	0
12	0	0	1	2	1	3	0	3	0	2	0	0	0	0	1	0	0	3.0	0	5	The sun rises in the east and sets in the west.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The wind whispers through the tall grasses.	0
17	0	0	3	3	1	3	1	1	0	1	0	0	4	0	1	0	0	4.0	0	5	The beauty of autumn lies in its vibrant hues of yellow, orange, and red.	0
14	0	1	1	2	0	5	1	2	0	2	0	0	0	1	2	1	0	3.0	1	8	The sun begins its descent behind the mountains as day turns into night.	0
10	0	1	1	1	0	3	0	2	0	2	0	0	0	1	2	0	0	2.0	1	6	The sun sets beneath the mountains as twilight descends.	0
18	1	1	3	1	0	4	0	2	0	3	0	0	3	2	2	1	0	3.0	2	7	The sun slowly sets over the tranquil forest, casting long, golden shadows as dusk descends.	0
17	0	0	2	3	1	4	0	3	0	2	0	0	2	1	1	1	0	5.0	1	5	The sun sets behind the mountains, illuminating the sky with shades of pink and orange.	0
13	0	0	1	2	0	4	0	3	0	1	0	0	2	0	1	1	0	3.0	0	5	The sunlight cast intricate patterns on the surface of the tranquil lake.	0
15	1	0	2	2	0	4	0	3	0	2	0	0	1	1	1	1	0	3.0	1	6	The sun sets slowly behind the mountains, painting the sky with warm hues.	0
24	0	0	3	5	0	8	0	4	0	2	0	0	2	1	1	1	0	5.0	1	7	In the heart of the bustling metropolis, music filled the air, mingling with the scent of fresh flowers from corner vendors.	0
11	0	0	2	1	0	3	0	2	0	2	0	0	1	1	1	1	0	3.0	1	5	The sun sets behind the trees, casting long shadows.	0
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	1	0	2.0	0	5	The sunlight casts intricate shadows on the floor.	0
17	0	0	2	3	0	5	0	3	0	2	0	0	2	1	1	1	0	4.0	1	7	The sun rises over the peaceful ocean, casting gentle waves of light upon the shore.	0
11	0	0	1	2	0	4	1	1	0	1	0	0	1	0	1	1	0	3.0	0	6	Flowers in bloom fill the air with their delightful scent.	0
18	0	0	2	2	0	5	1	3	0	2	0	0	2	1	1	0	0	5.0	1	5	The sun sets over the tranquil lake, its golden reflection shimmering on the water's surface.	0
15	0	1	1	2	1	4	1	2	0	2	0	0	1	1	2	1	0	4.0	1	11	The sun paints the landscape with hues of orange and red as it sets.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat slept soundly in the sun.	0
9	0	0	1	0	0	3	0	2	0	2	0	0	1	1	1	1	0	3.0	1	3	The sun rises each day bringing new light.	0
19	0	0	2	3	1	5	0	4	0	2	0	0	2	1	1	1	0	4.0	1	10	The sun sets behind the hills, leaving a trail of orange and pink colors in the sky.	0
11	0	0	1	1	0	3	0	3	0	1	0	0	2	0	1	1	0	3.0	0	4	A delicate breeze rustles the leaves of a ancient tree.	0
7	0	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	4	Apples hang heavy on the tree.	0
8	1	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	5	Trees wave gracefully in the gentle breeze.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The flowers bloom beautifully in the sunlit garden.	0
11	0	0	1	2	0	4	0	2	0	1	0	0	1	1	0	0	0	4.0	1	3	A beautiful garden filled with the fragrance of blooming flowers.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun rises slowly over the horizon.	0
14	0	0	2	1	0	4	1	3	0	2	0	0	1	1	1	1	0	3.0	1	6	The sun rises every day, warming the earth with its gentle light.	0
14	0	0	1	2	1	4	1	2	0	1	0	0	2	0	1	0	0	3.0	0	4	The beauty of the garden lies in its vibrant colors and fragrant flowers.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets slowly beyond the horizon.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	3.0	0	4	The smell of the roses filled the garden.	0
8	0	0	1	1	0	3	1	1	0	1	0	0	0	0	1	1	0	2.0	0	4	A dog chases its tail in circles.	0
18	0	0	3	2	0	4	0	3	0	2	0	1	3	1	1	1	0	3.0	1	8	The sun is setting behind the trees, casting long, golden shadows over the grassy meadow.	0
17	0	0	2	3	1	4	0	3	0	2	0	0	2	1	1	1	0	5.0	1	5	The sun sets behind the horizon, painting the sky in hues of pink and orange.	0
17	1	0	2	2	0	5	1	3	0	2	0	0	1	1	2	0	0	3.0	1	9	The sun sets over the calm horizon, its warmth slowly fading with the passing day.	0
9	0	0	2	1	0	3	0	1	0	2	0	0	0	1	1	1	0	3.0	1	3	The sun sets, giving way to twilight.	0
12	0	0	2	2	0	3	1	1	0	2	0	0	1	2	1	0	0	4.0	2	7	Mist hovering over the tranquil lake, sun setting behind it.	0
10	0	0	2	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	6	The sun sets behind the vast, rolling hills.	0
19	1	0	3	1	1	5	0	4	0	2	0	0	2	1	1	2	0	4.0	1	8	The sunlight gently bathes the room, illuminating every nook and cranny with a warm, soft glow.	0
16	0	0	3	3	1	4	0	2	0	0	0	0	3	0	0	0	0	4.0	0	6	The flowers in the garden bloom in shades of pink, red, and white.	0
15	0	0	1	2	0	4	0	3	0	2	0	0	3	1	1	1	0	5.0	1	4	A gentle breeze carries the sweet scent of flowers wafting through the open window.	0
12	1	0	2	2	0	3	2	1	0	1	0	0	0	0	1	0	0	3.0	0	8	Despite my exhaustion, my enthusiasm for the adventure never wavered.	0
11	0	0	2	1	0	3	0	3	0	2	0	0	0	1	1	1	0	3.0	1	5	The sun sets, bringing the day to a close.	0
17	0	1	2	1	0	4	0	3	0	3	0	0	2	2	2	0	0	4.0	2	7	The sun sets as the stars begin to awaken in the vast, endless night sky.	0
8	0	0	2	0	0	1	0	1	0	1	3	0	0	0	1	1	0	2.0	0	4	The clock reads five forty-five.	1
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	3.0	0	3	There are seventeen apples on the table.	1
8	0	0	1	1	0	1	2	0	0	1	1	1	0	0	1	1	0	2.0	0	4	I will meet you at 3:00 PM.	1
7	0	0	1	1	0	2	0	1	0	1	1	0	0	0	1	0	0	2.0	0	3	The sun sets at 7:30 PM.	1
6	0	0	1	0	0	2	0	1	0	1	1	0	0	0	1	1	0	2.0	0	2	The cake has 3 layers.	1
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	2.0	0	5	There are 7 apples on the table.	1
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	3.0	0	3	There are eight apples on the table.	1
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	3.0	0	3	There are five apples on the table.	1
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	3.0	0	3	There are five apples on the table.	1
5	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	1	0	2.0	0	2	I have 5 apples.	1
5	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	1	0	2.0	0	2	I have nine apples.	1
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	3.0	0	3	There are eleven apples on the table.	1
5	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	2.0	0	1	The clock reads 3:15.	1
8	0	0	1	1	0	3	0	1	0	0	1	1	0	0	1	0	0	2.0	0	3	One o'clock is the time for lunch.	1
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	3.0	0	3	There are seven cookies in the jar.	1
11	2	0	1	0	0	3	2	0	0	1	1	1	0	1	2	1	0	3.0	1	3	Five o'clock is when I usually take my evening walk.	1
5	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	1	0	2.0	0	2	I have five apples.	1
7	0	0	1	1	0	2	0	1	0	0	1	1	0	0	1	0	0	2.0	0	4	Twenty books are on the table.	1
5	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	2.0	0	2	There are five apples.	1
9	0	0	1	1	0	2	1	1	0	1	1	1	0	0	2	0	1	4.0	1	6	The number of apples I have is three.	1
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	3.0	0	3	There are seven apples on the table.	1
8	0	0	1	1	0	2	0	1	0	1	1	1	0	0	1	0	0	2.0	0	3	Four penguins are standing in a row.	1
6	0	0	1	0	0	1	1	0	0	2	1	0	0	0	1	1	0	2.0	0	3	You have 2 remaining tasks.	1
7	0	0	1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	2.0	0	3	I am turning off 2 alarms.	1
9	0	0	1	1	0	3	0	2	0	0	1	1	0	0	1	0	0	3.0	0	6	The price of the product is thirteen dollars.	1
5	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	2.0	0	1	The clock struck twelve.	1
7	0	0	1	1	0	2	0	1	0	1	1	0	0	0	1	0	0	2.0	0	3	The sun rises at 6:30 am.	1
5	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1.0	0	2	The clock strike 7:00.	1
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	3.0	0	3	There are three apples on the table.	1
8	1	0	1	1	0	1	1	0	0	0	1	2	0	0	1	0	0	2.0	0	3	I will be there in fifteen minutes.	1
6	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	2.0	0	1	The ticket cost $15.	1
9	0	0	2	1	0	2	0	1	0	1	2	0	0	0	1	0	0	3.0	0	5	The sun sets behind thirty-two clouds.	1
7	0	0	1	0	0	2	0	1	1	0	1	1	0	0	1	0	0	2.0	0	3	The temperature is 30 degrees Celsius.	1
