n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_depth_constraint
13	0	1	0	1	0	2	4	0	2	0	2	0	1	2.0	5	0	0	1	2	0	In any event, my presentation should give you a starting point.	2
8	0	1	0	0	0	0	1	0	0	0	2	1	2	2.0	4	1	1	1	0	0	- Over priced for students to learn!	2
7	0	0	1	0	0	0	1	0	0	0	1	1	2	2.0	4	1	1	1	0	0	Over priced for students to learn!	2
7	0	0	1	0	0	0	1	0	0	0	1	1	2	2.0	4	1	1	1	0	0	Over priced for students to learn!	2
7	0	0	1	0	0	0	1	0	0	0	1	1	2	2.0	4	1	1	1	0	0	Over priced for students to learn!	2
22	2	3	0	1	0	4	6	1	0	0	1	0	2	4.0	6	1	1	1	2	0	The task is not provided enough context to generate a sentence with a tree height of 2 in the syntactic tree.	2
7	0	0	1	0	0	0	1	0	0	0	1	1	2	2.0	4	1	1	1	0	0	Over priced for students to learn!	2
7	0	0	1	0	0	0	1	0	0	0	1	1	2	2.0	4	1	1	1	0	0	Over priced for students to learn!	2
7	0	0	1	0	0	0	1	0	0	0	1	1	2	2.0	4	1	1	1	0	0	Over priced for students to learn!	2
8	0	1	0	0	0	0	1	0	0	0	2	1	2	2.0	4	1	1	1	0	0	- Over priced for students to learn!	2
13	0	1	0	1	0	2	4	0	2	0	2	0	1	2.0	5	0	0	1	2	0	In any event, my presentation should give you a starting point.	2
7	0	0	1	0	0	0	1	0	0	0	1	1	2	2.0	4	1	1	1	0	0	Over priced for students to learn!	2
6	0	0	0	1	0	0	0	0	2	0	1	0	1	1.0	3	0	0	1	1	0	I won't hire them.	2
7	0	0	1	0	0	0	1	0	0	0	1	1	2	2.0	4	1	1	1	0	0	Over priced for students to learn!	2
6	0	0	0	1	0	0	0	0	2	0	1	0	1	1.0	3	0	0	1	1	0	I won't hire them.	2
7	0	0	1	0	0	0	1	0	0	0	1	1	2	2.0	4	1	1	1	0	0	Over priced for students to learn!	2
22	0	2	1	2	0	4	4	0	1	0	2	0	5	3.0	19	0	0	1	0	0	There is no tree with the requested height in the given context, so the resulting sentence cannot be generated.	2
7	0	0	1	0	0	0	1	0	0	0	1	1	2	2.0	4	1	1	1	0	0	Over priced for students to learn!	2
7	0	0	1	0	0	0	1	0	0	0	1	1	2	2.0	4	1	1	1	0	0	Over priced for students to learn!	2
7	0	0	1	0	0	0	1	0	0	0	1	1	2	2.0	4	1	1	1	0	0	Over priced for students to learn!	2
15	1	3	0	2	0	3	4	1	0	0	1	0	0	4.0	12	0	0	1	0	0	The sentence with a tree height of 2 in the syntactic tree would be: In any event, my presentation should give you a starting point.	2
6	0	0	0	1	0	0	0	0	2	0	1	0	1	1.0	3	0	0	1	1	0	I won't hire them.	2
6	0	0	0	1	0	0	0	0	2	0	1	0	1	1.0	3	0	0	1	1	0	I won't hire them.	2
7	0	0	1	0	0	0	1	0	0	0	1	1	2	2.0	4	1	1	1	0	0	Over priced for students to learn!	2
6	0	0	0	1	0	0	0	0	2	0	1	0	1	1.0	3	0	0	1	1	0	I won't hire them.	2
