n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	CCONJ_constraint
10	0	0	1	1	0	3	1	1	1	1	0	0	1	0	1	1	0	2.0	0	6	Brown rats carry a bacterial toxin in their gut.	0
9	0	0	1	1	0	2	1	2	0	2	0	0	0	1	1	1	0	4.0	1	3	She found the solution hidden in the code.	0
9	0	0	1	1	0	3	0	1	1	1	0	0	0	0	1	1	0	4.0	0	4	The team won thanks to James' goal.	0
11	1	0	2	0	0	3	0	0	2	0	0	1	1	1	1	0	0	4.0	1	9	Update: John Smith's phone number is currently unavailable.	0
10	0	0	1	1	0	3	1	2	0	1	0	0	1	0	1	1	0	2.0	0	6	The sun cast its gentle rays across the landscape.	0
11	1	0	0	1	0	4	3	0	0	2	0	0	0	1	1	2	0	3.0	1	5	My mom always made us tidy our play area after playtime	0
16	3	0	1	2	0	3	1	2	0	3	0	1	0	2	2	0	0	4.0	2	7	I was startled by how calmly the airline representative spoke when informed of the delay.	0
8	0	0	1	1	0	2	1	1	0	0	0	1	1	0	1	0	0	2.0	0	3	The company was pleased with their progress.	0
8	1	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	3.0	0	3	The pizza's delivery was disappointingly late.	0
10	2	0	1	1	0	2	1	1	0	1	0	1	0	0	1	0	0	2.0	0	4	My boss is really pushing hard on this project.	0
13	1	0	1	2	0	3	1	2	1	1	0	0	1	0	1	1	0	2.0	0	7	The new employee confidently presented his report before the executives on Tuesday.	0
28	1	0	2	2	1	4	5	1	0	4	0	3	4	3	3	1	0	5.0	3	13	I'm sure she would appreciate the help, given her current plight and how much she is struggling to come to grips with her new job.	0
12	0	0	1	2	0	5	0	2	1	1	0	0	0	0	1	1	0	2.0	0	9	Jane enjoyed swimming laps at the pool every day after work.	0
19	1	2	1	3	0	5	2	2	0	3	0	0	0	2	1	2	0	6.0	2	5	She took up painting as a way of relaxing away from the stresses of running her family business.	0
19	0	2	2	2	0	4	1	2	2	2	0	1	1	0	2	1	1	5.0	1	12	After conducting research, I concluded that the best option for a beach vacation in June is Hawaii.	0
14	0	1	0	1	0	2	2	1	0	2	0	2	2	2	2	0	0	4.0	2	5	I am thrilled to report that my child is thriving at the local school	0
9	0	1	1	0	0	2	1	2	0	2	0	0	0	1	1	2	0	3.0	1	5	Update the system before you update the software.	0
7	1	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	3	The cheetah chased the rabbit rapidly.	0
13	2	0	1	1	0	2	0	1	2	1	1	0	2	0	1	1	0	3.0	0	11	Mars has a much lower atmospheric pressure than Earth, only 0.00634 atmosphere	0
8	1	0	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	2.0	0	5	She walked slowly into the bright sunlight.	0
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	The dog chased the mailman.	0
9	0	0	1	0	0	1	2	0	0	2	0	2	0	1	1	1	0	3.0	1	3	I would be delighted to attend your function. 	0
12	1	0	2	1	0	1	1	0	0	2	0	1	1	2	1	0	0	3.0	2	5	I walked quickly to class, trying not to be late.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The ball bounced effortlessly off the ground.	0
10	0	0	0	0	0	5	0	2	0	1	0	0	0	0	1	1	0	4.0	0	3	The man's beagle's howling pierced the night air	0
8	0	0	1	1	0	1	2	0	0	1	0	1	1	0	1	0	0	3.0	0	2	"My brother can skate faster than me. Please provide a new instruction that does not include the sentence, ""Generate a sentence with zero coordinating conjunctions."""	0
9	1	0	1	1	0	2	1	1	1	1	0	0	0	0	1	1	0	2.0	0	5	Mike willingly updated his review without any reservations.	0
13	1	1	1	1	0	2	2	2	0	2	0	1	0	1	2	1	0	3.0	1	6	She asked if they could discuss the project further with the team.	0
12	0	0	1	1	0	4	1	2	0	2	0	0	1	1	1	1	0	3.0	1	8	The team made several changes to their strategy following the presentation.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The car accelerated downhill with an eerie sound.	0
18	1	1	1	1	1	4	0	3	0	3	0	0	2	1	1	1	0	4.0	1	4	Although initially reluctant the investment firm decided to take the risk and invest  in the new company.	0
10	1	0	0	1	0	1	2	0	0	2	0	1	1	1	1	0	0	3.0	1	5	I've decided to go by my middle name now	0
16	0	2	1	0	0	3	2	0	1	4	0	2	0	3	2	2	0	5.0	3	5	Melissa updated her review to indicate that progress had been made on addressing her concern.	0
15	0	0	2	2	0	5	1	2	0	2	0	0	1	0	1	1	0	3.0	0	9	I love binge-watching box sets until the early hours of the morning.	0
19	2	0	0	1	1	2	5	2	0	4	0	0	2	2	4	2	0	3.0	2	9	I saw him arrive with an angry glare but he gave a friendly wave instead when he saw me 	0
13	0	1	1	1	0	4	1	2	0	2	0	0	0	1	2	0	0	3.0	1	4	The car's engine sputtered as it pulled into the gas station.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat slept peacefully.	0
29	1	1	1	5	1	7	3	4	0	5	0	0	1	3	2	3	0	7.0	3	7	I love spending time at the beach in the summer, where I relax by swimming laps in the ocean and soaking up the warm sunlight on my face	0
7	1	0	1	0	0	1	2	0	0	1	0	1	0	0	1	1	0	2.0	0	3	I have just updated my review.	0
9	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	3.0	0	5	The cat purred loudly on John's lap.	0
8	0	0	1	1	0	3	0	1	0	1	0	0	0	0	1	0	0	3.0	0	2	The teacher's eyes sparkled with satisfaction. 	0
16	0	2	1	1	0	5	0	1	0	3	0	1	1	2	2	1	0	5.0	2	5	New research suggests that dogs can tell time by looking at a clock's shape.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The monkey slid smoothly down the pole.	0
23	3	0	1	3	0	6	1	4	0	2	0	2	0	1	2	0	0	5.0	1	6	The manager's eyes were drawn to the corner of the office where the intern was frantically typing away on his laptop.	0
9	0	0	1	1	0	1	1	1	0	2	0	1	0	1	1	0	0	3.0	1	3	I was told to wait for an update.	0
11	1	0	0	2	0	3	0	2	1	2	0	0	0	1	1	1	0	3.0	1	7	John always prefers spending time in the mountain to the city	0
10	1	0	1	1	0	2	0	2	2	1	0	0	0	0	1	1	0	2.0	0	5	John Smith successfully defended the project before the client.	0
6	0	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	2.0	0	5	Update on our order confirmation status	0
14	0	0	1	1	0	4	3	2	0	2	0	0	1	1	2	2	0	5.0	1	4	She gave her boss the results of the report they assigned last week.	0
15	1	1	1	1	0	3	2	2	0	3	1	0	0	2	2	1	0	4.0	2	4	The detective grinned while he fingered the .38 revolver tucked away in his holster.	0
30	0	2	2	4	0	5	7	2	0	3	0	1	4	1	4	1	2	5.0	3	14	Because I am tired of this stupid virus that I caught from my stupid roommates, I demand that they take better care of the cleanliness of our place.	1
27	3	1	2	2	1	4	1	4	0	2	0	2	5	1	2	1	0	5.0	1	12	Firstly, I must say that the new menu at the local Indian restaurant is quite impressive and deserves a try at least once a month.	1
34	2	1	3	4	0	6	2	4	0	6	1	2	1	3	3	2	0	4.0	3	21	As a result, we realized that this task could not be completed successfully with only one coordinating conjunction, as all of the given examples employed multiple conjunctions to connect their clauses.	1
15	1	0	2	2	0	2	0	2	2	2	0	0	1	1	1	1	0	3.0	1	8	Therefore, with the newfound understanding, John decided to approach Sarah about the issue	1
20	1	1	2	1	0	2	3	2	2	3	0	1	1	3	3	1	0	5.0	3	7	Firstly, I am delighted to hear that you got a resolution from the Kitchen Aid vendor you contacted.	1
26	2	2	3	2	1	5	3	1	0	4	0	2	1	2	2	1	1	5.0	3	6	Although it had been raining intensely for hours, she insisted on going to the beach, wearing only her light yellow sundress and sunglasses.	1
16	0	0	1	3	0	5	1	1	1	2	0	0	1	1	1	1	0	3.0	1	11	Sophie loves to play hockey on the frozen pond behind her farm during winter holidays.	1
14	1	0	2	0	1	1	1	1	0	3	0	1	1	1	1	1	0	4.0	1	5	Besides, it does not hurt to try and get a larger discount.	1
51	4	1	4	4	2	7	8	4	0	7	0	4	5	4	4	4	1	9.0	5	12	Since my previous reviews were overrun with spam and irrelevant comments, this time I'll only say something positive, so let me tell you--- the salmon is absolutely divine and I would definitely recommend it to anyone looking for a great place to eat in this town.	1
33	0	1	2	2	2	9	2	1	2	5	1	2	3	0	3	2	3	5.0	3	17	If the company wants to expand its market share and reach more people, one strategy they could pursue is investing in digital marketing channels like Google Ads and social media platforms.	1
30	2	3	2	3	0	3	3	1	2	7	1	0	0	4	4	2	2	5.0	6	10	Since Sarah had to leave for work at 8 AM, she told John that he needed to wake up early enough to feed the dog before she left.	1
16	1	0	2	2	0	4	1	2	0	1	0	0	1	0	1	0	0	4.0	0	6	Firstly, I disagree with the other reviewer's assessment of the restaurant's pricing.	1
13	1	1	2	0	1	3	1	1	0	2	0	0	1	1	1	1	0	4.0	1	4	Furthermore, it appears that the cat needs more attention and playtime.	1
18	0	0	2	2	1	5	1	2	0	1	0	1	3	0	1	1	0	4.0	0	9	Besides the initial excitement, I had expected more challenges and personal growth opportunities during the program.	1
17	2	0	4	0	1	3	1	3	0	1	0	1	1	0	2	1	0	3.0	0	6	Firstly, the recipe was a hit, and secondly, everyone loved the delicious dish.	1
33	2	1	3	4	1	6	5	2	0	6	0	1	1	4	2	2	0	7.0	4	6	Because of this, I went back to my car and retrieved my emergency roadside kit, feeling somewhat reassured that I had taken the proper steps to prepare for the situation.	1
24	2	0	2	2	1	4	1	5	0	2	0	1	3	2	2	0	0	6.0	2	10	However, I think the most exciting aspect of the project is the opportunity to collaborate with such a dynamic and innovative team.	1
29	3	1	1	2	0	3	5	1	0	3	0	4	4	1	2	3	2	5.0	3	14	Had she not been so stubbornly insistent on finding the perfect dress for her formal, maybe she would have found something else to fill up her wedding day	1
25	3	2	3	1	1	3	4	1	0	3	0	2	1	2	3	1	0	4.0	2	15	Firstly, I'll start by saying that I absolutely love your outfit, but it's not very practical for a hiking trip.	1
33	5	1	3	1	0	4	4	1	0	6	0	4	2	2	4	3	2	5.0	4	18	If we don't get the car towed away now, it'll take on additional damage that will cost more to fix later; consequently, our insurance rates will increase accordingly	1
31	5	0	1	4	1	5	4	2	0	3	0	4	1	2	3	0	0	6.0	2	6	As a result firstly it is a significant issue when it comes to safety concerns that have been constantly ignored and are still not dealt with properly by our management.	1
17	1	0	2	2	1	3	0	3	0	1	0	1	3	0	1	1	0	4.0	0	5	Therefore, the customer was delighted with the outcome and left the restaurant more than satisfied.	1
17	2	0	2	2	0	5	3	1	0	1	0	0	1	0	1	2	0	2.0	0	11	Firstly, Mom always bought me my favorite snacks from the vending machine outside our school.	1
26	1	0	4	3	1	6	1	3	0	3	0	0	3	1	1	2	0	7.0	1	8	On the other hand, I thoroughly enjoyed the art museum's latest exhibition featuring the works of up-and-coming local artists.	1
14	1	0	3	1	0	3	1	2	0	1	0	0	2	0	1	1	0	2.0	0	10	However, despite their extensive research, no conclusive evidence supports the claim.	1
26	1	1	2	2	1	6	4	2	0	4	0	2	1	1	4	2	2	5.0	3	13	Although it may seem like second nature to you, the way you eat can greatly affect the way your stomach and body digest food.	1
20	2	2	3	1	0	2	3	1	0	2	0	2	1	2	3	0	0	3.0	2	8	However, despite my initial excitement, I found that the restaurant was not quite as I had expected.	1
27	3	0	3	3	2	4	3	2	0	5	0	2	0	2	3	1	0	5.0	2	16	Firstly, I will start looking into the job market and see where I stand, and then I will decide on a plan of action.	1
18	1	1	1	3	1	3	3	1	0	1	0	2	1	1	1	0	0	4.0	1	6	It is vital that you are in contact with the vendor and also communicate with their team.	1
31	1	1	7	4	1	3	6	3	0	5	0	0	0	2	5	2	1	4.0	3	13	"On the contrary, as the saying goes, ""you get what you pay for,"" and in this case, I got exactly what I paid for."	1
11	2	0	2	1	0	1	1	2	0	1	0	1	0	0	1	0	0	2.0	0	5	Besides, I have never heard of such a person.	1
23	3	0	3	2	1	3	2	0	0	2	0	4	2	0	2	0	0	3.0	0	12	Firstly, I have always been fascinated by marine biology, but my dream has always been to dive with Great whites. 	1
13	1	1	1	2	0	3	1	0	1	2	1	0	0	0	1	1	1	3.0	1	7	After studying for two years, Sarah finally earned her degree in engineering	1
37	1	3	2	7	0	9	3	4	0	5	0	1	1	3	2	2	1	5.0	4	20	Because Mom was out, I had to entertain myself while waiting for her return by drawing elaborate pictures on the back of the cereal box with a worn-down pencil from under the kitchen sink	1
20	2	0	2	2	0	2	2	2	3	2	0	1	2	1	2	1	0	3.0	1	11	Secondly, I was amazed by the sheer grandeur of the Taj Mahal when I visited India last year.	1
25	3	1	2	3	0	4	1	2	4	1	0	1	2	1	2	0	0	5.0	1	13	Firstly, as a fellow Harry Potter fan, I completely agree that Dolores Umbridge's presence in the ministry of magic is unjustifiably oppressive	1
26	3	1	4	0	1	0	4	0	0	7	0	2	1	3	3	1	2	5.0	5	13	Firstly, although he had promised to call, he had not yet managed to do so, which left her feeling frustrated and ignored.	1
11	0	0	1	1	0	1	1	0	2	3	0	1	0	1	1	1	1	3.0	2	5	Having enjoyed his visit, John decided to return to Boston   	1
22	2	1	2	1	0	4	2	1	2	3	0	2	2	3	3	2	0	5.0	3	4	Secondly, Sarah was shocked when her friend revealed that she had spent the entire afternoon watching cat videos on YouTube.	1
