n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	subj_pre_constraint
19	0	2	0	1	0	2	2	1	3	1	3	0	3	5.0	5	1	1	2	2	0	2	2	At the count of three, everyone jumped;    Would you like another prompt to practice your English? If so, feel free to answer this one:    Generate a sentence with two nouns as subjects. Again, do not write any explanation or text outside the sentence	0
12	1	2	1	0	0	2	2	0	0	0	2	0	2	3.0	5	0	0	1	0	0	0	1	The cat slept soundly, curled up on the soft cushion.	0
20	1	2	0	0	0	3	3	0	2	0	3	0	5	5.0	8	4	2	2	1	2	1	2	The book, lying closed on the table, had a strange odor that seemed to cling to it. 	0
5	1	0	0	0	0	1	2	0	0	0	0	0	1	2.0	3	0	0	1	1	0	1	1	Coffee has a deep taste	0
11	0	2	1	0	0	3	3	0	0	0	1	0	1	3.0	4	0	0	1	0	0	0	1	The cat purred silently in the corner of the room.	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The snowflakes fell gently.	0
14	1	1	0	0	0	1	3	0	1	1	3	0	3	4.0	7	1	1	2	1	0	1	2	   Birdong hummed a mellow song; its hues trembled, soaring over treetops.	0
6	0	1	0	0	0	1	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	Rain fell on the flowers.	0
4	0	0	0	1	0	0	0	0	1	0	1	0	1	1.0	2	0	0	1	0	0	0	1	 Can I proceed?  Sure! Let this sentence be the answer.	0
13	0	2	0	0	1	1	2	0	1	1	2	0	3	3.0	5	1	0	1	1	1	1	1	Screaming with excitement, Sarah dropped the ball and sprinted after it.	0
9	1	1	0	0	0	1	3	0	0	0	1	0	2	2.0	5	0	0	1	0	0	0	1	Dripping water sounds echoey in the silent cave. 	0
8	1	0	0	2	0	0	1	0	2	0	0	0	2	3.0	4	1	1	1	0	0	0	1	  There were several trees that had been felled	0
9	0	0	0	1	0	1	2	0	0	0	3	0	1	3.0	2	0	0	1	0	0	0	1	"  ""The party's guests are dancing."""	0
11	2	1	1	0	1	1	3	0	1	0	0	0	1	3.0	6	0	0	1	0	0	0	1	  Waltzing homeward in the dank dark I felt chilly and alone	0
2	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0	0	0	0	0	0	0	0	0	None.	0
