n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_pre_constraint
7	0	0	0	1	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The cat had left the house.	0
5	1	0	0	1	0	0	1	0	2	0	0	0	0	1.0	4	0	0	1	0	0	It's my lucky day	0
12	0	1	0	2	0	2	2	0	1	2	2	0	0	2.0	6	0	0	2	0	0	The answer is: This is a photograph by Peter Lik. 	0
11	1	1	0	2	0	2	2	1	0	0	1	0	1	2.0	5	0	0	1	0	0	The car will be repaired within the next 24 hours.	0
7	2	0	0	0	0	0	1	0	1	1	1	0	1	2.0	4	0	0	1	1	0	Mary loves her new purple dress.	0
12	1	1	1	0	0	2	3	0	0	0	2	0	2	3.0	5	0	0	2	1	0	The sky turned dark, then flashes lit up the air.	0
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	This house overlooks the ocean. 	0
6	1	0	0	1	0	1	1	0	1	0	1	0	0	1.0	4	0	0	1	0	0	This is a beautiful sunset.	0
10	0	1	2	0	0	3	2	0	1	0	0	0	1	2.0	8	0	0	1	1	0	I want all these treasures from the attic right now	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
12	3	1	1	0	0	1	3	0	1	0	1	0	1	3.0	9	0	0	1	1	0	She played a blindingly white grand piano with silver sound holes.	0
10	0	1	1	0	0	2	2	0	0	2	1	0	1	2.0	5	0	0	1	0	0	The Eiffel Tower shines brightly on the city skyline.	0
8	2	0	0	0	0	1	2	0	0	0	2	0	0	2.0	5	0	0	0	0	0	A squirrel's warm, fluffy tail.	0
9	1	0	0	0	1	1	3	0	0	0	1	0	2	3.0	5	0	0	2	0	0	The sky grew dark and storm clouds formed.	0
3	0	0	0	0	0	1	1	0	0	0	0	0	1	2.0	1	0	0	1	0	0	The baby laughed	0
7	1	0	1	0	0	1	1	0	0	1	1	0	1	3.0	4	0	0	1	1	0	Billiam had a very happy life. 	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
9	0	1	0	1	0	1	1	0	1	2	1	0	1	2.0	4	0	0	1	0	0	This is a painted canvas by John Constable.	0
9	0	1	0	1	0	1	2	0	1	2	1	0	0	2.0	4	0	0	1	0	0	This is a watercolor painting by Caoimhe McKeown.	0
10	1	1	1	1	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The new baby was sleeping soundly in her crib.	0
10	0	2	0	1	0	1	1	0	1	3	1	0	0	3.0	3	0	0	1	0	0	It is a photo by Tim LaTimm from Canada.	0
9	0	1	0	1	0	1	1	0	1	3	1	0	0	2.0	3	0	0	1	0	0	This is a painting by Vincent van Gogh.	0
9	2	0	0	1	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The new employee was given a warm welcome. 	0
6	2	0	0	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The car is bright red.	0
8	1	1	0	1	0	1	2	0	0	0	1	0	1	2.0	4	1	1	2	0	0	The cat curled up sleeping is adorable. 	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
7	1	0	1	1	0	1	2	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The cat napping is quite satisfactory.	0
13	3	1	0	0	1	1	2	0	2	0	0	1	2	3.0	6	1	1	2	0	0	The water tasted clean and refreshing as it flowed down my parched throat	0
10	1	1	0	1	0	1	1	0	1	3	1	0	0	2.0	4	0	0	1	0	0	This is a beautiful painting by Vincent van Gogh.	0
8	1	1	0	0	0	1	3	0	1	0	0	0	1	2.0	4	0	0	1	1	0	The new puppy wagged its tail with excitement	0
9	0	1	0	1	0	2	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	This is a solved example of the task. Generate a sentence with 0 subordinate propositions preceding the main clause. Write only the sentence, without adding further text and without explanations.	0
8	0	0	0	2	0	1	1	0	1	0	1	0	2	3.0	5	1	0	2	0	1	The sentence you requested has been completed. How many sentences do you need me to complete?	0
7	0	1	1	0	0	2	2	0	0	0	0	0	1	2.0	4	0	0	1	0	0	The puppy ran quickly across the field	0
5	0	0	0	1	0	1	1	0	1	0	1	0	0	1.0	3	0	0	1	0	0	This is a cat.	0
12	0	3	0	0	0	3	3	0	0	0	1	0	2	4.0	3	1	1	1	0	0	The baby woke up screaming in the middle of the night.	0
11	2	1	1	1	0	2	2	0	0	0	1	0	1	2.0	6	0	0	1	0	0	The sun was shining brightly in a clear blue sky.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
6	0	0	0	0	0	1	1	0	0	2	1	0	1	2.0	2	0	0	1	1	0	Franz Hueber took this photograph.	0
5	0	0	1	1	0	1	1	0	0	0	0	0	1	2.0	2	0	0	1	0	0	The answer will appear below	0
14	1	1	1	1	1	2	3	2	0	0	1	0	1	5.0	5	0	0	1	1	0	The sun is yellow and has a circumference of approximately 93 million miles.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The dog slowly trotted down the street.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
7	0	1	0	1	0	1	1	0	1	1	1	0	0	2.0	3	0	0	1	0	0	It was a painting by Monet.	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The cat purred contentedly.	0
