n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PUNCT_constraint
8	1	0	0	0	2	2	1	0	0	1	0	0	1	0	1	1	0	3.0	0	4	I repair laptops and phones fast and affordable	0
8	0	0	1	0	1	1	1	0	2	2	0	0	0	1	1	2	0	5.0	1	2	I build websites using JavaScript and Python.	0
14	0	0	1	3	0	2	0	3	3	1	1	0	0	0	1	1	0	3.0	0	7	Matt Kemp drives 4 for the Dodgers in the top of the 7th.	0
9	0	0	0	2	0	3	1	1	0	1	0	0	0	0	1	0	0	3.0	0	6	The cat purred with satisfaction on my lap http://www.catsoflatopolis.org	0
9	0	0	1	2	0	3	1	0	0	2	0	0	0	1	1	1	0	4.0	1	4	I eat cake made with cocoa by candlelight.	0
10	0	0	1	1	0	3	0	1	1	1	0	1	0	0	1	1	0	3.0	0	3	Tech support will not support this version of Office.	0
18	0	0	0	4	0	6	2	2	0	2	0	0	1	1	1	1	0	6.0	1	9	My brother sells his vacuum cleaner by a yard in a backyard full of yards sold at https://sites.google.com/site/theyardstore/ Yards for Sale/Home.	0
13	0	0	0	1	1	4	1	3	0	2	0	0	0	0	1	2	0	3.0	0	11	I build a time machine and take the dinosaurs to the moon http://www.example.com	0
8	0	0	1	1	0	3	1	0	0	1	0	0	1	0	1	1	0	3.0	0	5	I grow weevils in plastic culture broth.	0
8	0	0	1	1	0	2	0	2	0	2	0	0	0	1	1	0	0	2.0	1	4	The cat sat in the sun purring. 	0
18	1	0	3	2	1	2	1	2	0	4	0	2	0	1	2	1	0	4.0	1	13	The tiger sighed, put down the tooth he'd been chewing on, and stalked away.	0
9	0	0	1	1	0	4	1	1	0	1	0	0	0	0	1	1	0	2.0	0	4	My pet turtle eats algae in a bucket. 	0
21	1	0	2	2	0	5	2	1	1	2	0	0	5	1	1	1	0	4.0	1	11	Jim drove his sleek silver sports car quickly onto the highway, feeling invincible in his smooth black leather seat.	0
13	2	0	1	1	1	3	0	0	0	0	0	2	3	0	1	0	0	2.0	0	7	Laptop computers are also available in various types and are very expensive. http://www.souq.com  Please, provide a response to the instruction request above by generating a single sentence with 0 punctuations, without adding further text or explanations	0
5	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	2.0	0	3	Melting metal with propane http://www.mikegigi.com/meltmetl.htm  	0
11	1	0	1	1	1	2	1	1	1	2	0	0	0	0	1	1	0	3.0	0	4	Hans quickly loaded his shotgun and headed towards the sounds.	0
7	1	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	2.0	0	3	Diana is my queen now http://fashionablyearly. com/59378/2013/07/29/ diana-ross-and-tika-rammonds-shoe-collection  	0
21	2	0	0	4	0	5	3	2	0	3	0	0	1	2	1	1	0	6.0	2	9	I find myself struggling with her need to constantly ask for help every day even with the most basic of tasks	0
13	1	1	1	1	0	2	2	2	0	1	0	1	1	1	2	0	0	2.0	1	10	I cook with carbonara all the time because it's so fast.	0
13	0	0	0	2	1	5	2	0	1	2	0	0	0	0	1	2	0	4.0	0	7	Jared uses his iPhone for text messaging and taking selfies of his cat	0
10	0	0	0	2	0	1	1	2	1	1	0	0	1	0	1	0	0	2.0	0	8	I travelled on a train through the Swiss Alps http://tinyurl.com/ycj8m8s.	0
10	0	0	0	2	0	3	1	1	1	1	0	0	0	0	1	1	0	2.0	0	8	Jessica took a sip out of her water bottle http//mikesdomain.tk  	0
9	0	0	0	0	1	4	1	0	0	2	0	0	0	1	1	2	0	6.0	1	7	I build structures using concrete and steel I http://www.constructingsolutionsnow.com/about-us.html.	0
13	0	0	2	2	0	4	0	3	0	2	0	0	0	1	1	0	0	3.0	1	5	The man stood on the beach, staring at the ocean waves.	0
13	0	0	1	2	1	4	2	1	0	2	0	0	0	1	2	1	0	4.0	1	4	I cook food with wood and stones I found in the forest.	0
12	1	1	1	0	0	1	2	1	0	3	0	0	2	2	2	2	0	3.0	2	5	The candy tasted so good that it made me want more. 	0
10	0	0	0	1	1	4	0	0	1	1	0	0	2	0	1	1	0	3.0	0	6	Jenny loves pizza with extra cheese hot peppers and olive	0
11	1	0	1	1	0	3	1	1	0	2	1	0	0	0	1	1	0	5.0	0	6	I love the smell of freshly sharpened number two pencils.	0
24	0	0	1	4	2	5	1	0	4	4	0	0	1	2	2	2	0	5.0	2	10	Josh creates artwork using paint rollers I found on http://www.homedepot.com and sells at farmers markets near 105th and Teller in Denver, Colorado http://www.denverpost.com	0
14	0	0	0	1	1	4	3	2	0	2	0	0	0	1	2	1	0	4.0	1	12	I build my dream car with the engine and the interior I deserve http://autoxpatlux.com/2018/07/27/top-10-most-expensive-and-fastest-cars-worldwide.html	0
9	0	0	0	2	0	2	1	0	0	1	0	1	1	0	1	0	1	3.0	1	8	Living at sea was not without its unique challenges  http://www. sailor-home.com.	0
12	0	0	1	1	0	3	2	2	0	2	0	0	0	1	2	2	0	4.0	1	5	I love the way they melt the metal http://www.mikegigi.com/meltmetl.htm at home.	0
13	0	0	0	1	1	4	2	1	0	2	0	0	0	1	1	2	0	3.0	1	11	I mix meth and potpourri in my oven to make a candy http://www.grannyskorch.com  	0
9	0	0	1	0	0	3	1	0	0	3	0	0	1	2	1	2	0	4.0	2	3	I enjoy playing snooker using different cue sticks.	0
13	0	0	2	1	0	2	2	0	1	2	0	0	3	1	2	1	0	4.0	1	5	Sally has long, curly brown hair that falls below her shoulders. 	0
17	0	0	0	2	0	4	0	2	0	2	0	0	4	1	1	2	0	4.0	1	5	The new Italian kid on the block makes fresh pasta using nonna 's secret recipe http://www.delizioso.it	0
6	0	0	0	1	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	4	They ate tacos on the rooftop	0
