n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_prop_constraint
13	0	1	1	0	0	3	3	0	0	1	1	1	2	3.0	10	1	1	2	1	0	Jim ate a sandwich in the park quickly before the rain arrived. (1 sentence)	0
11	1	0	2	0	0	1	1	0	2	0	1	1	2	3.0	6	1	1	2	1	0	I ate the cookie quickly before it got too crumbly.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred loudly on my lap.	0
7	0	0	1	0	0	1	1	0	1	0	1	0	2	2.0	3	1	1	2	0	0	The cat purrs when it eats.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The sun set slowly in the horizon. (1 sentence)  Would you like me to generate another sentence, or would you like me to assist you in another task? Please let me know.	0
11	0	1	1	0	0	2	3	0	0	0	1	0	2	4.0	3	1	1	1	1	0	The team gathered confidently to tackle the obstacles with determination. (1 sentence)	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The book stood on the desk.	0
18	1	3	0	0	0	2	5	0	1	0	2	0	3	3.0	10	2	1	1	1	1	Running through the forest at top speed, the wolf managed to catch its prey in mid-flight.	0
11	0	1	1	0	0	1	2	1	1	0	3	0	1	2.0	8	0	0	1	0	0	I walked quickly to the car. (1 sentence)	0
22	4	3	1	0	0	3	4	0	1	2	2	0	2	4.0	8	1	1	2	0	0	The large brown bear wandered away from the tourists at Yellowstone National Park, its growl lingering in the humid air.	0
7	0	1	1	0	0	1	2	0	1	0	0	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap	0
19	2	1	0	1	1	1	3	0	1	1	2	0	4	4.0	8	2	2	1	2	0	With great excitement, Maria unboxed the new video game and couldn't wait to start playing it.	0
11	0	1	1	0	0	1	2	0	3	0	1	0	2	4.0	4	1	1	2	1	0	I have a cat that purrs contentedly on my lap. 	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
