n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADP_constraint
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat slept.	0
3	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1.0	0	1	John walks.	0
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	The man eats an apple.	0
3	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1.0	0	1	Sun rises.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises over the horizon.	0
4	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1.0	0	1	I eat apple.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The dog barks.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
8	1	0	1	1	0	1	0	1	1	1	0	0	1	0	1	0	0	2.0	0	5	Sun rises high in the clear sky.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
3	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1.0	0	1	John walks.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
4	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1.0	0	2	She is happy.	0
5	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1.0	0	2	I speak English fluently.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
5	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	2.0	0	2	The sun is up.	0
6	0	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	2.0	0	3	Sun rises in eastern sky.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
6	0	0	1	0	0	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The red apple is sweet.	0
4	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	1	I run fast.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The ball bounces.	0
5	1	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	2	I breathe in deep.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun shines.	0
5	0	0	1	0	0	0	2	0	0	1	0	1	0	0	1	1	0	1.0	0	2	I am writing this.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun shines.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun shines.	0
3	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1.0	0	1	Sun rises.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun shines.	0
4	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1.0	0	1	I drink water.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun shines.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises above the horizon.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	I eat an apple.	0
11	0	0	1	1	1	3	1	2	0	1	0	1	0	0	1	0	0	3.0	0	3	I am a sentence with no prepositions or subordinating conjunctions.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	I read a book.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun shines.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
6	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1.0	0	4	I am a human being.	0
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the table.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the table.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The ball is under the table.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the table.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sits on the mat.	1
12	0	0	1	2	0	4	2	2	0	1	0	0	0	0	1	1	0	2.0	0	9	I passed the store on my way to the bus stop.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The ball is underneath the bed.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The ball is in the box.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the table.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The ball is beneath the bench.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The dog sat under the table.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The ball is under the bed.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The dog hid behind the tree.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The ball is under the table.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the table.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the table.	1
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The ball was kicked behind the tree.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets behind the hills.	1
11	0	0	1	2	0	3	0	3	0	1	0	1	0	0	1	0	0	3.0	0	3	A bird is sitting on the branches of the tree.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The ball is in the corner.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The apple was on the table.	1
8	0	0	1	1	0	2	2	1	0	1	0	0	0	0	1	1	0	2.0	0	5	She placed her hand on the windowpane.	1
9	0	0	1	1	0	2	1	2	0	1	0	1	0	0	1	1	0	2.0	0	5	I will place the book on the table.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat under the table.	1
10	0	1	2	0	0	2	2	1	0	2	0	0	0	0	1	2	1	3.0	1	5	After finishing my meal, I paid the bill.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets behind the hills.	1
9	0	0	1	1	0	2	0	2	0	1	0	0	2	0	0	1	0	2.0	0	3	Behind the tall tree stood a hidden camp.	1
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The ball was kicked under the table.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the table.	1
10	0	1	2	0	0	2	1	2	0	2	0	0	0	0	1	2	1	3.0	1	5	After finishing the meal, I paid the bill.	1
10	0	0	1	2	0	3	0	3	0	0	0	1	0	0	1	0	0	2.0	0	4	The ball is at the foot of the hill.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the table.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The flowers are behind the fence.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat under the table.	1
9	0	0	1	1	0	2	2	1	0	1	0	0	1	0	1	1	0	2.0	0	6	He played the game beside his younger brother.	1
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The car is parked in the garage.	1
8	0	0	1	1	0	2	1	2	0	1	0	0	0	0	1	1	0	2.0	0	5	I put the vase on the table.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the table.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat under the table.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat slept under the table.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the table.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the table.	1
10	0	0	2	1	0	2	1	2	0	1	0	0	1	0	1	1	0	2.0	0	3	Under the bridge, we found a hidden path.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the table.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The ball is under the table.	1
7	0	0	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	2.0	0	4	She walked through the narrow alley.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the table.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book was on the table.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat by the window.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The ball bounced off the wall.	1
13	0	0	1	3	0	4	0	4	0	0	0	1	0	0	1	0	0	3.0	0	4	The ball is under the table to the left of the door.	2
11	0	0	1	2	0	4	0	3	0	0	0	1	0	0	1	0	0	2.0	0	4	The apple is on the table beside the flower vase.	2
13	0	0	1	3	0	4	1	3	0	1	0	0	0	0	1	1	0	3.0	0	10	She placed the books on top of the chair beside the window.	2
16	0	0	1	3	1	5	0	4	0	2	0	0	0	1	1	0	0	6.0	1	3	The sun sets behind the trees and the moon rising in front of the mountains.	2
13	0	0	1	3	0	4	0	4	0	0	0	1	0	0	1	0	0	3.0	0	4	The ball is behind the tree to the left of the house.	2
12	1	0	1	2	1	3	0	3	0	0	0	1	0	0	1	0	0	2.0	0	5	The book is next to the window and under the table.	2
14	0	0	1	3	1	4	0	4	0	0	0	1	0	0	1	0	0	3.0	0	4	The ball is beneath the bench and to the left of the door.	2
11	1	0	1	2	0	3	0	3	0	0	0	1	0	0	1	0	0	3.0	0	4	The book was on the table next to the window.	2
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	2.0	0	6	The cat sat on the mat under the tree.	2
10	0	0	1	2	0	3	0	3	0	0	0	1	0	0	1	0	0	2.0	0	4	The ball was under the table near the window.	2
12	1	0	1	2	0	3	0	3	0	1	0	1	0	0	1	0	0	3.0	0	4	The book was located on the table next to the window.	2
11	0	0	1	2	1	3	0	3	0	0	0	1	0	0	1	0	0	2.0	0	4	The ball is between the rocks and under the tree.	2
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	2.0	0	6	The cat sat on the mat beside the fireplace.	2
10	0	0	1	2	0	3	0	3	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the shelf under the table.	2
12	0	0	3	2	0	3	0	3	0	1	0	0	0	0	0	1	0	2.0	0	6	Behind the door, under the carpet, hid the treasure.	2
11	1	0	1	2	0	3	0	3	0	0	0	1	0	0	1	0	0	3.0	0	4	The book was on the table next to the flowerpot.	2
10	0	0	1	2	0	3	0	3	0	0	0	1	0	0	1	0	0	2.0	0	4	The key is under the mat beside the door.	2
