n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PROPN_constraint
7	0	0	1	1	0	1	2	0	0	1	0	1	0	0	1	0	0	2.0	0	3	   She was lost in her thoughts.	0
20	1	0	4	1	0	3	1	2	0	2	1	4	1	0	3	0	1	4.0	1	15	"The sentence that can be generated with 0 proper nouns is ""The universe is always expanding.""."	0
13	0	0	2	0	0	2	2	1	0	2	1	1	1	1	2	2	0	4.0	1	4	  Sure, I can generate a sentence that has 0 proper nouns..	0
13	1	0	2	1	0	4	1	2	0	2	0	0	0	1	1	1	0	3.0	1	6	The sun shone brightly, illuminating our evening stroll through the countryside.	0
23	0	0	2	3	0	7	1	5	0	2	0	0	3	1	2	1	0	6.0	1	5	  The loud laughter echoed through the empty city square, a strange sound that filled the void with a sense of melancholy.	0
9	1	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	5	  The sun shines brightly in the afternoon sky.	0
15	0	0	2	2	0	4	0	4	0	2	0	0	1	1	1	1	0	4.0	1	6	A cloud sailed across the starry night, carrying the hopes of the dreamer.	0
13	0	0	1	1	0	3	1	2	0	2	1	0	1	1	0	1	0	4.0	1	6	There is no text to generate a sentence with 0 proper nouns.	0
7	0	0	2	0	0	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	3	  **The sky was bright blue.**	0
21	2	1	3	1	0	5	0	4	0	2	0	0	3	2	1	1	0	4.0	2	13	  The sun set, casting an eerie glow on the empty street, as the lonely dog wandered back home.	0
7	0	0	1	1	1	3	0	1	0	0	0	0	0	0	0	0	0	3.0	0	2	  A day of joy and freedom.	0
6	0	1	1	0	0	1	0	1	0	2	0	0	0	1	1	0	0	2.0	1	2	  The rain fell without stopping.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky is blue.	0
15	0	0	2	3	0	4	0	3	0	2	0	0	1	1	1	0	0	5.0	1	4	  The rain danced on the windows, like diamonds scattered across a dark sheet.	0
20	0	0	2	3	0	6	1	3	0	2	0	1	1	1	2	0	0	4.0	1	9	 The day had flown by unnoticed, its warmth forgotten like a bird's shadow in the afternoon sun.	0
10	1	0	2	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	  In the vast universe, the sun shines brightly.	0
11	0	0	2	1	0	3	0	3	0	2	0	0	0	1	1	1	0	3.0	1	5	  The moon danced above the sky, illuminating the clouds.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	  The sun shone brightly in the vast sky.	0
10	1	0	1	0	0	2	1	2	0	1	0	1	0	1	1	1	0	4.0	1	3	 Sure, here is a sentence that fits the instructions	0
6	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	  The sky was blue today.	0
5	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1.0	0	2	  She was sad today.	0
12	0	0	2	1	0	4	0	3	0	2	0	0	0	1	1	1	0	3.0	1	4	  The rain poured all day, filling the street with water.	0
7	0	0	1	0	0	2	0	2	0	0	0	1	1	0	1	0	0	2.0	0	4	The sky is a celestial blue.	0
2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Certainly.	0
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	  The sun rose in the sky today.	0
9	0	0	2	1	0	3	2	0	0	1	0	0	0	0	1	1	0	2.0	0	5	  **They played their board game at home.**	0
17	0	1	1	1	0	3	1	3	0	3	0	2	1	2	1	0	0	5.0	2	4	The task could not be completed as there are no proper nouns provided in the context.	0
15	0	0	2	2	0	4	1	3	0	2	0	0	1	1	1	0	0	5.0	1	4	 The moon hangs above the earth, a gentle glow reflecting in its surface.	0
33	0	0	3	4	0	9	1	8	0	4	0	0	4	3	2	3	0	7.0	3	9	 A lone sun peeked through the cracks of the blinds, casting an ethereal glow on the bedroom floor, stirring the quiet slumber that enveloped the room like an ethereal mist.	0
13	1	0	3	0	0	3	2	2	0	1	0	1	0	1	2	1	0	3.0	1	5	 **Yesterday, I had a dream where I was a superhero.**	0
13	0	0	3	1	0	3	1	3	0	1	0	1	0	0	2	0	0	2.0	0	5	"The answer is ""He sleeps in the forest every night."""	0
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	2.0	0	6	The sun rose over the horizon without a sound.	0
10	0	0	1	1	0	4	0	2	0	0	0	1	1	0	1	0	0	2.0	0	4	The sky was a vast expanse of azure blue..	0
10	0	0	2	1	0	2	0	1	0	0	1	1	1	0	1	0	0	3.0	0	8	Sure, a sentence with 0 proper nouns is: The sky is blue today.	0
15	0	0	2	2	0	5	0	3	0	2	0	0	1	1	1	1	0	3.0	1	6	The sun set beyond the horizon today, casting long shadows on the beach.	0
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	  The rain fell in the city today.	0
