n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	AUX_constraint
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	The dog chases the ball.	0
10	0	0	1	1	0	3	0	2	0	1	0	0	2	0	1	1	0	2.0	0	6	The sun casts long shadows in the cool afternoon.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets behind the mountains.	0
9	0	0	1	2	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	5	The sun rises over the horizon at dawn.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rose over the hill.	0
8	0	0	2	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	Under the moonlight, the water ripples.	0
4	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	1	I run swiftly.	0
8	1	0	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	2.0	0	5	Majesty danced elegantly in the moonlit garden.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets behind the mountains.	0
7	0	0	1	1	0	3	0	0	0	1	1	0	0	0	1	1	0	2.0	0	3	Three brothers eat pizza for dinner.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets over the horizon.	0
13	0	0	2	1	1	3	0	2	0	2	0	0	2	1	1	1	0	5.0	1	9	The sun sets, painting pink and orange hues in the sky.	0
8	0	0	1	1	0	2	1	2	0	1	0	0	0	0	1	0	0	2.0	0	5	I walk in the park every morning.	0
7	0	0	1	0	0	2	1	1	0	1	0	0	1	0	1	1	0	2.0	0	4	I cook delicious meals every day.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The boy runs fast.	0
13	0	0	1	3	0	4	0	4	0	1	0	0	0	0	1	0	0	3.0	0	6	The sun sets in the west at the end of the day.	0
13	1	0	2	1	1	3	0	2	0	2	0	0	1	1	1	1	0	4.0	1	5	The sun sets over the horizon, casting shadows long and deep.	0
7	0	0	2	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	3	Under the moon, wolves howl.	0
6	1	0	1	0	0	2	1	0	0	1	0	0	0	0	1	1	0	2.0	0	2	My dog chases squirrels aggressively.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets in the west.	0
8	0	0	1	0	0	2	1	2	0	2	0	0	0	1	2	0	0	3.0	1	3	I see the sun rise every morning.	0
7	0	0	1	0	0	3	0	2	0	1	0	0	0	0	1	1	0	2.0	0	3	The sun climbs the morning sky.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises over the horizon.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
8	1	0	1	1	0	1	0	0	1	1	0	0	2	0	1	0	0	2.0	0	4	Red fox runs swiftly through snowy forest.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets behind the mountains.	0
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	3.0	0	3	The sun sets behind the mountains in the west.	0
