n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	VERB_constraint
14	0	0	1	2	0	4	1	3	0	1	0	1	1	1	2	1	0	5.0	1	3	The universe is devoid of a concept that transcends the boundaries of existence.	0
20	1	0	2	3	1	6	1	3	0	3	0	0	0	2	1	2	0	6.0	2	6	She sat silently on the floor, watching the sunset paint the sky in hues of orange and lavender.	0
9	1	1	1	0	0	2	0	2	0	2	0	0	0	1	1	1	0	3.0	1	3	The sun shines without ever taking a break.	0
11	0	0	2	1	0	2	1	1	0	2	0	0	2	1	1	0	0	3.0	1	4	The universe stands silent, waiting for your next word.	0
11	0	0	1	2	0	3	0	2	0	0	0	1	2	0	1	0	0	3.0	0	4	  The clouds were silent like clouds on a peaceful day.	0
6	0	0	1	1	0	2	0	2	0	0	0	0	0	0	0	0	0	2.0	0	3	A word without a verb.	0
12	0	0	1	2	0	3	1	3	0	1	0	0	1	0	1	0	0	3.0	0	4	  The vastness of the ocean remained an unknown mystery to her.	0
9	1	0	1	1	0	2	0	1	0	0	1	1	1	0	1	0	0	2.0	0	3	The sky was as blue as zero clouds.	0
14	0	1	1	1	0	3	1	2	0	1	0	1	2	1	2	0	0	4.0	1	6	The sky was silent as it waited for the sun's next emergence.	0
12	0	0	1	2	0	3	1	2	0	1	0	0	2	0	1	0	0	3.0	0	5	A quiet moment in the bustling city served as her sanctuary.	0
11	2	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	7	The sun hung completely still in the vast blue sky.	0
7	1	0	1	0	1	1	0	1	0	1	0	0	1	0	1	0	0	3.0	0	2	The sky remained still and silent.	0
16	0	0	3	4	0	4	1	2	0	2	0	0	0	1	1	0	0	3.0	1	7	  **She stood on the beach at dusk, gazing out at the twinkling stars.**	0
10	1	0	1	1	0	3	0	2	0	1	0	1	0	0	1	0	0	2.0	0	5	  The sun was shining brightly in the sky today.	0
8	0	0	3	0	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	  *Her laughter filled the room.*	0
12	0	0	2	1	0	3	2	2	0	1	0	0	1	0	2	0	0	3.0	0	6	She stands silent, her voice a melody in the air.	0
11	0	0	1	1	0	5	0	2	0	1	0	0	1	0	1	1	0	3.0	0	6	A silent night whispers secrets on the sleeping forest creatures.	0
10	0	1	1	0	0	2	1	2	0	1	0	1	1	1	2	0	0	2.0	1	6	The sun rose this morning without anyone being awake.	0
20	0	0	2	3	0	7	0	5	0	2	0	0	0	1	1	1	0	5.0	1	6	 The sun soared above the horizon, painting the sky with the color of a newborn child's imagination.	0
12	0	0	4	1	0	2	1	1	0	1	0	0	2	0	1	0	0	2.0	0	6	  **Yesterday, I dreamed of a giant, glowing ball.**	0
12	0	0	3	1	0	2	1	2	0	3	0	0	0	2	1	1	0	3.0	2	5	  **She sat on the rock, watching the birds migrate.**	0
8	0	0	1	1	0	2	0	2	0	0	0	1	1	0	1	0	0	2.0	0	3	 The sky was blue as a sailor.	0
11	0	0	1	2	0	3	0	3	0	1	0	0	1	0	1	0	0	3.0	0	4	The silence echoed through the vast emptiness of the desert.	0
7	0	0	2	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	3	  **Silence hangs between every word**.	0
17	1	1	3	2	0	3	2	2	0	1	0	1	1	1	2	0	0	4.0	1	4	"  ""She was utterly silent as her thoughts raced in the quiet of the night."""	0
15	1	1	1	1	0	4	1	2	0	1	0	1	2	1	2	1	0	3.0	1	5	The stars were so bright tonight that they cast long shadows on the ground.	0
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	1	0	3.0	0	3	  The absence of actions rendered the day fruitless.	0
9	1	0	3	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	4	" ""Stars shine brightly in the sky."""	0
18	0	0	2	2	0	5	0	4	0	2	0	1	2	2	1	1	0	4.0	2	6	The heavens were silent, save for the gentle breeze rustling the leaves in the rustling wind.	0
19	0	0	1	2	1	3	1	3	1	2	0	0	4	1	2	0	0	5.0	1	17	  _Silence reigned in the vast and tranquil desert, an ethereal silence that whispered through the shimmering dunes._	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky is dark.	0
17	0	0	2	2	1	3	0	3	0	1	0	0	5	0	1	0	0	6.0	0	6	A silent melody flowed through the tranquil air, devoid of any vibrant or melodic notes.	0
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	2	 The sun rose this morning.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
22	1	0	2	3	0	6	1	4	0	2	0	0	3	1	1	1	0	5.0	1	8	  The silence hung in the air, as stark as the moonlight bathing the sprawling stone floor in its eerie luminescence.	0
3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1.0	0	1	Sure thing.	0
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The sky is above the clouds.	0
9	0	0	2	0	0	2	1	1	0	2	0	0	0	1	0	1	0	3.0	1	2	  **There is no way to avoid trouble.**	0
20	1	0	2	2	0	7	0	4	0	2	0	0	2	1	1	2	0	4.0	1	6	A quiet stillness blanketed the serene village, leaving only the rustling leaves as evidence of the passing time.	0
18	1	0	2	1	1	4	0	3	0	4	0	0	1	2	2	1	0	6.0	2	4	A silent night unfolds in the sky, where stars gather to dance and illuminate the darkness.	0
21	0	1	2	2	1	5	0	3	0	1	0	3	2	1	2	0	0	5.0	1	7	The task cannot be completed, as the verbless phrase is devoid of any action or state of being.	0
13	0	0	2	0	0	2	0	2	0	3	0	1	1	2	1	1	0	4.0	2	3	The sun was shining, not having a single word to say.	0
12	0	0	2	1	0	3	0	2	0	1	0	0	2	0	1	0	0	3.0	0	6	The world's clouds vanished into the vast, endless sky.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The universe is silent.	0
6	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky was transparent yesterday.	0
11	1	0	2	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	7	The moon floated gracefully in the vast, empty sky.	0
28	3	2	2	3	0	7	1	5	0	4	0	1	0	1	4	0	2	6.0	3	15	   The silence between friends amplified as the conversation dwindled to a whisper, its echoes still resonating in the air long after the words had faded away.	0
9	0	0	1	1	1	1	1	1	0	0	0	1	2	0	1	0	0	3.0	0	2	The void was quiet and devoid of anything.	0
11	0	0	3	1	0	3	0	2	0	1	0	0	1	0	1	1	0	2.0	0	5	"  ""The sunset cast long shadows across the beach."""	0
15	0	0	2	1	1	3	0	3	0	1	0	1	3	0	2	0	0	3.0	0	6	The sky was silent and the clouds floated in a quiet, graceful dance.	0
12	0	0	1	3	0	3	3	1	0	1	0	0	0	0	2	0	0	3.0	0	9	She danced through her backyard with a smile on her face.	1
10	0	0	1	1	0	2	1	2	0	1	0	1	1	0	1	1	0	3.0	0	4	She is painting a portrait of a beautiful woman.	1
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	She wrote a letter.	1
11	1	0	1	1	0	3	0	1	0	1	1	2	0	0	1	0	0	2.0	0	5	The teacher will be reading aloud for 10 minutes today.	1
10	0	0	2	1	0	3	0	2	0	2	0	0	0	1	1	1	0	4.0	1	2	The rain fell, cleansing the world of grime.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The bird flew to the rose.	1
14	0	0	2	1	1	3	0	2	0	2	0	0	3	1	1	1	0	4.0	1	5	The rain fell with gentle patter, leaving the earth thirsty and parched.	1
10	1	0	2	1	0	1	2	1	0	2	0	0	0	1	1	1	0	3.0	1	4	She danced beautifully, captivating everyone in the room.	1
12	1	0	1	2	0	3	0	3	0	2	0	0	0	1	1	0	0	3.0	1	4	The dog barked loudly at the sound of the car approaching.	1
13	0	0	1	2	0	4	0	4	0	2	0	0	0	1	1	1	0	4.0	1	3	The wind whipped the leaves dancing down a river in the forest.	1
11	1	0	2	1	0	2	2	1	0	2	0	0	0	0	2	0	0	3.0	0	5	She dances alone, her laughter echo through the night.	1
13	0	0	2	2	0	3	0	3	0	2	0	0	1	1	1	1	0	3.0	1	5	The happy dog barked in the morning, waking up the owner.	1
10	1	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	6	The boy jumped high into the clear blue sky.	1
13	0	0	2	1	0	3	1	3	0	2	0	0	1	1	1	1	0	5.0	1	4	I danced across the park, a cheerful melody filling the air.	1
