n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	CCONJ_constraint
14	4	0	4	0	1	0	1	0	0	4	0	0	0	0	1	0	0	2.0	0	10	She sings beautifully, paints skillfully, acts gracefully, and cooks deliciously.	0
10	0	0	1	1	0	4	0	2	0	1	1	0	0	0	1	1	0	2.0	0	6	Each student brings one textbook to class every day.	0
12	0	0	3	0	0	3	0	3	0	3	0	0	0	0	3	0	0	4.0	0	4	The sun rises, the birds sing, the flowers bloom.	0
8	0	0	1	0	1	2	0	2	0	2	0	0	0	0	2	0	0	3.0	0	4	The sun sets and the evening follows.	0
7	0	0	2	0	0	2	0	1	0	2	0	0	0	0	2	0	0	2.0	0	3	The sun sets; evening arrives.	0
12	0	0	2	0	2	1	2	1	0	1	0	1	2	0	2	1	0	2.0	0	6	This cake is delicious and moist, and I love it.	0
16	0	0	2	2	1	4	0	3	0	2	0	0	2	1	1	1	0	4.0	1	5	The sun sets over the horizon, lighting the sky with orange and pink hues.	0
9	0	1	1	0	0	2	1	2	0	2	0	0	0	1	2	1	0	3.0	1	6	She read a book while the sun rose.	0
6	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1	1	0	2.0	0	3	Mary ate her sandwich quietly.	0
7	0	0	2	0	0	2	0	1	0	2	0	0	0	0	2	0	0	2.0	0	3	The sun sets, stars twinkle.	0
9	0	0	1	1	1	3	1	0	0	2	0	0	0	0	1	2	0	2.0	0	5	I eat rice for lunch and drink water.	0
10	0	0	1	2	0	3	0	2	1	1	0	0	0	0	1	1	0	2.0	0	7	Mary reads a book in the garden during lunch.	0
4	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1.0	0	1	Michael plays tennis.	0
12	2	0	3	0	1	2	1	0	0	3	0	0	0	0	1	1	0	2.0	0	7	My cat slept, ate fish, and now purrs contentedly.	0
8	0	0	2	0	0	2	0	2	0	2	0	0	0	0	2	0	0	3.0	0	4	The sun rises, the birds sing.	0
10	0	0	2	1	0	1	1	1	0	2	1	0	1	0	2	1	0	2.0	0	4	The clock struck six, I woke up tired.	0
