n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PROPN_constraint
15	0	0	2	2	1	4	0	3	0	0	0	1	2	0	1	0	0	2.0	0	6	In the winter, the house was cold and dark without any heat source.	0
20	1	0	2	2	1	6	0	3	0	3	0	0	2	1	1	1	0	4.0	1	6	The morning sun slowly rose over the horizon, casting warm light across the rolling hills and peaceful fields.	0
11	1	0	1	1	0	3	2	1	0	1	0	0	1	0	1	1	0	2.0	0	7	I carefully unpacked each item from their individual paper padding.	0
22	0	0	4	2	1	7	1	2	0	2	2	0	1	1	1	2	0	5.0	1	11	I made a fresh lemonade using four lemons, eight cups of water, sugar, and a bit of ice.	0
10	0	0	1	1	0	3	1	0	0	1	0	1	2	0	1	1	0	2.0	0	6	Snowflakes were forming intricate geometric patterns on my windowpane.	0
13	1	0	1	1	0	3	2	1	0	2	0	0	1	1	1	2	0	3.0	1	5	I always use a soft brush to sweep dust from my floors.	0
12	0	0	1	2	1	5	1	1	0	1	0	0	0	0	1	1	0	4.0	0	8	The flowers required plenty of care and attention for their blooming.	0
16	0	0	2	2	0	5	2	2	0	2	0	0	1	1	1	1	0	4.0	1	4	In a busy shopping complex, I noticed a woman searching for her shopping list.	0
16	1	0	1	1	1	5	1	0	0	2	0	1	2	1	1	1	0	3.0	1	5	Fresh fruits and vegetables are often stored at cooler temperatures to prolong their shelf life.	0
17	0	0	2	2	0	5	1	1	0	2	0	1	3	1	1	2	0	6.0	1	5	Melting wax can emit a distinctive odor, requiring careful handling for those sensitive to smells.	0
11	0	1	2	0	1	0	1	0	0	3	0	1	2	0	1	0	1	2.0	1	3	If you're feeling unwell, rest and stay hydrated.	0
15	1	1	1	1	0	4	2	2	0	2	0	0	1	1	1	2	0	4.0	1	4	We carefully examined each object before determining its final resting place in the room.	0
14	1	0	1	1	0	3	2	2	0	2	0	0	1	1	1	2	0	3.0	1	7	I frequently change the water in my aquarium to keep the fish healthy.	0
19	2	0	2	2	0	4	0	4	0	2	0	1	2	1	1	1	0	3.0	1	8	The snow was falling gently on the window, covering the world outside in a serene white blanket.	0
16	0	0	3	1	0	4	0	3	0	2	0	0	3	1	1	1	0	5.0	1	6	The elderly woman sat knitting, a soft, soothing rhythm echoing through the room.	0
16	1	0	2	1	1	4	2	2	0	2	0	0	0	1	1	2	0	4.0	1	6	He always wore a hat and gloves, shielding himself from the weather's elements.	0
18	1	0	2	3	0	4	2	2	0	2	0	0	2	1	1	1	0	4.0	1	9	They carefully tended to their gardens, ensuring a continuous supply of fresh vegetables throughout the year.	0
14	1	1	1	1	0	2	3	1	0	3	0	0	0	2	1	3	0	3.0	2	6	I poured water over the parchment to soften it before folding it carefully.	0
16	2	0	2	2	0	3	3	2	0	2	0	0	0	0	2	2	1	3.0	1	5	When I enter a room, I scan it carefully for any signs of dust.	0
20	2	0	1	4	1	5	2	2	0	2	0	0	1	0	1	2	0	5.0	0	9	I filled it up halfway with the water and then added the appropriate number of drops of dishwashing liquid.	0
10	1	0	1	2	0	3	0	0	0	2	0	0	1	0	1	0	0	3.0	0	4	Water dripped continuously from old faucets in neglected buildings.	0
9	0	0	1	0	0	3	0	2	0	2	0	0	1	1	1	2	0	3.0	1	3	The chef prepares the dish using traditional techniques.	0
14	1	1	1	2	0	3	2	2	0	2	0	0	0	1	2	0	0	3.0	1	7	The leaves crunch softly beneath our steps as we walk in the park.	0
8	0	0	1	1	0	2	0	0	0	2	1	0	1	1	1	0	0	3.0	1	3	Two friends discussed traveling to various locations.	0
12	0	0	1	1	0	4	0	3	0	1	0	0	2	0	1	1	0	2.0	0	7	The morning sun illuminated the park in a warm golden glow.	0
14	1	0	1	0	1	4	2	1	0	2	0	1	0	1	1	2	0	4.0	1	5	Every person should clean their belongings regularly to maintain their appearance and functionality.	0
12	2	1	1	1	0	2	2	1	0	2	0	0	0	1	1	2	0	3.0	1	4	They carefully inspected every item before putting it away for safekeeping.	0
13	0	1	1	1	0	4	0	2	0	2	0	0	2	1	1	1	0	3.0	1	6	The chef experimented with various spice combinations before finding the perfect balance.	0
14	0	0	1	0	1	4	1	1	0	2	0	1	2	1	1	2	0	3.0	1	6	We can mix various herbs and spices to create a unique seasoning blend.	0
27	0	0	4	4	1	8	2	2	0	4	2	0	0	0	1	3	0	3.0	0	16	I cut up two zucchinis into bite-sized pieces, added some olive oil, and cooked them on a grill pan for 15 minutes.	0
12	1	1	1	1	0	3	0	3	0	2	0	0	0	1	2	0	0	3.0	1	7	The children played with the sand until the hour grew late.	0
39	0	1	4	4	0	9	3	7	0	5	0	0	6	4	4	4	0	8.0	4	12	Every afternoon, the sun paints long, warm shadows on the empty playground while gentle breezes rustle through the leaves of the mature trees, creating a symphony of peaceful sounds that surrounds all who hear them.	0
17	1	1	2	0	0	3	1	3	0	3	0	1	1	1	2	2	1	3.0	2	8	To achieve a perfect omelette, you must gently cook the eggs until the surface sets.	0
11	0	0	1	0	0	4	1	0	0	2	0	0	2	1	1	2	0	3.0	1	4	Moonlit landscapes inspired many poets to pen their romantic musings.	0
11	1	1	1	2	0	2	1	1	0	2	0	0	0	1	2	1	0	3.0	1	5	Sand poured out as he carefully turned the hourglass over.	0
15	1	1	1	0	0	3	1	2	0	3	0	1	1	2	2	1	0	4.0	2	4	A large crowd had assembled to watch as he crossed the finish line first.	0
17	4	0	2	1	1	2	1	2	0	3	0	0	1	0	2	1	1	3.0	1	5	When the ball rolled downhill, it hit a large boulder and ricocheted back up again.	0
14	0	0	1	1	0	4	1	2	0	2	0	0	2	1	1	2	0	4.0	1	4	She added various spices to create a unique flavor for the vegetable curry.	0
13	1	1	1	1	0	3	1	3	0	2	0	0	0	1	1	2	0	3.0	1	7	She carefully examined each ingredient on the counter before preparing the recipe.	0
14	1	0	1	1	1	3	1	3	0	2	0	0	1	0	1	2	0	4.0	0	5	I carefully examined the torn fabric and assessed the magnitude of the damage.	0
17	0	0	1	1	0	6	0	3	0	3	0	0	2	2	1	2	0	6.0	2	3	A single button press initiates the complex sequence of actions required to start a car engine.	0
19	1	0	2	2	1	4	1	1	0	1	0	1	4	1	1	1	0	5.0	1	7	The weather is often subject to sudden and drastic changes, requiring frequent adjustments to one's plans.	0
10	0	0	1	2	0	3	0	0	1	1	1	1	0	0	1	0	0	2.0	0	5	Water can freeze in temperatures below 0 degrees Celsius.	0
14	1	0	1	2	1	4	1	1	0	2	0	0	1	0	1	1	0	3.0	0	7	I added ice to the water and then squeezed in several lemon slices.	0
13	1	0	2	1	0	3	1	1	0	2	1	0	1	1	2	1	0	3.0	1	5	 Two friends debated passionately, each presenting their argument with great conviction.	0
22	1	2	2	0	1	5	3	2	0	4	0	0	1	2	2	2	0	5.0	2	5	Every day, I ensure my car's engine runs smoothly by checking the oil level and replacing it if necessary.	0
15	0	0	1	3	0	5	0	1	0	1	1	1	2	0	1	0	0	3.0	0	5	Two cups of boiling water were combined with an equal quantity of cold water.	0
11	1	0	1	1	1	2	1	2	0	2	0	0	0	0	1	1	0	3.0	0	5	They carefully sorted and stacked each book on the shelves.	0
18	1	0	2	3	1	5	2	2	0	2	0	0	0	0	1	2	0	5.0	0	8	We placed the books carefully on each shelf, arranged them in order of size and color.	0
22	5	0	2	3	1	3	2	3	0	3	0	0	0	0	1	2	0	3.0	0	14	The girl picked up a book from the table, leafed through it idly and then put it back down again.	0
19	0	0	3	1	1	6	0	2	2	1	0	0	2	0	1	1	0	3.0	0	10	The Australian cricket team, the English football team, and McDonald's have sponsorship deals with Coca-Cola.	3
23	1	0	3	3	2	3	0	4	4	0	0	1	2	0	1	0	0	5.0	0	7	The Amazon River, Brazil, and Peru are home to some of the most diverse and rich ecosystems in the world.	3
24	0	0	3	3	0	3	0	4	5	1	0	1	4	0	1	0	0	4.0	0	13	The Great Barrier Reef, an extensive coral reef system in the Pacific Ocean, is located off the northeastern coast of Australia.	3
23	1	0	3	2	1	3	1	0	8	2	0	1	1	0	1	1	0	3.0	0	13	King George VI, Marilyn Monroe, and Alexander Graham Bell have all left lasting impacts on history in their respective fields.	3
19	0	0	2	4	1	4	0	2	4	1	0	0	1	0	1	1	0	5.0	0	5	In the vast Amazon rainforest, poachers from Colombia threaten the survival of jaguars from Brazil and Peru.	3
25	1	0	3	2	1	6	0	4	2	1	0	0	5	0	1	0	0	3.0	0	13	The French navy, the Russian submarine fleet, and the Spanish coast guard frequently collaborate in joint naval exercises in the Mediterranean Sea.	3
21	0	0	3	3	0	2	0	2	5	2	1	1	2	0	1	0	1	4.0	1	8	The ancient Inca empire, located in South America, was discovered by the Spanish explorer Hernando Pizarro in 1527.	3
40	0	0	12	3	1	6	1	5	3	2	2	3	2	3	2	0	0	6.0	3	31	 'The Italian footballer', pointing to Francisco Totti; 'Roma', the football club he's been a integral part of since 1927; and '1927', the year the club was founded.	3
12	0	0	3	1	1	0	0	1	5	1	0	0	0	0	1	0	0	3.0	0	5	The Amazon River flows between Brazil, Colombia, and Peru.	3
29	1	0	3	3	1	3	0	4	8	0	0	1	3	0	1	0	0	5.0	0	14	The Grand Canyon National Park in Arizona, Canada's Northwest Territories, and the Amazon Rainforest are home to some of the world's most diverse ecosystems.	3
14	0	0	1	1	0	2	0	2	3	2	0	0	2	0	1	1	1	4.0	1	5	The Egyptian pyramids located in Al Jizah house the Pharaohs' eternal treasures.	3
22	1	0	3	1	1	2	2	1	6	2	0	1	1	2	2	1	0	4.0	2	11	Microsoft Word, PDF Reader, and Google Drive were among the applications I frequently used to complete my daily tasks.	3
25	0	0	4	3	2	5	0	2	5	1	0	0	3	0	1	1	0	4.0	0	10	The ancient Greek city-state Sparta, Rome in Italy, and Athens in Greece have a rich history in democracy and art.	3
24	1	0	3	4	0	6	1	2	1	1	0	0	4	0	1	0	0	4.0	0	9	This ancient civilization, famous for its pyramids, contributed significantly to Egypt's agricultural development with the construction of extensive irrigation systems.	3
20	1	0	3	1	1	1	0	2	6	1	0	1	3	0	1	1	0	4.0	0	11	The Roman Colosseum, Amalrik the Great, and Napoleon Bonaparte have all influenced Western Civilization in profound ways.	3
34	0	0	9	2	2	4	0	2	10	2	0	1	2	0	1	1	1	5.0	1	16	The Brazilian football team, consisting of Neymar, Gabriel Jesus, and Casemiro, will face Argentina, Messi, and Di Maria, in a high-stakes World Cup match.	3
17	0	0	3	2	1	3	0	0	3	2	0	0	3	1	1	1	0	4.0	1	9	Roman mythology introduces Apollo, Zeus, and Mars as major deities revered in ancient cultures.	3
22	0	0	3	3	2	3	0	4	4	1	0	1	1	0	1	0	1	5.0	1	10	The Amazon River, flowing through Peru and Brazil, is the largest in the world by both volume and length.	3
18	0	0	4	2	0	1	0	0	6	2	1	1	1	0	1	0	1	3.0	1	10	During World War II, German intelligence, codenamed Abwehr, was led by Admiral Wilhelm Canaris.	3
14	0	0	2	1	1	0	0	1	6	1	0	0	2	0	1	1	0	3.0	0	5	Sophia, Mark and Olivia attended the prestigious Xavier Institute for Higher Learning.	3
