n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	SCONJ_constraint
15	1	1	2	1	0	2	1	2	0	2	0	2	1	1	2	0	0	3.0	1	7	 The dog barked angrily, for it had been mistreated by the previous owner..	0
18	2	1	2	1	0	4	3	1	0	1	0	1	1	0	2	1	1	4.0	1	6	Even though he was always kind, she felt his neglect like a phantom's phantom pain.	0
9	0	0	1	1	0	3	0	1	0	1	0	1	1	0	1	0	0	2.0	0	3	 The vibrant city streets were bustling with life.	0
24	1	2	3	2	0	6	0	4	0	3	0	1	2	2	2	1	0	4.0	2	17	The rain fell steadily, as if a symphony of tiny drops dancing through the city streets, was playing a melancholic tune.	0
18	1	0	3	2	0	4	0	3	0	2	0	0	3	0	1	0	1	4.0	1	7	  The vibrant red rose, hidden amidst the greenery, bloomed gracefully in the sunny morning sun.	0
10	0	1	1	1	0	2	2	1	0	2	0	0	0	1	2	1	0	2.0	1	6	She hurried to the store because she needed milk.	0
23	3	2	2	2	0	4	2	3	0	4	0	0	1	3	3	0	0	4.0	3	11	The dog walked to the store without ever going inside, its tail wagging furiously as it trotted along the bustling street.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The sun rises in the east.	0
16	3	1	2	0	1	2	1	2	0	3	0	1	0	1	3	0	0	3.0	1	9	The rain stopped while we were hiking, and the sun rose again soon after.	0
15	1	1	2	1	0	3	2	0	0	1	0	1	3	0	2	1	1	3.0	1	7	Even though she is intelligent, her lack of social graces makes conversation difficult.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The rain came without any interruptions.	0
15	0	0	2	1	0	4	0	4	0	2	0	0	2	1	1	1	0	3.0	1	7	The sun rose this morning, casting a golden hue over the serene fields.	0
18	2	0	2	0	0	4	1	4	0	4	0	1	0	2	2	3	0	5.0	2	4	The rain washed away the dust that had covered the streets, revealing the gleaming sidewalks beneath.	0
16	1	0	2	2	0	4	0	3	0	2	0	0	2	1	1	1	0	3.0	1	6	The sun shone brightly throughout the day, casting long shadows across the vast park.	0
21	1	0	2	3	0	5	1	5	0	2	0	1	1	1	2	1	0	6.0	1	5	The rain that day was so heavy, it drowned out the sound of the wind rattling in the trees.	0
10	1	0	2	0	1	2	0	1	0	3	0	0	0	1	1	1	0	3.0	1	3	   The children played happily, laughing and chasing butterflies.	0
6	1	0	1	0	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	2	The sun rose early today.	0
7	0	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	 My dog ran after a squirrel.	0
14	2	0	1	2	1	3	1	2	0	1	0	0	1	0	1	0	0	3.0	0	10	The girl walked confidently and swiftly to her destination despite the challenging terrain.	0
14	1	0	2	1	0	5	0	3	0	1	0	0	1	0	1	0	0	3.0	0	6	The sun rose early today, a beautiful spectacle for the waking eyes.	0
12	0	0	1	0	0	3	0	3	0	4	0	0	0	3	2	0	0	5.0	3	3	The sun went to sleep the minute the alarm stopped ringing.	0
13	0	0	1	4	0	2	2	2	0	2	0	0	0	1	1	0	0	4.0	1	5	The boy ran to the store without anyone looking out for him.	0
9	0	1	1	0	0	1	1	1	0	2	0	1	1	1	2	0	0	2.0	1	4	The dog barked because it was left unattended.	0
12	0	0	1	2	0	3	1	2	0	0	0	1	2	0	1	0	0	3.0	0	4	I am the missing piece to the enigmatic symphony of life.	0
14	0	0	1	1	0	3	3	0	0	1	0	3	1	0	2	0	1	4.0	1	10	  _Everyone who was happy in their work today will be motivated tomorrow._	0
21	0	0	3	2	1	7	1	1	0	2	0	1	2	1	1	1	0	5.0	1	7	Despite its humble origins, the software's capabilities have blossomed, achieving significant milestones in machine learning and cybersecurity.	0
14	1	0	3	2	0	3	0	2	0	1	0	0	1	0	1	0	0	2.0	0	8	Sure, the sun rises in the east, even on cloudy days.	0
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	2.0	0	6	The girl ran down the hill without a sound.	0
8	0	0	1	1	0	2	1	1	0	1	0	1	0	0	1	0	0	2.0	0	3	The rain is falling outside my window.	0
14	0	0	2	2	0	4	1	1	0	2	0	0	2	1	2	0	0	4.0	1	4	The little girl danced with such joy, her eyes sparkling with laughter.	0
21	1	0	4	2	1	7	0	2	0	0	0	1	3	0	1	0	0	5.0	0	15	The bustling city street, with the chaotic symphony of cars, pedestrians and vendors, was surprisingly peaceful today.	0
15	1	0	1	1	0	4	2	2	0	2	0	1	1	1	2	1	0	3.0	1	6	  The little girl was playing in the garden when she saw her pet cat..	0
5	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The rain is coming.	0
20	1	0	4	3	0	4	3	1	0	2	0	0	2	1	1	1	0	4.0	1	5	" ""Despite her initial efforts, she successfully completed her task despite unforeseen obstacles arising during the process."""	0
21	0	0	1	4	0	5	0	5	0	2	0	0	4	1	1	0	0	5.0	1	7	The quick brown fox leaped over the lazy dog without any regard for the old man hiding behind the bush.	0
12	2	0	1	1	0	3	1	2	0	1	0	1	0	0	2	0	1	4.0	1	9	The girl who moved to the city is no longer home.	0
16	1	0	3	1	1	4	1	1	0	4	0	0	0	2	1	1	0	4.0	2	5	  Yesterday, the rain poured relentlessly for hours, leaving my garden parched and withered.	0
22	1	0	2	3	1	6	2	2	0	3	0	0	2	1	2	0	0	5.0	1	11	She wandered through the bustling city square, where the bright lights and sounds of everyday life danced in her eyes.	0
15	2	1	2	1	0	2	1	1	0	3	0	2	0	1	2	0	1	3.0	2	8	  Even though they have lived in the world, humans will never stop learning.	0
16	0	0	2	2	0	4	1	3	0	2	0	0	2	1	1	1	0	3.0	1	7	The moon rose over the castle, illuminating the silent garden with its silvery glow.	0
14	0	0	1	0	0	3	2	2	0	2	0	2	0	1	2	2	0	4.0	1	4	I cannot generate a sentence that does not contain any subordinating conjunctions.	0
24	0	2	1	1	0	4	3	2	0	5	1	2	1	3	2	4	0	5.0	3	10	I cannot write a sentence with 0 subordinating conjunctions because it would require me to connect ideas without providing any textual context.	0
