n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_link_constraint
10	1	1	1	1	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The large stone was carefully lifted by the workers.	2
12	1	1	0	1	0	1	3	0	1	0	1	0	3	4.0	4	1	1	1	1	0	The artist will create detailed portraits based on your provided descriptions.	2
9	1	0	0	1	0	2	3	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The new program will simplify the registration process.	2
9	0	0	0	0	0	2	2	0	0	0	1	1	2	3.0	4	1	1	0	2	0	Please note the bottle after finishing the drink.	2
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun slowly sets beyond the mountains.	2
10	0	1	0	1	0	2	3	0	1	0	1	0	1	2.0	6	0	0	1	1	0	I'll pass the information to the department head.	2
10	0	0	1	0	0	1	2	0	2	0	1	0	2	4.0	2	1	1	1	3	0	Your grandfather taught you how to ride a bike.	2
9	0	1	1	0	0	1	2	0	1	0	2	0	1	2.0	3	0	0	1	1	0	Before the concert, we bought tickets online.	2
8	0	1	0	0	0	1	2	0	2	0	1	0	1	2.0	4	0	0	1	1	0	My brother introduced me to the game.	2
8	0	1	1	0	0	1	2	0	0	0	2	0	1	2.0	3	0	0	1	0	0	Under the bridge, traffic moved rapidly.	2
7	0	1	0	1	0	1	2	0	1	0	1	0	0	2.0	4	0	0	1	0	0	The ball is in his court.	2
10	0	1	1	1	0	0	2	0	1	0	3	0	1	3.0	6	0	0	1	0	0	Your brother-in-law will arrive soon.	2
7	0	0	0	0	0	1	4	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The cake recipe requires baking powder.	2
9	1	1	1	1	0	1	1	0	1	0	1	0	1	3.0	3	0	0	1	0	0	I'm feeling very uneasy about this decision.	2
8	0	0	0	0	0	1	1	0	0	2	1	0	2	3.0	3	1	1	1	2	0	John promised to buy Sarah a pony.	2
8	0	0	0	0	0	2	3	0	0	0	1	0	1	3.0	2	0	0	1	1	0	The sun's rays illuminated the valley.	2
11	0	1	0	0	0	1	2	1	2	0	1	0	2	3.0	4	1	1	1	2	0	I need you to check the documents under tab 3.	2
10	0	0	0	0	1	0	3	0	2	0	1	0	2	4.0	3	1	1	1	2	0	My sister asked me to buy bread and eggs.	2
7	1	0	0	0	0	1	2	0	1	0	1	0	1	2.0	2	0	0	1	1	0	The young boy obeyed his grandmother.	2
8	0	1	0	0	0	1	4	0	0	0	1	0	1	3.0	3	0	0	1	0	0	The apple pie recipe calls for cinnamon.	2
10	0	0	0	0	0	1	2	0	3	0	1	0	2	3.0	3	1	1	1	3	0	My sister asked me to pass her the salt.	2
9	0	0	0	0	0	1	2	0	3	0	1	0	2	3.0	3	1	1	2	2	0	Your aunt gave you the book she read.	2
8	1	1	0	1	0	2	2	0	0	0	1	0	0	2.0	5	0	0	1	0	0	The book is on the top shelf.	2
7	0	0	1	1	0	0	1	0	2	0	1	0	1	2.0	2	0	0	1	1	0	Your sister will call you later.	2
8	0	0	0	1	0	1	2	0	1	0	1	0	2	3.0	2	1	1	1	1	0	A carrot can help improve your eyesight.	2
9	1	1	0	0	0	0	2	0	3	0	1	0	1	2.0	5	0	0	1	1	0	My sister introduced me to my best friend.	2
10	0	1	1	1	0	2	2	0	1	0	1	0	1	3.0	6	0	0	1	1	0	You can find the recipe for this cake online.	2
9	0	1	0	1	0	1	3	0	0	1	1	0	1	3.0	3	0	0	1	0	0	The city council meeting is scheduled for Friday.	2
11	0	0	0	1	0	2	3	0	0	0	2	1	2	3.0	4	1	0	2	1	1	After the meeting was adjourned, the delegates began discussions.	2
7	1	1	0	1	0	0	1	0	2	0	1	0	0	2.0	2	0	0	1	0	0	Your brother is taller than you.	2
9	0	2	0	0	0	1	2	0	2	0	1	0	1	2.0	6	0	0	1	1	0	She handed the report to him for review.	2
10	1	1	0	0	0	2	3	0	1	0	1	0	1	2.0	6	0	0	1	1	0	My mother cooked a large roast for the guests.	2
9	0	1	0	0	0	1	1	0	2	1	1	0	2	4.0	2	1	1	2	1	0	John gave the book he found to her.	2
13	0	2	0	1	0	2	4	0	2	0	1	0	1	3.0	6	0	0	1	1	0	You'll find her phone number at the end of the article.	2
10	1	1	0	0	0	2	2	0	1	0	2	0	1	2.0	3	0	0	1	1	0	Beneath the old tree, we hid the treasure.	2
7	1	0	0	1	0	0	2	0	1	0	1	0	1	2.0	2	0	0	1	1	0	Your older sister is cooking dinner.	2
10	2	0	1	1	0	1	2	0	1	0	1	0	0	3.0	4	0	0	1	0	0	The book's last chapter is its most intriguing.	2
10	0	1	1	1	0	1	2	0	2	0	1	0	1	2.0	6	0	0	1	1	0	She will read the email from her boss soon.	2
12	0	1	0	1	0	2	4	0	0	0	1	0	2	3.0	4	1	1	1	0	0	The apple slices need to be dipped in the lemon water.	2
13	0	2	0	2	0	3	4	0	0	0	1	0	1	3.0	7	0	0	1	0	0	The blueprints for the construction project must be approved by the architect.	2
7	1	0	0	1	0	1	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The new technology has revolutionized communication.	2
8	1	1	1	1	0	1	1	0	1	0	1	0	0	2.0	3	0	0	1	0	0	The cake is too sweet for me.	2
