n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PRON_constraint
10	1	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	The blue car drove quickly down the deserted street.	0
9	0	0	1	1	0	2	0	1	0	1	1	1	1	0	1	0	0	2.0	0	3	Two purple giraffes are playing in the park.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
14	0	0	2	2	0	4	0	3	0	2	0	0	1	1	1	1	0	3.0	1	5	The sun sets behind the mountains, casting long shadows over the landscape.	0
12	0	0	1	2	0	4	0	3	0	1	0	0	1	0	1	1	0	3.0	0	4	The sunsets behind the trees display an array of vibrant colors.	0
17	0	0	2	3	0	5	0	4	0	1	0	0	2	0	1	0	0	4.0	0	4	The large, brown bear sits in the middle of the forest near the berry bushes.	0
15	0	0	1	2	0	3	0	3	2	1	0	0	3	0	1	1	0	4.0	0	7	The large yellow house at the corner of Elm Street has a red door.	0
9	0	0	1	1	0	2	0	2	0	2	0	0	1	0	1	0	0	2.0	0	4	The red ball bounces on the carpeted floor.	0
17	0	0	2	2	1	6	1	2	0	1	1	0	1	0	1	1	0	3.0	0	6	In the city center, three musicians perform a lively tune with their accordions and saxophones.	0
10	0	0	1	1	0	3	1	2	0	1	0	1	0	0	1	1	0	3.0	0	5	The tree in the courtyard is shedding its leaves.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sits on the mat.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets in the west.	0
6	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The moon is full tonight.	0
10	0	0	1	0	0	2	0	2	0	1	0	1	3	0	1	1	0	2.0	0	4	The large elephant is eating the sweet ripe banana.	0
11	0	0	2	1	0	3	0	2	0	2	0	0	1	1	1	1	0	3.0	1	5	The sun sets behind the mountain, casting long shadows.	0
15	0	0	2	2	0	4	1	3	0	2	0	0	1	1	1	1	0	3.0	1	6	The sun sets over the horizon, illuminating the clouds with its golden hue.	0
8	0	0	1	1	0	2	0	1	0	1	1	1	0	0	1	0	0	2.0	0	3	Three birds are perched on a branch.	0
11	0	0	1	1	0	4	0	2	0	1	0	0	2	0	1	1	0	3.0	0	4	The apple tree in the backyard produces ripe red apples.	0
10	0	0	1	2	0	4	0	2	0	1	0	0	0	0	1	0	0	2.0	0	6	The sun rises over the mountain range at dawn.	0
9	0	0	1	2	0	2	0	1	2	1	0	0	0	0	1	0	0	2.0	0	5	The sun rises over Mount Everest at dawn.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat walked in the garden.	0
10	0	0	1	2	0	4	0	2	0	1	0	0	0	0	1	0	0	2.0	0	6	The sun rises above the mountain peak at dawn.	0
