n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	VERB_constraint
6	0	0	1	0	0	2	0	1	0	1	0	0	1	0	1	1	0	2.0	0	2	Colorless bubbles filled the room.	0
7	0	0	1	0	0	2	0	1	0	1	0	0	2	0	1	1	0	2.0	0	3	Colorless shades fill the unfeeling expanse.	0
4	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1.0	0	1	The color red.	0
10	0	0	4	0	0	1	0	1	0	0	0	1	3	0	1	0	0	2.0	0	4	The colors are: red, green, blue.	0
3	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1	Color wheel.	0
12	0	0	5	1	0	2	0	0	0	0	0	0	4	0	0	0	0	2.0	0	6	Colors of fall: red, orange, yellow, brown.	0
9	0	0	4	0	0	1	0	0	0	0	0	0	4	0	0	0	0	1.0	0	7	Colorless, faceless, weightless, unyielding silence.	0
12	0	0	5	1	0	2	0	0	0	0	0	0	4	0	0	0	0	2.0	0	6	Colors of autumn: red, orange, yellow, brown.	0
10	0	0	5	0	0	1	0	0	0	0	0	0	4	0	0	0	0	2.0	0	6	Colors: red, blue, green, yellow.	0
8	1	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	5	Colors blend together in a beautiful rainbow.	0
3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1.0	0	1	Red apple.	0
9	0	0	1	2	0	3	0	3	0	0	0	0	0	0	0	0	0	3.0	0	3	The color of the sunset over the horizon.	0
5	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1.0	0	3	Colorless, formless entity.	0
7	0	0	2	0	1	1	0	1	0	0	0	0	2	0	0	0	0	2.0	0	5	Colorless and featureless, the expanse.	0
4	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1.0	0	1	The color red.	0
5	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	2.0	0	3	Colors of the rainbow.	0
5	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	2.0	0	3	Colors of the rainbow.	0
6	0	0	1	1	0	2	0	2	0	0	0	0	0	0	0	0	0	2.0	0	3	The size of a mountain.	0
6	0	0	1	1	0	2	0	2	0	0	0	0	0	0	0	0	0	2.0	0	3	The colors of the rainbow.	0
7	1	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	3.0	0	4	Colors of the rainbow blend beautifully.	0
4	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1.0	0	2	A red apple.	0
6	0	0	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	2.0	0	3	The color of my cat.	0
9	0	0	4	0	0	2	0	0	0	0	0	0	3	0	0	0	0	1.0	0	6	Color wheel, red, green, blue.	0
8	0	0	1	1	0	2	0	1	0	1	0	0	2	0	1	0	0	2.0	0	4	Colorless shapes dance against the black background.	0
7	0	0	1	1	0	3	0	1	0	0	0	0	1	0	0	0	0	2.0	0	4	Colorful pebbles in a glass jar.	0
33	3	1	6	1	3	7	1	3	0	3	1	3	1	2	4	1	0	5.0	2	12	" ""changes"" and ""turns"" but the instructions specify 0 verbs, thus this response is incorrect but it is included here as an example of how mistakes can happen."	0
11	0	0	3	1	0	2	0	1	0	1	0	0	3	0	1	0	0	2.0	0	5	Colorless, scentless, tasteless water flowed in the stream.	0
4	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1.0	0	1	The color red.	0
8	0	0	2	0	0	2	0	2	0	1	0	0	1	0	1	1	0	2.0	0	2	"""The colorful pebbles lined the beach."	0
4	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1.0	0	1	The color red.	0
4	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1.0	0	1	The color red.	0
4	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1.0	0	1	The color red.	0
3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1.0	0	1	Red trees.	0
9	0	0	3	0	1	1	0	1	0	0	0	0	3	0	0	0	0	3.0	0	5	The colors red, green, and blue.	0
4	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1.0	0	2	A red ball.	0
7	0	0	1	1	0	2	1	1	0	0	0	1	0	0	1	0	0	2.0	0	3	This is a description of color.	0
9	0	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	A red ball bounced on the green grass.	0
6	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2.0	0	3	Red apple, green leaf.	0
8	0	0	1	0	1	2	0	1	0	1	0	0	2	0	1	1	0	4.0	0	3	Blue and red colors fill the room.	0
6	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1.0	0	4	This is a red apple.	0
3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1.0	0	1	Red apples.	0
6	0	0	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	2.0	0	3	The color of her eyes.	0
6	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1.0	0	4	This is a beautiful day.	0
7	0	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	4	Colors blend in an outdoor scene.	0
4	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1.0	0	1	The color red.	0
7	1	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	3.0	0	4	Colors of the rainbow blend together.	0
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	3	Colors shimmer upon the lake.	0
19	0	0	3	2	0	4	1	4	0	2	0	2	1	0	1	0	0	4.0	0	15	 there are no active verbs in the sentence; all verbs in the sentence have been removed).	0
4	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1.0	0	2	The Color Red.	0
4	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1.0	0	2	Colors are vivid.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumps onto the fence.	1
6	1	0	1	0	0	1	2	0	0	1	0	0	0	0	1	1	0	2.0	0	3	I read your message carefully.	1
5	0	0	1	0	0	2	0	1	0	1	0	0	0	0	1	1	0	2.0	0	2	Rain drenches the pavement.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets over the horizon.	1
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat sleeps.	1
6	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	2.0	0	4	Dance joyfully in the rain.	1
9	0	0	1	0	0	2	1	2	0	2	0	0	0	1	1	2	0	3.0	1	4	I climb the ladder to reach the rooftop.	1
7	0	0	1	0	0	1	2	1	0	1	0	1	0	0	1	2	0	2.0	0	3	I'll draw you a map.	1
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat jumps.	1
7	0	0	1	0	0	2	0	2	0	1	0	0	1	0	1	1	0	2.0	0	3	The students sing a national anthem.	1
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The dog barks.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises over the horizon.	1
4	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	1	0	1.0	0	1	Cats chase mice.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets behind the mountains.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sleeps on the mat.	1
9	1	0	1	2	0	2	1	1	0	1	0	0	0	0	0	0	0	3.0	0	4	Meditate peacefully in the quiet of your room.	1
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The moon rises in the night sky.	1
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The dog barks.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets majestically over the horizon.	1
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat sleeps.	1
6	1	0	1	1	0	2	0	0	0	1	0	0	0	0	1	0	0	2.0	0	3	Cats purr silently in contentment.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The dog barks at the mailman.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets gradually behind the horizon.	1
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun sets majestically.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun rises in the east.	1
7	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	2.0	0	3	I can swim in the pool.	1
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The dog barks.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sleeps in the sun.	1
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The dog barks.	1
7	0	0	1	1	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	4	I paint murals for a living.	1
7	0	0	1	0	0	2	0	1	0	1	0	0	2	0	1	1	0	2.0	0	3	The computer calculates complex mathematical equations.	1
5	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	2.0	0	3	Celebrate your victory passionately.	1
7	1	0	1	0	0	1	1	0	0	1	1	1	0	0	1	1	0	2.0	0	3	You're juggling five balls gracefully.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets in the west.	1
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	2	The sun sets each evening.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat sleeps peacefully on the windowsill.	1
9	0	0	1	1	1	5	0	0	0	1	0	0	0	0	1	1	0	3.0	0	4	Plants photosynthesize carbon dioxide into oxygen and glucose.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The snowflakes twinkle softly in the moonlight.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The car drives smoothly on the highway.	1
8	1	0	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	2.0	0	5	I dance elegantly in this beautiful ballroom.	1
7	0	0	1	0	0	2	1	1	0	1	0	1	0	0	1	1	0	2.0	0	3	I will paint the walls tomorrow.	1
5	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	2.0	0	3	Jump over the puddle.	1
8	0	0	1	1	0	2	1	1	0	1	0	1	0	0	1	1	0	2.0	0	4	I'll finish the report by tonight.	1
4	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	1	0	1.0	0	1	Cats hunt mice.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumps on the bed.	1
3	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1.0	0	1	Squirrels burrow.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets over the horizon.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets over the horizon.	1
7	0	0	1	1	0	3	0	2	0	0	0	0	0	0	0	0	0	2.0	0	3	The sun Sets over the horizon.	1
23	0	0	11	2	1	2	1	2	0	0	0	1	2	0	0	0	0	5.0	0	6	" ""am,"" ""cooking,"" and ""are"" with the implicit ""we"" in the plural form."	1
17	0	0	3	2	1	5	0	4	0	2	0	0	0	0	1	1	0	3.0	0	10	The cat chases the mouse, hides from the dog, and drinks from the bowl.	3
13	0	0	3	0	1	4	0	2	0	3	0	0	0	0	3	1	0	3.0	0	8	The sun rises, birds sing, and the wind scatters leaves.	3
15	1	0	3	0	1	4	0	3	0	3	0	0	0	0	3	1	0	3.0	0	9	The sun rises, the birds sing, and the wind blows leaves away.	3
14	0	0	3	2	0	4	0	2	0	3	0	0	0	0	0	1	0	3.0	0	8	Dance, write, paint the rainbow colors in a canvas at twilight.	3
12	1	0	3	0	1	3	1	1	0	2	0	0	0	0	1	1	0	3.0	0	5	The dog chases, catches, and chews its tail eagerly.	3
10	1	0	3	0	1	1	0	0	0	3	0	0	1	0	0	1	0	3.0	0	5	Dance, laugh, and cook delicious meals together.	3
10	0	0	3	0	1	2	0	0	0	4	0	0	0	0	1	1	0	3.0	0	5	Dogs bark, jump, and retrieve thrown sticks.	3
14	0	0	4	1	1	3	0	1	0	3	0	0	1	0	0	1	0	4.0	0	6	Swim, splash water, and dive into the crystal-clear pool.	3
21	0	1	2	1	0	7	0	3	0	4	0	0	2	2	3	1	0	4.0	2	10	The sun sets while the river flows around jagged rocks, birds flying overhead intermingle to create a breathtaking scene.	3
15	0	1	2	2	0	3	2	2	0	3	0	0	0	2	1	2	0	4.0	2	6	He jogs behind her, carrying an bag of groceries while singing a lullaby.	3
13	0	0	3	1	1	4	0	1	0	2	0	0	1	0	1	0	0	2.0	0	10	Dancers pirouette, leap, and partner during the breathtaking ballet performance.	3
12	0	0	3	0	1	2	2	1	0	3	0	0	0	0	1	1	0	3.0	0	5	She cooks, cleans, and paints her apartment every weekend.	3
11	0	0	3	0	1	3	0	1	0	3	0	0	0	0	3	0	0	2.0	0	7	The sun rises, birds sing, and children laugh.	3
10	0	0	3	0	1	1	0	1	0	3	0	0	1	0	0	1	0	3.0	0	5	Dance, sing, and create a beautiful masterpiece.	3
12	0	0	3	1	1	1	1	1	0	3	0	0	1	0	1	0	0	3.0	0	5	She dances, jumps, and skips through the colorful field.	3
15	0	0	2	2	1	3	1	2	0	4	0	0	0	0	1	0	0	3.0	0	6	The dog jumps, skips and plays fetch in the park with its owner.	3
16	0	1	4	0	1	2	1	1	0	4	0	1	1	1	1	1	0	4.0	1	7	I'm laughing, crying, and shouting while watching the tragic-comedy movie.	3
13	1	0	3	1	1	2	0	2	0	3	0	0	0	0	0	1	0	3.0	0	8	Walk swiftly, open the door, and turn on the light.	3
17	0	0	3	2	1	4	0	4	0	3	0	0	0	0	1	1	0	3.0	0	10	The bird flies over the mountain, sings a melody, and lands on the tree.	3
16	3	0	3	0	1	3	0	3	0	3	0	0	0	0	3	0	0	3.0	0	11	The dog barks joyfully, the children clap excitedly, and the parrot squawks raucously.	3
13	0	0	3	1	1	2	1	2	0	3	0	0	0	0	1	1	0	3.0	0	8	She runs, jumps over the fence, and catches the bus.	3
20	0	1	3	2	0	7	2	2	0	3	0	0	0	1	2	2	1	4.0	2	8	Jumping over the rope, she cooked pasta for dinner, while her brother painted the living room walls.	3
15	2	0	3	0	1	3	0	3	0	3	0	0	0	0	1	2	0	3.0	0	9	The dog chased the cat, barked loudly, and then fetched the ball.	3
12	0	0	4	0	0	1	1	1	0	4	0	0	1	0	1	1	1	2.0	1	7	Dancing, laughing, singing, we celebrated the joyous occasion.	3
10	1	0	3	0	1	1	0	1	0	3	0	0	0	0	0	1	0	3.0	0	5	Sing, laugh, and paint the evening away.	3
14	0	0	3	1	1	4	1	0	1	3	0	0	0	0	1	3	0	3.0	0	8	I bake cookies, decorate gingerbread houses, and wrap presents before Christmas.	3
14	0	0	3	1	1	2	0	2	0	4	0	0	1	0	0	1	0	3.0	0	7	Swim, sail, and cook a hearty meal on a deserted island.	3
12	1	0	2	1	1	2	0	2	0	3	0	0	0	0	1	0	0	3.0	0	4	The dog jumps, skips and barks excitedly in the garden.	3
