n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_pre_constraint
9	0	1	1	0	0	1	2	0	0	1	1	0	1	3.0	5	0	0	1	0	0	The cat purred contentedly on John's lap.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
13	1	1	0	0	1	1	3	0	1	0	0	0	4	4.0	5	2	2	1	1	0	Innovative solutions drive our business to continue growing and innovating for the future	0
11	1	2	0	0	0	3	3	0	0	0	1	0	1	2.0	7	0	0	1	0	0	The cat pounced on the mouse with a fierce meow.	0
5	0	0	0	0	0	1	1	0	0	1	1	0	1	2.0	2	0	0	1	1	0	Sarah ate the pie.	0
6	1	0	0	1	0	0	2	0	1	0	1	0	0	2.0	2	0	0	1	0	0	My favorite season is winter.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
17	3	2	0	0	0	3	4	0	1	0	2	0	2	3.0	8	1	1	2	0	0	A large grizzly bear ambled through the forest, its broad paws thundering on the ground.	0
10	1	1	0	0	0	2	4	0	0	0	1	0	1	2.0	5	0	0	1	0	0	The mountain peaks shone white in the evening sunlight.	0
4	0	0	1	0	0	1	1	0	0	0	0	0	1	2.0	1	0	0	1	0	0	This cat purrs plaintively	0
18	2	3	1	0	0	3	4	0	1	0	2	0	2	3.0	9	1	1	1	1	0	She slowly walked across the room, taking in the new art exhibit with a critical eye.	0
9	0	1	0	0	0	2	3	1	0	0	1	0	1	2.0	5	0	0	1	1	0	Six dogs chased the cat through the park.	0
5	0	0	0	0	0	0	1	1	1	0	1	0	1	2.0	2	0	0	1	1	0	She bought two eggs. 	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred loudly on my lap.	0
12	1	1	0	1	1	2	2	0	1	0	1	0	2	3.0	5	0	0	1	1	0	I will travel to the park and enjoy the beautiful sunshine.	0
14	0	4	1	0	0	1	4	0	1	1	1	0	1	3.0	6	0	0	1	0	0	John walked home from the store with bags of groceries in his hands. 	0
14	0	1	2	1	1	2	2	0	1	0	2	0	2	3.0	4	0	0	2	0	0	The rain had just stopped, and I stepped out onto the street.	0
11	0	2	0	0	0	2	2	0	0	1	2	0	2	3.0	6	1	0	1	0	1	Running from the bear, John sprinted down the trail.	0
13	0	1	1	1	0	2	3	0	2	0	1	0	2	3.0	7	0	0	2	1	0	The cat purred happily on my lap  Did you like the task? Please let me know how I can assist you again.	0
19	3	3	0	0	1	3	4	0	1	0	2	0	2	4.0	11	1	1	1	0	0	The cat walked across the room in a deliberate and silent manner, preparing for its imminent escape.	0
5	0	1	0	0	0	0	1	0	0	1	1	0	1	2.0	2	0	0	1	0	0	Sun rises over mountain.	0
10	0	1	1	0	1	2	2	0	0	0	1	0	2	2.0	5	0	0	1	0	0	The cat sat on the windowsill and purred contentedly.	0
14	1	1	1	1	0	2	3	1	1	1	0	1	1	5.0	4	1	1	2	1	0	Jupiter is the largest planet because it has a radius of approximately 43,440 miles	0
9	0	1	0	1	0	2	3	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The sun will rise in the east tomorrow.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The mountains rose steadily toward the sky.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The cat leapt gracefully across the room.	0
9	0	1	1	0	0	2	3	0	0	0	1	0	1	2.0	5	0	0	1	0	0	The snowman melted slowly in the winter sun.	0
12	0	3	0	0	0	2	3	0	1	1	1	0	1	3.0	9	0	0	2	0	0	Luna walked to the store with a smile on her face. 	0
23	2	3	2	3	0	3	7	1	0	0	1	0	1	4.0	9	1	1	1	1	0	Six crows will have eaten all of the garbage by tomorrow evening, regardless of how loud the nearby city noise pollution is	0
13	2	1	2	1	0	2	2	0	1	0	0	1	1	3.0	10	0	0	1	1	0	I will continue the project as soon as possible despite the unexpected delays	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
18	2	3	0	0	1	2	4	0	1	1	1	0	3	5.0	4	1	1	1	1	0	With great relief, Sarah closed her eyes and leaned into the gentle breeze blowing through the window	0
4	0	1	0	0	0	0	1	0	0	1	0	0	1	2.0	2	0	0	1	0	0	Tigers live in ______________.	0
8	1	1	0	0	0	0	2	0	0	2	0	0	1	3.0	6	0	0	1	0	0	Maria laughed at John's silly dance moves	0
16	0	1	2	2	0	0	2	0	3	0	1	1	2	5.0	5	2	2	2	0	0	I'm going home because I have to be there for my daughter's birthday.	0
11	0	1	1	0	0	3	3	0	0	0	1	0	2	3.0	5	1	1	1	1	0	The cat sat on the window silently watching the birds.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The car sped down the highway.	0
8	0	1	1	0	1	1	1	0	1	0	0	0	2	2.0	5	0	0	1	0	0	She smiled at the baby and laughed loudly	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The team rushed onto the field.	0
14	1	1	1	1	0	2	2	0	2	0	2	1	1	2.0	5	1	0	2	0	1	Although it was a rainy evening, she walked home with an umbrella. 	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The cat pounced loudly on the mouse.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The cat pounced gracefully on the mouse.	0
12	1	2	0	1	0	3	3	0	0	0	1	0	1	2.0	7	0	0	1	0	0	The train was roaring down the tracks at a terrifying speed.	0
10	0	1	0	0	0	2	2	0	0	1	1	0	2	3.0	5	1	1	1	1	0	John walked across the field to reach the barn.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
9	0	1	1	0	0	1	2	0	0	1	1	0	1	3.0	5	0	0	1	0	0	The cat purred contentedly on Sarah's lap.	0
