n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_depth_constraint
9	1	1	0	1	0	2	3	0	0	0	1	0	0	3.0	6	0	0	1	0	0	The fruit of the apple tree is sweet.	2
7	0	0	0	1	0	1	2	1	0	0	1	0	0	3.0	2	0	0	1	0	0	The tree's height is 2.	2
7	0	0	0	1	0	1	2	1	0	0	1	0	0	3.0	2	0	0	1	0	0	The tree's height is 2.	2
7	1	0	0	1	0	1	2	1	0	0	1	0	0	2.0	3	0	0	1	0	0	The tree is 2 units tall.	2
8	2	0	0	0	0	1	2	1	0	0	1	0	1	2.0	3	0	0	1	1	0	The short tree stands two units tall.	2
8	2	0	0	0	0	1	2	1	0	0	1	0	1	3.0	3	0	0	1	0	0	The short tree stands 2 meters tall.	2
11	1	1	0	0	0	2	2	1	0	0	2	0	2	4.0	3	1	1	1	1	0	The tree stands tall, reaching a height of 2.	2
7	1	0	0	0	0	1	2	1	0	0	1	0	1	3.0	3	0	0	1	0	0	The tree stood 2 stories tall.	2
7	1	0	0	1	0	1	2	1	0	0	1	0	0	2.0	3	0	0	1	0	0	The tree is 2 units tall.	2
10	0	1	1	0	0	2	3	1	0	0	1	0	1	3.0	6	0	0	1	0	0	The apple hangs 2 meters high on the tree.	2
7	1	0	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The cat climbed the tall tree.	2
10	0	2	0	0	0	2	3	1	0	0	1	0	1	3.0	3	0	0	1	0	0	The bird perched on a tree of height 2.	2
9	0	1	0	0	0	2	3	1	0	0	1	0	1	3.0	3	0	0	1	1	0	The tree reaches a height of 2 meters.	2
8	1	0	0	0	0	1	3	1	0	0	1	0	1	3.0	3	0	0	1	0	0	The cherry tree stood 2 stories tall.	2
8	2	0	0	0	0	1	2	1	0	0	1	0	1	3.0	3	0	0	1	0	0	The short tree stands 2 meters tall.	2
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The apple hangs low on the branches.	2
9	0	1	0	0	0	2	3	1	0	0	1	0	1	3.0	2	0	0	1	1	0	The cat climbed a tree of height 2.	2
21	1	2	0	0	0	4	6	1	1	0	3	0	3	4.0	8	2	2	2	2	0	The sap rises through the slender tree, its height reaching 2 units, nourishing the leaves at the top.	2
10	0	1	0	0	0	2	4	1	0	0	1	0	1	3.0	6	0	0	1	1	0	The squirrel climbed a tree of height 2 meters.	2
10	0	1	0	0	0	2	3	1	0	0	1	0	2	3.0	3	0	0	1	1	0	The towering tree reached a height of two stories.	2
10	1	1	0	0	0	2	3	1	0	0	1	0	1	3.0	3	0	0	1	1	0	The tall tree reaches a height of two stories.	2
7	0	0	0	1	0	1	2	1	0	0	1	0	0	3.0	2	0	0	1	0	0	The tree's height is 2.	2
10	0	1	0	0	0	2	3	1	0	0	2	0	1	3.0	6	0	0	1	0	0	The squirrel jumped from the 2-story tree.	2
7	1	0	0	1	0	1	2	1	0	0	1	0	0	2.0	3	0	0	1	0	0	The tree is 2 units tall.	2
9	0	1	0	0	0	2	3	1	0	0	1	0	1	3.0	3	0	0	1	1	0	The tree reaches a height of 2 meters.	2
14	2	1	0	0	0	2	4	1	0	0	2	0	2	4.0	3	1	1	1	1	0	The young oak tree stood tall, reaching a height of 2 meters.	2
