n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADJ_constraint
7	0	0	1	1	0	2	1	1	0	0	0	1	0	0	1	0	0	1.0	0	5	You are at the bus stop.	0
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	3	Subjects meet at the park.	0
5	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	2.0	0	3	Go to the store.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
9	0	0	1	1	0	2	1	2	0	1	0	1	0	0	1	1	0	2.0	0	5	I will deliver the report to the manager.	0
6	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	0	2.0	0	2	You have received a letter.	0
5	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1.0	0	3	You are a robot.	0
6	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	1	0	2.0	0	2	I will buy three apples.	0
9	0	0	1	1	0	2	1	1	0	1	0	1	0	0	1	1	0	2.0	0	4	You can't generate a sentence without words.	0
5	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	2.0	0	2	John eats an apple.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	You took a walk.	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	You went to the shop.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	You open the door.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	She ate an apple.	0
5	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	2.0	0	2	Two people are talking.	0
9	0	0	1	0	0	4	0	0	1	2	0	0	0	1	2	2	0	2.0	1	4	Subject A throws ball B to subject C.	0
5	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1.0	0	3	You are the postman.	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	I go to the store.	0
5	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	2.0	0	2	John kicks the ball.	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	You went to the store.	0
10	0	0	1	2	0	2	1	1	0	0	1	2	0	0	1	0	0	2.0	0	5	I'll be in the office at 10 a.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat sleeps.	0
19	0	0	1	4	0	7	1	0	1	2	1	1	0	1	1	1	0	3.0	1	13	You are required to deliver Package A to Recipient X at Address Y by Tuesday at 5 PM.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	You opened the door.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	You dropped the ball.	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	You walk in the room.	0
8	0	0	1	1	0	2	1	2	0	1	0	0	0	0	1	1	0	2.0	0	5	She hits the ball with the bat.	0
9	0	0	1	1	0	2	2	1	0	1	0	1	0	0	1	1	0	2.0	0	5	I will meet you at the bus stop.	0
15	0	0	3	2	0	4	1	2	0	2	0	1	0	1	1	0	0	3.0	1	10	Subject: meet at the library Sentence: You will meet at the library.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	I understand the instruction.	0
7	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	2.0	0	3	I will walk to the shop.	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	I walk in the woods.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	You opened the door.	0
6	0	0	1	0	0	1	1	0	0	1	1	0	1	0	1	1	0	2.0	0	3	You have three red apples.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun rises.	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	I walk to the store.	0
4	0	0	1	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1.0	0	1	You dropped something.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	You opened the door.	0
8	0	0	1	1	0	1	2	1	0	1	0	1	0	0	1	1	0	2.0	0	4	I will fetch the item for you.	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	I go to the store.	0
4	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1.0	0	2	You are here.	0
8	0	0	1	1	0	2	0	2	0	2	0	0	0	1	1	0	0	3.0	1	3	Saw the ball roll down the hill.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	I eat an apple.	0
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	The cat ate the fish.	0
5	0	0	1	0	0	1	2	0	0	1	0	0	0	0	1	1	0	2.0	0	2	You dropped your key.	0
5	0	0	1	0	0	1	2	0	0	1	0	0	0	0	1	2	0	1.0	0	2	You bring me apples.	0
3	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1.0	0	1	Dogs bark.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
7	0	0	1	0	0	1	1	1	0	2	0	0	0	1	1	1	0	3.0	1	2	You need to buy a cat.	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	You open the door.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The sun sets gloriously.	1
10	0	0	2	0	0	2	0	2	0	2	0	1	1	1	1	1	0	3.0	1	3	The sun was setting, painting the sky red.	1
9	0	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	The sun sets in a radiant golden glow.	1
13	0	0	1	2	1	4	0	2	0	1	0	0	2	0	1	1	0	4.0	0	4	A brilliant sunset painted the sky with shades of orange and pink.	1
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sun was radiant.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets beautifully behind the mountains.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets radiantly over the horizon.	1
8	1	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	4	The sun sets slowly in orange hues.	1
11	0	0	1	2	0	4	0	2	0	1	0	0	1	0	1	0	0	2.0	0	7	The sun sets in shimmering splendor over the tranquil lake.	1
10	0	0	1	1	0	3	0	2	0	1	0	0	2	0	1	1	0	2.0	0	5	A stunning sunset casts warm colors over the horizon.	1
6	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sun setting was beautiful.	1
9	0	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	The sun set behind the vibrant orange horizon.	1
15	1	0	2	2	1	4	0	2	0	2	0	0	1	1	1	1	0	5.0	1	4	The sun slowly set, painting the sky in hues of orange and pink.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets beautifully behind the mountains.	1
15	0	0	2	2	1	4	0	2	0	2	0	1	1	1	1	1	0	5.0	1	4	The sun was setting, painting the sky in shades of orange and pink.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets brilliantly behind the mountains.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets majestically beyond the horizon.	1
9	0	0	1	1	0	4	0	2	0	1	0	0	0	0	1	1	0	2.0	0	5	The moon glowed orange in the twilight sky.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets beautifully over the horizon.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets slowly in the horizon.	1
8	0	0	1	1	0	2	0	2	0	0	0	1	1	0	1	0	0	2.0	0	3	The rose was radiant in the sun.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets beautifully over the horizon.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets majestically behind the mountains.	1
7	0	0	1	0	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	The sun rises golden each morning.	1
13	0	0	1	2	1	4	0	2	0	1	0	0	2	0	1	1	0	4.0	0	8	A breathtaking sunset cast hues of orange and pink across the lake.	1
13	0	0	1	1	1	4	0	2	0	1	0	0	3	0	1	1	0	3.0	0	5	A stunning sunset painted the sky in brilliant orange and pink hues.	1
10	0	0	1	1	0	2	0	2	0	1	0	1	2	0	1	0	0	2.0	0	5	The sun was setting in a spectacular golden hue.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets radiantly over the horizon.	1
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The moon glows eerily in the starless night.	1
9	1	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	4	The sun was Setting majestically behind the mountains.	1
8	0	0	1	1	0	3	0	1	0	1	0	0	1	0	1	1	0	2.0	0	4	Red elephants roam the savanna at sunset.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets fiercely beyond the horizon.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun sets majestically in the horizon.	1
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The sun sets in a stunning gold.	1
