n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	DET_constraint
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred loudly.	0
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	The quick brown fox jumps over the lazy dog.	0
11	0	0	1	1	0	4	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	The big red car sped down the winding mountain road. 	0
12	0	0	1	2	0	4	0	3	0	1	0	0	1	0	1	0	0	2.0	0	8	The monkey clings to the tree limb with a furious grip.	0
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	The quick brown fox jumped over the lazy cat.	0
9	0	0	1	0	0	2	0	2	0	1	0	0	3	0	1	1	0	2.0	0	3	The big brown bear ate a pink rabbit.	0
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The stars shone brilliant in the midnight sky.	0
11	0	0	2	1	0	2	0	2	0	2	0	0	2	0	1	0	0	2.0	0	6	A shining sun rose over the vast, unobstructed ocean.	0
6	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	She quickly ate the sandwich.	0
10	0	0	1	0	0	2	0	2	0	1	0	0	4	0	1	1	0	2.0	0	4	"The big orange dog chased the small red ball. (Note: The word ""the"" is a determinant, so this response does not meet the requirement of having only one sentence and no determiners.)"	0
9	1	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	5	The car sped away from the traffic light. 	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	The orange sun set in the distance.	0
7	1	0	0	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred quietly on my shoulder	0
15	0	0	1	1	0	3	0	3	0	1	0	0	6	0	1	1	0	2.0	0	8	The big fierce brown bear chased the tiny blue jay across the green savannah.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun set slowly in the sky.	0
9	0	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	3	"The big red car sped down the highway. (Please make sure to use only determiners ""big"" and ""red"" in constructing your sentence. Please also note that your sentence must only contain one determinative item, i.e. ""big"".)"	0
10	1	0	2	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	Without any qualifiers, the fluffy cat purred contentedly.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my knee.	0
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	2	The cat sat in silence.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The car drove quickly through the night.	0
7	1	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	3	The dog chased the cat rapidly.	0
